Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
1,Ben Finley*,North Carolina State,ACC,1,1,55,55.0,,ben-finley-1
2,Braxton Burmeister,Virginia Tech,ACC,6,1,51,51.0,,braxton-burmeister-1
3,Matt Araiza,San Diego State,MWC,8,5,249,49.8,,matt-araiza-1
4,Jeremy Crawshaw*,Florida,SEC,2,2,98,49.0,,jeremy-crawshaw-1
5,Charles Bein,Air Force,MWC,1,2,96,48.0,,charles-bein-1
6,Pressley Harvin III,Georgia Tech,ACC,9,45,2161,48.0,AA,pressley-harvin-iii-1
7,Jonathan Garibay,Texas Tech,Big 12,5,6,287,47.8,,jonathan-garibay-1
8,Colin Goodfellow*,Kentucky,SEC,2,10,477,47.7,,colin-goodfellow-1
9,Louis Hedley*,Miami (FL),ACC,11,49,2311,47.2,,louis-hedley-1
10,Michael Turk,Arizona State,Pac-12,4,14,661,47.2,,michael-turk-1
11,Josh Pederson,Louisiana-Monroe,Sun Belt,10,1,47,47.0,,josh-pederson-1
12,Oscar Draguicevich,Washington State,Pac-12,4,19,888,46.7,,oscar-draguicevich-1
13,Jake Camarda*,Georgia,SEC,10,36,1677,46.6,,jake-camarda-1
14,Mac Brown*,Ole Miss,SEC,10,27,1259,46.6,,mac-brown-1
15,Ben Griffiths,USC,Pac-12,6,18,835,46.4,,ben-griffiths-1
16,Austin McNamara,Texas Tech,Big 12,9,41,1898,46.3,,austin-mcnamara-1
17,Jacob Finn*,Florida,SEC,12,26,1203,46.3,,jacob-finn-1
18,Julian Diaz*,Nevada,MWC,7,23,1065,46.3,,julian-diaz-1
19,Matt Freem*,Nevada,MWC,2,6,278,46.3,,matt-freem-3
20,Jack Martin,Troy,Sun Belt,11,25,1153,46.1,,jack-martin-2
21,Lucas Dean*,UTSA,CUSA,12,57,2621,46.0,,lucas-dean-1
22,John Haggerty*,Western Kentucky,CUSA,12,56,2560,45.7,,john-haggerty-1
23,Tanner Brown,Nevada-Las Vegas,MWC,6,12,546,45.5,,tanner-brown-1
24,George Caratan,Arkansas,SEC,3,16,727,45.4,,george-caratan-1
25,George Caratan,Arkansas,SEC,3,16,727,45.4,,george-caratan-2
26,Tanner Kuljian,San Diego State,MWC,8,35,1589,45.4,,tanner-kuljian-1
27,Brad Robbins,Michigan,Big Ten,5,23,1041,45.3,,brad-robbins-1
28,Ryan Stonehouse,Colorado State,MWC,4,26,1178,45.3,,ryan-stonehouse-1
29,Ryan Wright*,Tulane,American,11,52,2352,45.2,,ryan-wright-1
30,Max Duffy*,Kentucky,SEC,9,42,1895,45.1,,max-duffy-1
31,Ryan Rehkow*,BYU,Ind,12,28,1264,45.1,,ryan-rehkow-1
32,Adrian Martinez,Nebraska,Big Ten,7,1,45,45.0,,adrian-martinez-2
33,Drue Chrisman*,Ohio State,Big Ten,7,27,1216,45.0,,dru-chrisman-1
34,Tommy Martin,Florida State,ACC,9,3,135,45.0,,tommy-martin-2
35,Trenton Gill*,North Carolina State,ACC,12,52,2334,44.9,,trenton-gill-1
36,Casey Glover*,Tulane,American,3,5,224,44.8,,casey-glover-1
37,Luke Loecher,Oregon State,Pac-12,7,12,538,44.8,,luke-loecher-1
38,Nolan Cooney,Syracuse,ACC,11,74,3314,44.8,,nolan-cooney-1
39,kirk Christodoulou,Pitt,ACC,11,53,2368,44.7,,kirk-christodoulou-1
40,Connor Bowler,Charlotte,CUSA,6,28,1244,44.4,,connor-bowler-1
