Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
1,Asa Fuller,Fresno State,MWC,5,4,4,100.0,1,1,100.0,7,,asa-fuller-1
2,Blake Mazza,Washington State,Pac-12,4,12,13,92.3,4,4,100.0,24,,blake-mazza-1
3,Caleb Griffin,Illinois,Big Ten,4,5,5,100.0,1,1,100.0,8,,caleb-griffin-1
4,Cesar R. Silva,Fresno State,MWC,4,15,17,88.2,5,5,100.0,30,,cesar-r-silva-1
5,Chance Poore*,Kentucky,SEC,10,5,5,100.0,1,1,100.0,8,,chance-poore-1
6,Chris Howard*,Florida,SEC,3,7,7,100.0,2,2,100.0,13,,chris-howard-5
7,Connor Coles,Utah State,MWC,4,8,9,88.9,3,3,100.0,17,,connor-coles-1
8,Danny Longman,Boston College,ACC,11,2,3,66.7,2,2,100.0,8,,danny-longman-1
9,Donovan Murphree,New Mexico,MWC,7,12,12,100.0,3,3,100.0,21,,donovan-murphree-1
10,Ethan Albertson,New Mexico State,Ind,2,5,5,100.0,4,4,100.0,17,,ethan-albertson-1
11,Guy Fava,Rutgers,Big Ten,6,6,6,100.0,2,2,100.0,12,,guy-fava-1
12,Henry Katleman*,Oregon,Pac-12,4,13,13,100.0,4,4,100.0,25,,henry-katleman-1
13,Jack Luckhurst,Arizona State,Pac-12,2,9,9,100.0,1,1,100.0,12,,jack-luckhurst-1
14,Jadon Redding,Utah,Pac-12,5,17,17,100.0,8,8,100.0,41,,jadon-redding-1
15,Jake Oldroyd*,BYU,Ind,11,60,62,96.8,13,13,100.0,99,,jake-oldroyd-1
16,Kenneth Almendares*,Louisiana,Sun Belt,6,23,23,100.0,5,5,100.0,38,,kenneth-almendares-1
17,Marshall Meeder,Central Michigan,MAC,6,16,17,94.1,8,8,100.0,40,,marshall-meeder-1
18,Matthew Phillips,Arkansas,SEC,1,0,0,,1,1,100.0,3,,matthew-phillips-2
19,Michael Hayes*,Georgia State,Sun Belt,10,4,4,100.0,1,1,100.0,7,,michael-hayes-4
20,Rory Bell,Temple,American,5,3,4,75.0,5,5,100.0,18,,rory-bell-1
21,Stephen Johnson*,Oklahoma,Big 12,5,8,8,100.0,2,2,100.0,14,,stephen-johnson-9
22,Thomas Cluckey,Toledo,MAC,6,11,12,91.7,5,5,100.0,26,,thomas-cluckey-1
23,Will Reichard*,Alabama,SEC,13,84,84,100.0,14,14,100.0,126,,will-reichard-1
24,Zach Williams*,North Texas,CUSA,6,6,7,85.7,1,1,100.0,9,,zach-williams-4
25,Alex Hale*,Oklahoma State,Big 12,6,18,18,100.0,13,14,92.9,57,,alex-hale-1
26,Brayden Narveson*,Western Kentucky,CUSA,12,27,27,100.0,13,14,92.9,66,,brayden-narveson-1
27,John Hoyland,Wyoming,MWC,6,16,16,100.0,13,14,92.9,55,,john-hoyland-1
28,Matthew Quinn,UAB,CUSA,9,31,32,96.9,11,12,91.7,64,,matthew-quinn-2
29,Anders Carlson*,Auburn,SEC,11,24,25,96.0,20,22,90.9,84,,anders-carlson-1
30,Charles Campbell*,Indiana,Big Ten,8,25,25,100.0,10,11,90.9,55,,charles-campbell-3
31,Jose Borregales*,Miami (FL),ACC,11,37,37,100.0,20,22,90.9,97,AA,jose-borregales-1
32,Seth Keller,Texas State,Sun Belt,10,32,33,97.0,8,9,88.9,56,,seth-keller-1
33,Jonah Dalmas,Boise State,MWC,7,30,31,96.8,7,8,87.5,51,,jonah-dalmas-1
34,Charlie Ham,Duke,ACC,11,30,32,93.8,13,15,86.7,69,,charlie-ham-1
35,Connor Culp,Nebraska,Big Ten,8,20,20,100.0,13,15,86.7,59,,connor-culp-1
36,James Turner,Louisville,ACC,11,40,40,100.0,13,15,86.7,79,,james-turner-2
37,Cade York,LSU,SEC,10,36,36,100.0,18,21,85.7,90,,cade-york-1
38,Jacob Barnes*,Louisiana Tech,CUSA,10,33,33,100.0,12,14,85.7,69,,jacob-barnes-1
39,Lucas Havrisik,Arizona,Pac-12,5,9,10,90.0,6,7,85.7,27,,lucas-havrisik-1
40,Matt Ruffolo*,Kentucky,SEC,10,22,23,95.7,12,14,85.7,58,,matt-ruffolo-1
41,Nicholas Barr-Mira,UCLA,Pac-12,7,30,31,96.8,6,7,85.7,48,,nicholas-barr-mira-1
42,Harrison Mevis,Missouri,SEC,10,28,28,100.0,17,20,85.0,79,,harrison-mevis-1
43,Hunter Duplessis*,UTSA,CUSA,12,40,41,97.6,17,20,85.0,91,,hunter-duplessis-1
44,Chad Ryland,Eastern Michigan,MAC,6,18,19,94.7,11,13,84.6,51,,chad-ryland-1
45,Massimo Biscardi*,Coastal Carolina,Sun Belt,12,48,52,92.3,11,13,84.6,81,,massimo-biscardi-1
46,Seth Small*,Texas A&M,SEC,10,41,42,97.6,11,13,84.6,74,,seth-small-1
47,Brandon Ruiz*,Mississippi State,SEC,10,24,24,100.0,10,12,83.3,54,,brandon-ruiz-1
48,Brandon Talton*,Nevada,MWC,9,28,31,90.3,15,18,83.3,73,,brandon-talton-1
49,Daniel Gutierrez,Nevada-Las Vegas,MWC,6,11,12,91.7,5,6,83.3,26,,daniel-gutierrez-1
50,Nick Sciba*,Wake Forest,ACC,8,31,31,100.0,14,17,82.4,73,,nick-sciba-1
51,Andre Szmyt,Syracuse,ACC,10,23,24,95.8,9,11,81.8,50,,andre-szmyt-1
52,Matthew Mercurio*,San Jose State,MWC,8,26,26,100.0,9,11,81.8,53,,matthew-mercurio-1
53,Valentino Ambrosio,Rutgers,Big Ten,6,15,16,93.8,9,11,81.8,42,,valentino-ambrosio-1
54,Jack Podlesny*,Georgia,SEC,10,38,38,100.0,13,16,81.3,77,,jack-podlesny-1
55,Noel Ruiz*,Georgia State,Sun Belt,9,33,35,94.3,13,16,81.3,72,,noel-ruiz-1
56,Chris Naggar,SMU,American,10,43,46,93.5,17,21,81.0,94,,chris-naggar-1
57,Aaron Boumerhi,Boston College,ACC,10,30,30,100.0,16,20,80.0,78,,aaron-boumerhi-1
58,Dalton Witherspoon*,Houston,American,7,20,20,100.0,8,10,80.0,44,,dalton-witherspoon-1
59,Dario Longhetto,California,Pac-12,4,9,10,90.0,4,5,80.0,21,,dario-longhetto-1
60,Vladmir Rivas*,Florida Atlantic,CUSA,9,20,21,95.2,8,10,80.0,44,,vladmir-rivas-1
61,Zack Long*,Tulsa,American,9,25,26,96.2,12,15,80.0,61,,zack-long-1
62,Alex Kessman,Pitt,ACC,11,31,32,96.9,23,29,79.3,100,,alex-kessman-1
63,B.T. Potter*,Clemson,ACC,12,61,62,98.4,18,23,78.3,115,,bt-potter-1
64,J.D. Dillinger,Purdue,Big Ten,6,20,20,100.0,7,9,77.8,41,,jd-dillinger-1
65,John Richardson,Northern Illinois,MAC,6,14,14,100.0,7,9,77.8,35,,john-richardson-1
66,Keith Duncan,Iowa,Big Ten,8,26,26,100.0,14,18,77.8,68,,keith-duncan-1
67,Evan McPherson*,Florida,SEC,11,52,52,100.0,17,22,77.3,103,,evan-mcpherson-1
68,Brian Delaney,Virginia,ACC,10,35,36,97.2,10,13,76.9,65,,brian-delaney-1
69,Brian Johnson,Virginia Tech,ACC,11,34,34,100.0,20,26,76.9,94,,brian-johnson-11
70,Gabe Brkic*,Oklahoma,Big 12,10,49,49,100.0,20,26,76.9,109,,gabe-brkic-1
71,Diego Guajardo,South Alabama,Sun Belt,11,24,25,96.0,13,17,76.5,63,,diego-guajardo-1
72,Briggs Bourgeois,Southern Mississippi,CUSA,10,29,29,100.0,12,16,75.0,65,,briggs-bourgeois-1
73,Charlie Kuhbander*,Northwestern,Big Ten,9,27,27,100.0,9,12,75.0,54,,charlie-kuhbander-1
74,Chase Gabriel,Florida International,CUSA,5,11,12,91.7,3,4,75.0,20,,chase-gabriel-1
75,Collin Riccitelli,Rice,CUSA,5,10,11,90.9,9,12,75.0,37,,collin-riccitelli-1
76,Evan Price*,Colorado,Pac-12,6,16,16,100.0,6,8,75.0,34,,evan-price-1
77,Henry Beckett,Miami (OH),MAC,3,11,11,100.0,3,4,75.0,20,,henry-beckett-1
78,Landon Salyers*,Army,Ind,12,23,26,88.5,3,4,75.0,32,,landon-salyers-1
79,Matt Coghlin,Michigan State,Big Ten,7,13,13,100.0,9,12,75.0,40,,matt-coghlin-1
80,Tyler Sumpter*,West Virginia,Big 12,9,1,1,100.0,3,4,75.0,10,,tyler-sumpter-1
81,Tyler Sumpter*,West Virginia,Big 12,9,1,1,100.0,3,4,75.0,10,,tyler-sumpter-2
82,Jonathan Garibay,Texas Tech,Big 12,5,6,7,85.7,8,11,72.7,30,,jonathan-garibay-1
83,Alex Raynor*,Georgia Southern,Sun Belt,13,40,41,97.6,18,25,72.0,94,,alex-raynor-1
84,Blake Haubeil*,Ohio State,Big Ten,5,24,24,100.0,5,7,71.4,39,,blake-haubeil-1
