Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
323,Gunnar Gray*,Buffalo,MAC,4,4,11,36.4,41,0,0.0,1,9.1,3.7,-0.36,10.3,10.3,49.5,,gunnar-gray-1
324,Roman Gagliano,Middle Tennessee State,CUSA,3,4,9,44.4,41,0,0.0,0,0.0,4.6,4.56,10.3,13.7,82.7,,roman-gagliano-1
325,Nate Hampton*,Liberty,CUSA,2,2,9,22.2,40,1,11.1,1,11.1,4.4,1.67,20.0,20.0,74.0,,nate-hampton-1
326,Ahmad Haston,Massachusetts,Ind,5,8,9,88.9,39,0,0.0,0,0.0,4.3,4.33,4.9,7.8,125.3,,ahmad-haston-1
327,Austin Mack*,Alabama,SEC,1,2,3,66.7,39,1,33.3,0,0.0,13.0,19.67,19.5,39.0,285.9,,austin-mack-2
328,Jayden Mandal*,Fresno State,MWC,6,4,9,44.4,39,0,0.0,2,22.2,4.3,-5.67,9.8,6.5,36.4,,jayden-mandal-1
329,Makai Lemon*,USC,Big Ten,12,1,1,100.0,39,0,0.0,0,0.0,39.0,39.00,39.0,3.3,427.6,,makai-lemon-1
330,Brian Buschini*,Nebraska,Big Ten,13,2,2,100.0,38,0,0.0,0,0.0,19.0,19.00,19.0,2.9,259.6,,brian-buschini-1
331,Cardell Williams,Tulsa,American,7,5,11,45.5,37,0,0.0,0,0.0,3.4,3.36,7.4,5.3,73.7,,cardell-williams-1
332,Haden Carlson,Florida International,CUSA,1,4,6,66.7,37,0,0.0,2,33.3,6.2,-8.83,9.3,37.0,51.8,,haden-carlson-1
333,Grant Page,Utah State,MWC,12,1,1,100.0,36,0,0.0,0,0.0,36.0,36.00,36.0,3.0,402.4,,grant-page-1
334,Rickie Collins*,LSU,SEC,3,5,5,100.0,35,0,0.0,0,0.0,7.0,7.00,7.0,11.7,158.8,,rickie-collins-1
335,Tyler Warren*,Penn State,Big Ten,16,3,6,50.0,35,1,16.7,0,0.0,5.8,9.17,11.7,2.2,154.0,H-7,tyler-warren-1
336,Holden Geriner,Auburn,SEC,2,2,2,100.0,33,0,0.0,0,0.0,16.5,16.50,16.5,16.5,238.6,,holden-geriner-1
337,Parker Kingston*,BYU,Big 12,13,1,3,33.3,33,1,33.3,0,0.0,11.0,17.67,33.0,2.5,235.7,,parker-kingston-1
338,Jacob Ulrich,Kennesaw State,CUSA,12,1,1,100.0,32,0,0.0,0,0.0,32.0,32.00,32.0,2.7,368.8,,jacob-ulrich-1
339,Lucian Anderson III*,Bowling Green,MAC,8,5,12,41.7,32,1,8.3,1,8.3,2.7,0.58,6.4,4.0,74.9,,lucian-anderson-iii-1
340,Deuce Hogan,New Mexico State,CUSA,2,6,18,33.3,31,0,0.0,2,11.1,1.7,-3.28,5.2,15.5,25.6,,deuce-hogan-1
341,Michael Johnson Jr.*,Syracuse,ACC,1,2,3,66.7,31,0,0.0,0,0.0,10.3,10.33,15.5,31.0,153.5,,michael-johnson-jr-1
342,Wyatt Young*,North Texas,American,13,1,1,100.0,31,0,0.0,0,0.0,31.0,31.00,31.0,2.4,360.4,,wyatt-young-2
343,Javon Tracy*,Miami (OH),MAC,13,1,1,100.0,30,1,100.0,0,0.0,30.0,50.00,30.0,2.3,682.0,,javon-tracy-1
344,Matthew Golden*,Texas,SEC,16,1,2,50.0,30,0,0.0,0,0.0,15.0,15.00,30.0,1.9,176.0,,matthew-golden-1
345,Donovan Leary*,Illinois,Big Ten,2,2,5,40.0,29,0,0.0,0,0.0,5.8,5.80,14.5,14.5,88.7,,donovan-leary-2
346,Joseph Manjack IV,Houston,Big 12,11,2,3,66.7,29,0,0.0,1,33.3,9.7,-5.33,14.5,2.6,81.2,,joseph-manjack-iv-1
347,Landon Parker,Troy,Sun Belt,12,1,3,33.3,29,0,0.0,0,0.0,9.7,9.67,29.0,2.4,114.5,,landon-parker-2
348,Kevin Concepcion*,North Carolina State,ACC,12,1,1,100.0,28,0,0.0,0,0.0,28.0,28.00,28.0,2.3,335.2,,kevin-concepcion-2
349,David Amador II*,UTSA,American,5,1,1,100.0,27,0,0.0,0,0.0,27.0,27.00,27.0,5.4,326.8,,david-amador-ii-1
350,Gerry Bohanon*,BYU,Big 12,4,3,4,75.0,27,0,0.0,1,25.0,6.8,-4.50,9.0,6.8,81.7,,gerry-bohanon-1
351,Jordan Napier,San Diego State,MWC,12,1,2,50.0,27,1,50.0,0,0.0,13.5,23.50,27.0,2.3,328.4,,jordan-napier-1
352,Ollie Gordon,Oklahoma State,Big 12,12,1,1,100.0,27,0,0.0,0,0.0,27.0,27.00,27.0,2.3,326.8,,ollie-gordon-1
353,Suderian Harrison,Virginia,ACC,8,1,1,100.0,27,0,0.0,0,0.0,27.0,27.00,27.0,3.4,326.8,,suderian-harrison-1
354,Trey Goodman,UTEP,CUSA,12,1,3,33.3,27,0,0.0,2,66.7,9.0,-21.00,27.0,2.3,-24.4,,trey-goodman-1
355,Carson Hansen*,Iowa State,Big 12,14,1,1,100.0,26,0,0.0,0,0.0,26.0,26.00,26.0,1.9,318.4,,carson-hansen-1
356,Christian Gelov,Purdue,Big Ten,1,1,3,33.3,26,0,0.0,0,0.0,8.7,8.67,26.0,26.0,106.1,,christian-gelov-1
357,Jaxon Potter*,Washington State,Ind,2,2,2,100.0,26,0,0.0,0,0.0,13.0,13.00,13.0,13.0,209.2,,jaxon-potter-1
358,Raylen Sharpe*,Fresno State,MWC,11,1,1,100.0,26,1,100.0,0,0.0,26.0,46.00,26.0,2.4,648.4,,raylen-sharpe-1
359,Brady Lichtenberg,Cincinnati,Big 12,3,3,5,60.0,25,0,0.0,0,0.0,5.0,5.00,8.3,8.3,102.0,,brady-lichtenberg-1
360,Chandler Pittman,Southern Mississippi,Sun Belt,10,1,1,100.0,25,0,0.0,0,0.0,25.0,25.00,25.0,2.5,310.0,,chandler-pittman-1
361,George Dimopoulus*,Northern Illinois,MAC,13,1,1,100.0,25,1,100.0,0,0.0,25.0,45.00,25.0,1.9,640.0,,george-dimopoulus-1
362,David Chapeau,Central Michigan,MAC,12,1,1,100.0,23,0,0.0,0,0.0,23.0,23.00,23.0,1.9,293.2,,david-chapeau-2
363,Donovan Edwards*,Michigan,Big Ten,12,1,1,100.0,23,1,100.0,0,0.0,23.0,43.00,23.0,1.9,623.2,,donovan-edwards-1
364,Dylan Lonergan*,Alabama,SEC,2,5,6,83.3,23,0,0.0,0,0.0,3.8,3.83,4.6,11.5,115.5,,dylan-lonergan-1
365,Jacobe Robinson*,Boston College,ACC,2,2,3,66.7,23,0,0.0,0,0.0,7.7,7.67,11.5,11.5,131.1,,jacobe-robinson-1
366,Kobe Johnson*,Colorado State,MWC,13,1,1,100.0,23,1,100.0,0,0.0,23.0,43.00,23.0,1.8,623.2,,kobe-johnson-1
367,Taji Hudson*,James Madison,Sun Belt,11,1,1,100.0,23,0,0.0,0,0.0,23.0,23.00,23.0,2.1,293.2,,taji-hudson-1
368,Tyler Buchner*,Notre Dame,Ind,2,1,1,100.0,23,0,0.0,0,0.0,23.0,23.00,23.0,11.5,293.2,,tyler-buchner-1
369,Braedon Sloan,Ball State,MAC,12,1,1,100.0,22,1,100.0,0,0.0,22.0,42.00,22.0,1.8,614.8,,braedon-sloan-1
370,Jacob Conover,Utah State,MWC,2,2,4,50.0,22,0,0.0,0,0.0,5.5,5.50,11.0,11.0,96.2,,jacob-conover-1
371,Savion Williams*,Texas Christian,Big 12,12,3,3,100.0,22,1,33.3,0,0.0,7.3,14.00,7.3,1.8,271.6,,savion-williams-2
372,Terry Lockett Jr.,Eastern Michigan,MAC,12,1,1,100.0,22,1,100.0,0,0.0,22.0,42.00,22.0,1.8,614.8,,terry-lockett-jr-1
373,Broc Lowry*,Western Michigan,MAC,11,4,8,50.0,21,0,0.0,0,0.0,2.6,2.63,5.3,1.9,72.1,,broc-lowry-1
374,DJ Herman,San Diego State,MWC,12,1,1,100.0,21,0,0.0,0,0.0,21.0,21.00,21.0,1.8,276.4,,dj-herman-1
375,Micah Ford,Stanford,ACC,9,2,2,100.0,21,2,100.0,0,0.0,10.5,30.50,10.5,2.3,518.2,,micah-ford-1
376,Quinton Jackson,Rice,American,12,1,1,100.0,21,0,0.0,0,0.0,21.0,21.00,21.0,1.8,276.4,,quinton-jackson-1
377,Coy Eakin*,Texas Tech,Big 12,13,1,2,50.0,20,1,50.0,0,0.0,10.0,20.00,20.0,1.5,299.0,,coy-eakin-1
378,Jalin Conyers*,Texas Tech,Big 12,13,1,1,100.0,20,1,100.0,0,0.0,20.0,40.00,20.0,1.5,598.0,,jalin-conyers-1
379,Reese Poffenbarger*,Miami (FL),ACC,4,6,7,85.7,20,0,0.0,0,0.0,2.9,2.86,3.3,5.0,109.7,,reese-poffenbarger-1
380,Shay Smith,UTEP,CUSA,4,3,3,100.0,20,0,0.0,0,0.0,6.7,6.67,6.7,5.0,156.0,,shay-smith-1
381,Tucker McDonald*,Connecticut,Ind,3,3,5,60.0,20,0,0.0,0,0.0,4.0,4.00,6.7,6.7,93.6,,tucker-mcdonald-1
382,Caleb Hood*,North Carolina,ACC,5,2,3,66.7,19,1,33.3,0,0.0,6.3,13.00,9.5,3.8,229.9,,caleb-hood-1
383,Dane Olson*,Colorado State,MWC,13,2,3,66.7,19,1,33.3,0,0.0,6.3,13.00,9.5,1.5,229.9,,dane-olson-1
384,Hunter Herring,Louisiana-Monroe,Sun Belt,8,1,2,50.0,19,0,0.0,0,0.0,9.5,9.50,19.0,2.4,129.8,,hunter-herring-1
385,Kajiya Hollawayne,Temple,American,11,1,1,100.0,19,0,0.0,0,0.0,19.0,19.00,19.0,1.7,259.6,,kajiya-hollawayne-2
386,Marquis Crosby*,Louisiana Tech,CUSA,11,1,1,100.0,19,1,100.0,0,0.0,19.0,39.00,19.0,1.7,589.6,,marquis-crosby-1
387,Nate Bennett*,Baylor,Big 12,3,1,2,50.0,19,0,0.0,0,0.0,9.5,9.50,19.0,6.3,129.8,,nate-bennett-4
