Rk,Player,Team,Conf,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player-additional
431,Aiden Leffler,Ball State,MAC,2,2,6,33.3,6,0,0.0,0,0.0,1.0,1.00,3.0,3.0,41.7,,aiden-leffler-1
432,Alberto Mendoza,Indiana,Big Ten,1,1,1,100.0,6,0,0.0,0,0.0,6.0,6.00,6.0,6.0,150.4,,alberto-mendoza-1
433,D'Wanyé Winfield*,Louisiana,Sun Belt,1,1,2,50.0,6,0,0.0,0,0.0,3.0,3.00,6.0,6.0,75.2,,dwanye-winfield-1
434,Dylan Morris*,James Madison,Sun Belt,4,1,1,100.0,6,0,0.0,0,0.0,6.0,6.00,6.0,1.5,150.4,,dylan-morris-1
435,Jaylin Lane*,Virginia Tech,ACC,12,1,1,100.0,6,1,100.0,0,0.0,6.0,26.00,6.0,0.5,480.4,,jaylin-lane-1
436,Jaden Smith,UTEP,CUSA,4,1,1,100.0,4,1,100.0,0,0.0,4.0,24.00,4.0,1.0,463.6,,jaden-smith-4
437,Kenny Minchey*,Notre Dame,Ind,1,1,1,100.0,4,0,0.0,0,0.0,4.0,4.00,4.0,4.0,133.6,,kenny-minchey-1
438,Caleb Junko*,Pitt,ACC,13,1,1,100.0,3,0,0.0,0,0.0,3.0,3.00,3.0,0.2,125.2,,caleb-junko-1
439,Cole Tannenbaum,Arizona,Big 12,4,1,5,20.0,3,0,0.0,1,20.0,0.6,-8.40,3.0,0.8,-15.0,,cole-tannenbaum-1
440,Mabrey Mettauer,Wisconsin,Big Ten,3,1,1,100.0,2,0,0.0,0,0.0,2.0,2.00,2.0,0.7,116.8,,mabrey-mettauer-1
441,JC Evans*,James Madison,Sun Belt,3,1,1,100.0,1,1,100.0,0,0.0,1.0,21.00,1.0,0.3,438.4,,jc-evans-1
442,Lucas Scheerhorn,Kennesaw State,CUSA,3,1,3,33.3,1,0,0.0,1,33.3,0.3,-14.67,1.0,0.3,-30.5,,lucas-scheerhorn-1
443,Simeon Evans*,Sam Houston,CUSA,13,1,1,100.0,1,0,0.0,0,0.0,1.0,1.00,1.0,0.1,108.4,,simeon-evans-1
444,Adam Jacklin,UTEP,CUSA,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,adam-jacklin-1
445,Alec Bevelhimer*,Miami (OH),MAC,14,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,alec-bevelhimer-1
446,Alessio Milivojevic,Michigan State,Big Ten,1,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,alessio-milivojevic-1
447,Anthony Sambucci*,Western Michigan,MAC,11,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,anthony-sambucci-1
448,Anthony Smith*,East Carolina,American,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,anthony-smith-14
449,Bauer Sharp*,Oklahoma,SEC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,bauer-sharp-1
450,Billy Wiles,Appalachian State,Sun Belt,2,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,billy-wiles-1
451,Brenen Thompson*,Oklahoma,SEC,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,brenen-thompson-1
452,Caden Davis*,Ole Miss,SEC,13,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,caden-davis-1
453,Cam Pickett,Ball State,MAC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,cam-pickett-1
454,Chris Parson,Mississippi State,SEC,4,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,chris-parson-1
455,Chrishon McCray,Kent State,MAC,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,chrishon-mccray-1
456,CJ Johnson II,Northwestern,Big Ten,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,cj-johnson-ii-1
457,Connor Stutz*,Connecticut,Ind,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,connor-stutz-1
458,Connor Weselman,Stanford,ACC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,connor-weselman-1
459,Dalen Cobb*,Georgia Southern,Sun Belt,13,0,3,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,dalen-cobb-1
460,Damien Alford,Utah,Big 12,4,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,damien-alford-1
461,Eli Heidenreich*,Navy,American,13,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,eli-heidenreich-1
462,Elijah Young*,Western Kentucky,CUSA,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,elijah-young-1
463,Emile Sebafundi*,Coastal Carolina,Sun Belt,13,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,emile-sebafundi-1
464,Evan Prater,Cincinnati,Big 12,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,evan-prater-1
465,Gavin Bartholomew*,Pitt,ACC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,gavin-bartholomew-1
466,Hinckley Ropati*,BYU,Big 12,8,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,hinckley-ropati-1
467,Holman Edwards,Houston,Big 12,1,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,holman-edwards-1
468,Ja'koby Banks*,Memphis,American,9,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jakoby-banks-1
469,James Tucker*,Coastal Carolina,Sun Belt,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,james-tucker-4
470,James Wagenseller*,Army,American,12,1,1,100.0,0,0,0.0,0,0.0,0.0,0.00,0.0,0.0,100.0,,james-wagenseller-1
471,Jaquez Moore*,Duke,ACC,5,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jaquez-moore-1
472,Jarquez Hunter,Auburn,SEC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,jarquez-hunter-1
473,Jason Llewellyn*,Texas Tech,Big 12,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jason-llewellyn-1
474,Jaylin Noel*,Iowa State,Big 12,14,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jaylin-noel-1
475,Jimmy Holiday*,Louisiana Tech,CUSA,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,jimmy-holiday-1
476,Justice Ellison,Indiana,Big Ten,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,justice-ellison-1
477,Justin Pegues*,Bowling Green,MAC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,justin-pegues-1
478,Kaedin Robinson,Appalachian State,Sun Belt,9,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,kaedin-robinson-1
479,Kai Kroeger*,South Carolina,SEC,13,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,kai-kroeger-1
480,Keldric Luster,SMU,ACC,5,1,3,33.3,0,0,0.0,0,0.0,0.0,0.00,0.0,0.0,33.3,,keldric-luster-1
481,Kenyon Clay,Southern Mississippi,Sun Belt,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,kenyon-clay-1
482,Kyre Duplessis*,Coastal Carolina,Sun Belt,12,0,3,0.0,0,0,0.0,1,33.3,0.0,-15.00,,0.0,-66.7,,kyre-duplessis-1
483,Kyron Ware-Hudson*,USC,Big Ten,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,kyron-ware-hudson-1
484,Landry Lyddy,UAB,American,2,1,5,20.0,0,0,0.0,0,0.0,0.0,0.00,0.0,0.0,20.0,,landry-lyddy-1
485,Luke Floriea,Kent State,MAC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,luke-floriea-1
486,Luke Hutchison*,Navy,American,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,luke-hutchison-2
487,Mario Williams*,Tulane,American,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,mario-williams-2
488,Marquis Johnson*,Missouri,SEC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,marquis-johnson-3
489,Matthew Rhodes*,Army,American,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,matthew-rhodes-2
490,Mikey Matthews*,California,ACC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,mikey-matthews-1
491,Mitchell Tomasek,Eastern Michigan,MAC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,mitchell-tomasek-1
492,Richie Hoskins*,Vanderbilt,SEC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,richie-hoskins-1
493,Roderick Daniels Jr.,SMU,ACC,14,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,roderick-daniels-jr-1
494,Ryan Millmore*,Western Michigan,MAC,13,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,ryan-millmore-1
495,Ryan Staub*,Colorado,Big 12,4,0,4,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,ryan-staub-1
496,Semaj Morgan*,Michigan,Big Ten,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,semaj-morgan-1
497,Taylor Morin,Wake Forest,ACC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,taylor-morin-1
498,Tez Johnson,Oregon,Big Ten,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,tez-johnson-1
499,Trace Campbell,UAB,American,6,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,trace-campbell-2
500,Trebor Pena*,Syracuse,ACC,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,trebor-pena-1
501,Trent Walker,Oregon State,Ind,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,trent-walker-1
502,Trent Whittemore,UCF,Big 12,11,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,trent-whittemore-1
503,Ty Son Lawton,Indiana,Big Ten,13,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,ty-son-lawton-2
504,Tyrell Robinson*,Army,American,8,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,tyrell-robinson-2
505,Walker Howard*,Ole Miss,SEC,2,0,2,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,walker-howard-1
506,Wilson Berry,Kentucky,SEC,12,0,1,0.0,0,0,0.0,1,100.0,0.0,-45.00,,0.0,-200.0,,wilson-berry-1
507,Xavier Restrepo*,Miami (FL),ACC,12,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,AA,xavier-restrepo-1
508,Zion Turner*,Jacksonville State,CUSA,1,0,1,0.0,0,0,0.0,0,0.0,0.0,0.00,,0.0,0.0,,zion-turner-1
509,Peter Moore*,Virginia Tech,ACC,13,1,1,100.0,-1,0,0.0,0,0.0,-1.0,-1.00,-1.0,-0.1,91.6,,peter-moore-1
510,Nate Rogers,UAB,American,1,1,1,100.0,-9,0,0.0,0,0.0,-9.0,-9.00,-9.0,-9.0,24.4,,nate-rogers-1
