Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
642,Masen Wake*,BYU,Ind,12,2,1,0,0,0,0,0,3,0,0,0,0,0,0,18,1.5,,masen-wake-1
643,Michael Wiley,Arizona,Pac-12,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,3.6,,michael-wiley-3
644,Michael Young*,Cincinnati,American,10,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,michael-young-4
645,Myron Mitchell,UAB,CUSA,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.0,,myron-mitchell-1
646,Nakia Watson*,Wisconsin,Big Ten,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,,nakia-watson-1
647,Nate Noel*,Appalachian State,Sun Belt,10,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,nate-noel-1
648,Nathaniel Dell*,Houston,American,8,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.3,,nathaniel-dell-1
649,Noah Johnson,South Florida,American,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,,noah-johnson-3
650,Oscar Adaway III*,North Texas,CUSA,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,2.6,,oscar-adaway-iii-1
651,Payne Durham,Purdue,Big Ten,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,,payne-durham-1
652,Phil Jurkovec,Boston College,ACC,10,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,phil-jurkovec-1
653,Pooka Williams,Kansas,Big 12,4,2,0,0,1,0,0,0,3,0,0,0,0,0,0,18,4.5,,pooka-williams-1
654,Pro Wells,Texas Christian,Big 12,10,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,pro-wells-1
655,Quinn Nordin,Michigan,Big Ten,4,0,0,0,0,0,0,0,0,12,12,2,5,0,0,18,4.5,,quinn-nordin-1
656,Rakeem Boyd,Arkansas,SEC,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,2.6,,rakeem-boyd-2
657,R.J. Sneed,Baylor,Big 12,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.0,,rj-sneed-1
658,Ronald Awatt,UTEP,CUSA,6,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,,ronald-awatt-1
659,Rory Bell,Temple,American,5,0,0,0,0,0,0,0,0,3,4,5,5,0,0,18,3.6,,rory-bell-1
660,Ryan O'Keefe*,UCF,American,10,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,ryan-okeefe-1
661,Sean Clifford,Penn State,Big Ten,9,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,2.0,,sean-clifford-1
662,Shameen Jones,Rutgers,Big Ten,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.0,,shameen-jones-1
663,Shane Simpson,Virginia,ACC,10,2,1,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,shane-simpson-1
664,Shedro Louis*,Liberty,Ind,10,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.8,,shedro-louis-1
665,Shermari Jones*,Coastal Carolina,Sun Belt,12,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,1.5,,shermari-jones-1
666,Simi Fehoko,Stanford,Pac-12,6,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,3.0,,simi-fehoko-1
667,Skylar Thompson,Kansas State,Big 12,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,18,6.0,,skylar-thompson-1
668,Skyy Moore,Western Michigan,MAC,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,3.6,,skyy-moore-1
669,Spencer Petras,Iowa,Big Ten,8,2,1,0,0,0,0,0,3,0,0,0,0,0,0,18,2.3,,spencer-petras-1
670,Stanley Berryhill III,Arizona,Pac-12,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,3.6,,stanley-berryhill-iii-1
671,Taylor Morin*,Wake Forest,ACC,9,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,2.0,,taylor-morin-1
672,Tayvion Robinson,Virginia Tech,ACC,11,0,3,0,0,0,0,0,3,0,0,0,0,0,0,18,1.6,,tayvion-robinson-1
