Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
1,Abraham Montano*,Fresno State,MWC,5,14,14,100.0,5,5,100.0,29,,abraham-montano-1
2,Alex Stadthaus,USC,Pac-12,7,11,11,100.0,6,6,100.0,29,,alex-stadthaus-1
3,Bobby Noel,Tulane,American,1,0,0,,1,1,100.0,3,,bobby-noel-1
4,Britton Williams,Georgia Southern,Sun Belt,12,3,4,75.0,4,4,100.0,15,,britton-williams-1
5,Connor Assalley*,Iowa State,Big 12,8,15,15,100.0,4,4,100.0,27,,connor-assalley-1
6,Danny Longman,Boston College,ACC,12,10,11,90.9,2,2,100.0,16,,danny-longman-1
7,Everett Ornstein*,UTSA,CUSA,4,0,0,,1,1,100.0,3,,everett-ornstein-1
8,Harrison Beattie*,Maryland,Big Ten,2,1,1,100.0,1,1,100.0,4,,harrison-beattie-1
9,Jack Martin*,Alabama,SEC,4,0,0,,1,1,100.0,3,,jack-martin-3
10,Jackson Baltar,Buffalo,MAC,10,1,1,100.0,1,1,100.0,4,,jackson-baltar-1
11,Kanon Woodill*,Northern Illinois,MAC,2,4,4,100.0,3,3,100.0,13,,kanon-woodill-1
12,Kieran Colahan*,Coastal Carolina,Sun Belt,13,7,7,100.0,1,1,100.0,10,,kieran-colahan-1
13,Morgan Suarez,Florida Atlantic,CUSA,3,5,5,100.0,2,2,100.0,11,,morgan-suarez-1
14,Nick Lopez,California,Pac-12,2,0,0,,1,1,100.0,3,,nick-lopez-2
15,Quinn Maretzki*,Army,Ind,4,7,7,100.0,1,1,100.0,10,,quinn-maretzki-1
16,Ryan Sanborn,Stanford,Pac-12,12,0,0,,1,1,100.0,3,,ryan-sanborn-1
17,Tyler Loop,Arizona,Pac-12,8,12,12,100.0,12,12,100.0,48,,tyler-loop-1
18,Zach Schmit*,Oklahoma,Big 12,4,4,4,100.0,1,1,100.0,7,,zach-schmit-1
19,Zack Long*,Tulsa,American,13,35,36,97.2,22,23,95.7,101,,zack-long-1
20,Chandler Staton*,Appalachian State,Sun Belt,14,57,57,100.0,20,21,95.2,117,,chandler-staton-1
21,Noah Ruggles*,Ohio State,Big Ten,13,74,74,100.0,20,21,95.2,134,,noah-ruggles-1
22,Nate Needham,Bowling Green,MAC,12,26,27,96.3,19,20,95.0,83,,nate-needham-2
23,Parker White*,South Carolina,SEC,12,30,30,100.0,16,17,94.1,78,,parker-white-2
24,Jonathan Garibay*,Texas Tech,Big 12,12,49,50,98.0,15,16,93.8,94,,jonathan-garibay-1
25,Harrison Mevis*,Missouri,SEC,14,42,42,100.0,26,28,92.9,120,,harrison-mevis-1
26,Jonah Dalmas,Boise State,MWC,12,38,39,97.4,26,28,92.9,116,,jonah-dalmas-1
27,Jake Moody*,Michigan,Big Ten,14,56,56,100.0,23,25,92.0,125,AA,jake-moody-1
28,Nick Sciba*,Wake Forest,ACC,14,65,65,100.0,23,25,92.0,134,,nick-sciba-1
29,Connor Lytton,Boston College,ACC,11,25,25,100.0,11,12,91.7,58,,connor-lytton-1
30,Brooks Buce,Troy,Sun Belt,12,32,34,94.1,8,9,88.9,56,,brooks-buce-2
31,Daniel Gutierrez,Nevada-Las Vegas,MWC,12,25,25,100.0,16,18,88.9,73,,daniel-gutierrez-1
32,Massimo Biscardi*,Coastal Carolina,Sun Belt,10,46,48,95.8,7,8,87.5,67,,massimo-biscardi-1
33,Andrew Mevis*,Iowa State,Big 12,13,32,32,100.0,20,23,87.0,92,,andrew-mevis-1
34,Cameron Dicker,Texas,Big 12,12,49,50,98.0,13,15,86.7,88,,cameron-dicker-2
35,Noel Ruiz*,Georgia State,Sun Belt,13,45,47,95.7,13,15,86.7,84,,noel-ruiz-1
36,Chad Ryland*,Eastern Michigan,MAC,13,47,47,100.0,19,22,86.4,104,,chad-ryland-1
37,Caleb Shudak*,Iowa,Big Ten,14,36,36,100.0,24,28,85.7,108,,caleb-shudak-1
38,Matthew Shipley,Hawaii,MWC,13,42,42,100.0,18,21,85.7,96,,matthew-shipley-1
39,Brendan Farrell,Virginia,ACC,9,34,34,100.0,11,13,84.6,67,,brendan-farrell-1
40,Ethan Mooney*,North Texas,CUSA,12,40,40,100.0,11,13,84.6,73,,ethan-mooney-1
41,Spencer Shrader,South Florida,American,12,35,35,100.0,11,13,84.6,68,,spencer-shrader-1
