Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
1,Ryon Sayeri*,USC,Big Ten,1,1,57,57.0,,ryon-sayeri-1
2,Chase Allen*,UTSA,American,7,1,50,50.0,,chase-allen-2
3,Alex Mastromanno,Florida State,ACC,12,55,2710,49.3,AA,alex-mastromanno-1
4,Palmer Williams*,Baylor,Big 12,13,43,2122,49.3,,palmer-williams-1
5,Jesse Mirco*,Vanderbilt,SEC,13,51,2450,48.0,,jesse-mirco-1
6,Ryan Eckley,Michigan State,Big Ten,12,43,2060,47.9,,ryan-eckley-1
7,Eddie Czaplicki*,USC,Big Ten,13,43,2057,47.8,,eddie-czaplicki-1
8,Kai Kroeger*,South Carolina,SEC,13,47,2248,47.8,,kai-kroeger-1
9,Brett Thorson,Georgia,SEC,13,42,1998,47.6,,brett-thorson-1
10,Luke Freer,Air Force,MWC,11,31,1471,47.5,,luke-freer-1
11,Josh Green,Oregon State,Ind,12,33,1559,47.2,,josh-green-2
12,Fraser Masin*,Ole Miss,SEC,12,36,1676,46.6,,fraser-masin-1
13,Wes Pahl,Oklahoma State,Big 12,12,25,1160,46.4,,wes-pahl-1
14,Hudson Hollenbeck*,Michigan,Big Ten,2,6,277,46.2,,hudson-hollenbeck-1
15,Tyler Pastula,San Diego State,MWC,12,58,2675,46.1,,tyler-pastula-1
16,Cole Snyder,Eastern Michigan,MAC,12,3,138,46.0,,cole-snyder-2
17,Jacob Ulrich,Kennesaw State,CUSA,12,75,3448,46.0,,jacob-ulrich-1
18,Jack Stonehouse*,Syracuse,ACC,13,33,1509,45.7,,jack-stonehouse-1
19,Jeremy Crawshaw*,Florida,SEC,13,59,2699,45.7,,jeremy-crawshaw-1
20,Riley Riethman*,Navy,American,13,57,2606,45.7,,riley-riethman-1
21,Lucas Borrow,Hawaii,MWC,12,48,2184,45.5,,lucas-borrow-1
22,Ross James,Oregon,Big Ten,13,37,1682,45.5,,ross-james-1
23,Aiden Laros,Kentucky,SEC,12,32,1453,45.4,,aiden-laros-1
24,Andrew Stokes*,South Florida,American,13,68,3090,45.4,,andrew-stokes-2
25,James Burnip*,Alabama,SEC,13,52,2359,45.4,,james-burnip-1
26,Atticus Bertrams,Wisconsin,Big Ten,12,55,2491,45.3,,atticus-bertrams-1
27,Devin Bale*,Arkansas,SEC,13,41,1855,45.2,,devin-bale-1
28,Lachlan Wilson*,California,ACC,13,57,2579,45.2,,lachlan-wilson-1
29,Bryce McFerson,Maryland,Big Ten,12,52,2343,45.1,,bryce-mcferson-1
30,Nathan Totten,Marshall,Sun Belt,9,2,90,45.0,,nathan-totten-1
31,Keelan Crimmins,Purdue,Big Ten,12,64,2871,44.9,,keelan-crimmins-1
32,Tyler White*,Texas A&M,SEC,13,46,2064,44.9,,tyler-white-6
33,Luke Elzinga*,Oklahoma,SEC,13,60,2687,44.8,,luke-elzinga-1
34,Nicholas Barr-Mira,Mississippi State,SEC,12,44,1971,44.8,,nicholas-barr-mira-1
35,Brian Buschini*,Nebraska,Big Ten,13,45,2013,44.7,,brian-buschini-1
36,George Eberle,New Mexico State,CUSA,12,62,2774,44.7,,george-eberle-1
37,Jack Bouwmeester,Utah,Big 12,12,60,2680,44.7,,jack-bouwmeester-1
38,Daniel Sparks,Virginia,ACC,12,57,2543,44.6,,daniel-sparks-1
39,James Allen,Georgia State,Sun Belt,12,51,2277,44.6,,james-allen-5
40,Peter Moore*,Virginia Tech,ACC,13,60,2678,44.6,,peter-moore-1
41,Bryce Lofton,Southern Mississippi,Sun Belt,12,61,2714,44.5,,bryce-lofton-1
42,Logan Lupo,Florida Atlantic,American,12,47,2092,44.5,,logan-lupo-1
43,Tyler Perkins*,Iowa State,Big 12,14,37,1642,44.4,,tyler-perkins-1
44,Marshall Nichols*,Nevada-Las Vegas,MWC,14,54,2393,44.3,,marshall-nichols-1
45,Mitch McCarthy,UCF,Big 12,12,40,1765,44.1,,mitch-mccarthy-1
46,Rhys Dakin*,Iowa,Big Ten,13,64,2822,44.1,,rhys-dakin-1
47,Evan Crenshaw,Troy,Sun Belt,3,1,44,44.0,,evan-crenshaw-1
48,Ian Ratliff*,Texas,SEC,3,8,352,44.0,,ian-ratliff-1
49,Jordan Forbes,Arizona,Big 12,2,5,220,44.0,,jordan-forbes-1
50,Pierse Stainton*,South Florida,American,1,2,88,44.0,,pierse-stainton-1
51,Jackson Ross,Tennessee,SEC,13,53,2329,43.9,,jackson-ross-1
52,Kade Reynoldson*,Duke,ACC,13,75,3285,43.8,,kade-reynoldson-1
53,Caleb Junko*,Pitt,ACC,13,58,2534,43.7,,caleb-junko-1
54,Mark Vassett*,Colorado,Big 12,13,53,2315,43.7,,mark-vassett-1
55,Oliver Straw*,West Virginia,Big 12,13,35,1530,43.7,,oliver-straw-1
56,Patrick Foley,UAB,American,12,41,1790,43.7,,patrick-foley-1
57,Angus Davies,Tulsa,American,12,68,2965,43.6,,angus-davies-1
58,Caden Noonkester*,North Carolina State,ACC,13,47,2047,43.6,,caden-noonkester-1
59,Connor Stutz*,Connecticut,Ind,13,62,2702,43.6,,connor-stutz-1
60,James Ferguson-Reynolds,Boise State,MWC,12,43,1872,43.5,,james-ferguson-reynolds-1
61,Joshua Sloan*,Memphis,American,13,47,2043,43.5,,joshua-sloan-1
62,Mark Crawford*,Minnesota,Big Ten,13,52,2260,43.5,,mark-crawford-4
63,Grant Chadwick,Middle Tennessee State,CUSA,12,51,2213,43.4,,grant-chadwick-1
64,Hunter Renner,Northwestern,Big Ten,12,18,780,43.3,,hunter-renner-1
65,Isaac Pearson,SMU,ACC,14,45,1947,43.3,,isaac-pearson-1
66,Michael Salgado-Medina,Arizona,Big 12,11,39,1690,43.3,,michael-salgado-medina-1
67,David Shanahan*,Georgia Tech,ACC,13,49,2119,43.2,,david-shanahan-1
68,Trent Carrizosa*,San Jose State,MWC,13,46,1985,43.2,,trent-carrizosa-1
69,Avery Book,Akron,MAC,12,66,2846,43.1,,avery-book-1
70,Hudson Kaak,Oklahoma State,Big 12,11,30,1294,43.1,,hudson-kaak-1
71,Luke Akers,Northwestern,Big Ten,12,39,1679,43.1,,luke-akers-1
72,Ethan Vasko*,Coastal Carolina,Sun Belt,12,1,43,43.0,,ethan-vasko-1
73,Ivan Mora,Wake Forest,ACC,12,52,2236,43.0,,ivan-mora-1
74,Jack McCallister*,Washington,Big Ten,13,42,1806,43.0,,jack-mccallister-1
75,Michael O'Shaughnessy,Charlotte,American,12,53,2281,43.0,,michael-oshaughnessy-1
76,Ryan Heicher*,Arkansas State,Sun Belt,13,57,2449,43.0,,ryan-heicher-1
77,Aidan Flintoft,Stanford,ACC,12,43,1844,42.9,,aidan-flintoft-1
78,Brody Richter,UCLA,Big Ten,12,40,1712,42.8,,brody-richter-1
79,Riley Thompson*,Penn State,Big Ten,16,51,2183,42.8,,riley-thompson-1
80,Sam Vander Haar*,BYU,Big 12,13,33,1412,42.8,,sam-vander-haar-1
81,Will Karoll*,Tulane,American,14,42,1796,42.8,,will-karoll-1
82,Aaron Rodriguez,New Mexico,MWC,12,41,1750,42.7,,aaron-rodriguez-1
83,Alex Smith*,Georgia Southern,Sun Belt,13,58,2479,42.7,,alex-smith-12
84,Cole Maynard*,Western Kentucky,CUSA,14,55,2350,42.7,,cole-maynard-1
85,Dean Janikowski*,Washington State,Ind,13,27,1153,42.7,,dean-janikowski-1
86,Luke Dunne,Oregon,Big Ten,11,9,384,42.7,,luke-dunne-1
87,Taren Schive,Boise State,MWC,13,6,256,42.7,,taren-schive-1
88,Ethan Duane*,Buffalo,MAC,13,65,2770,42.6,,ethan-duane-1
89,Jakob Anderson*,Rutgers,Big Ten,13,50,2128,42.6,,jakob-anderson-1
90,Mason Fletcher,Cincinnati,Big 12,12,42,1791,42.6,,mason-fletcher-1
91,Stephen Kotsanlee,Utah State,MWC,12,48,2043,42.6,,stephen-kotsanlee-1
92,Tommy Doman*,Michigan,Big Ten,12,49,2088,42.6,,tommy-doman-1
93,Dylan Joyce*,Miami (FL),ACC,13,25,1063,42.5,,dylan-joyce-1
94,Oscar Chapman,Auburn,SEC,12,41,1741,42.5,,oscar-chapman-1
95,Alec Clark,Marshall,Sun Belt,13,55,2333,42.4,,alec-clark-1
96,Ethan Craw*,Texas Christian,Big 12,13,42,1780,42.4,,ethan-craw-1
97,James Evans,Indiana,Big Ten,13,36,1528,42.4,,james-evans-2
98,Max Morgan*,Liberty,CUSA,12,43,1822,42.4,,max-morgan-2
99,Mitchell Tomasek,Eastern Michigan,MAC,12,47,1991,42.4,,mitchell-tomasek-1
100,Ryan Hanson*,James Madison,Sun Belt,13,50,2119,42.4,,ryan-hanson-1
101,Damon Greaves,Kansas,Big 12,10,33,1395,42.3,,damon-greaves-1
102,Jack Dawson*,Jacksonville State,CUSA,14,52,2199,42.3,,jack-dawson-2
103,Ryan Marks,Utah State,MWC,8,7,296,42.3,,ryan-marks-2
104,Simon McClannan*,Kansas State,Big 12,13,47,1990,42.3,,simon-mcclannan-1
105,Jack Burgess*,Texas Tech,Big 12,13,47,1982,42.2,,jack-burgess-1
106,Joe McGuire*,Ohio State,Big Ten,16,47,1977,42.1,,joe-mcguire-1
107,Josh Smith,Kent State,MAC,12,82,3445,42.0,,josh-smith-19
108,Liam Dougherty,Houston,Big 12,12,57,2389,41.9,,liam-dougherty-1
109,James Rendell*,Notre Dame,Ind,15,50,2091,41.8,,james-rendell-1
110,Luke Bauer*,Missouri,SEC,13,49,2047,41.8,,luke-bauer-1
111,Tyler Loop,Arizona,Big 12,12,4,167,41.8,,tyler-loop-1
112,Carter Schwartz*,Louisville,ACC,10,17,709,41.7,,carter-schwartz-1
113,James Wagenseller*,Army,American,12,24,1000,41.7,,james-wagenseller-1
114,Alec Bevelhimer*,Miami (OH),MAC,14,59,2455,41.6,,alec-bevelhimer-1
115,Michael Kern*,Texas,SEC,16,41,1706,41.6,,michael-kern-2
116,Alex Bacchetta,Rice,American,12,49,2033,41.5,,alex-bacchetta-1
117,Brian Cooey,Ball State,MAC,12,48,1994,41.5,,brian-cooey-1
118,David Chapeau,Central Michigan,MAC,12,56,2325,41.5,,david-chapeau-2
119,Conner Maynard,Appalachian State,Sun Belt,11,29,1200,41.4,,conner-maynard-2
120,Seamus Hall,Old Dominion,Sun Belt,11,61,2527,41.4,,seamus-hall-1
121,Peyton Todd*,LSU,SEC,13,19,784,41.3,,peyton-todd-1
122,Emile Sebafundi*,Coastal Carolina,Sun Belt,13,54,2224,41.2,,emile-sebafundi-1
123,Jadon Cardell*,Sam Houston,CUSA,13,66,2716,41.2,,jadon-cardell-1
124,Aidan Swanson,Clemson,ACC,13,57,2340,41.1,,aidan-swanson-1
125,Bryan Hansen*,Colorado State,MWC,13,9,370,41.1,,bryan-hansen-1
126,Tom Maginness*,North Carolina,ACC,13,51,2097,41.1,,tom-maginness-1
127,Ethan Garbers,UCLA,Big Ten,11,1,41,41.0,,ethan-garbers-1
128,Reese Keeney,Rice,American,12,1,41,41.0,,reese-keeney-1
129,Sawyer Evans*,North Texas,American,13,47,1928,41.0,,sawyer-evans-1
130,Clay Lawrence*,Fresno State,MWC,13,58,2375,40.9,,clay-lawrence-1
131,Fabrizio Pinton*,Illinois,Big Ten,3,8,326,40.8,,fabrizio-pinton-1
132,Hugh Robertson*,Illinois,Big Ten,12,37,1510,40.8,,hugh-robertson-1
133,John Henderson*,Bowling Green,MAC,13,50,2040,40.8,,john-henderson-5
134,Luke Larsen*,East Carolina,American,13,52,2123,40.8,,luke-larsen-1
135,Kanyon Floyd,Arizona State,Big 12,14,40,1629,40.7,,kanyon-floyd-1
136,Trey Turk,Middle Tennessee State,CUSA,2,3,122,40.7,,trey-turk-1
137,Emilio Duran*,Toledo,MAC,13,61,2475,40.6,,emilio-duran-1
138,Jack Martin*,South Alabama,Sun Belt,13,7,284,40.6,,jack-martin-1
139,AJ Bianco,Nevada,MWC,5,2,81,40.5,,aj-bianco-1
140,Dante Atton,Temple,American,12,75,3035,40.5,,dante-atton-1
141,Ethan Hampton*,Northern Illinois,MAC,11,4,162,40.5,,ethan-hampton-1
142,Jack Wilson*,Ohio,MAC,14,60,2432,40.5,,jack-wilson-4
143,Jack Culbreath,Wyoming,MWC,12,66,2665,40.4,,jack-culbreath-1
144,Aleksi Pulkkinen*,South Alabama,Sun Belt,12,46,1853,40.3,,aleksi-pulkkinen-1
145,CJ Kolodziey,Massachusetts,Ind,12,56,2259,40.3,,cj-kolodziey-1
146,Guy Gillespie,Nevada,MWC,13,46,1856,40.3,,guy-gillespie-1
147,Paddy Turner*,Colorado State,MWC,13,46,1853,40.3,,paddy-turner-1
148,Wilson Berry,Kentucky,SEC,12,12,484,40.3,,wilson-berry-1
149,Blake Ochsendorf*,LSU,SEC,10,12,482,40.2,,blake-ochsendorf-1
150,Nick Haberer*,Washington State,Ind,4,14,561,40.1,,nick-haberer-1
151,Ryan Millmore*,Western Michigan,MAC,13,52,2086,40.1,,ryan-millmore-1
152,Caile Hogan*,UTSA,American,13,55,2200,40.0,,caile-hogan-1
153,Carson Bay,Air Force,MWC,12,13,520,40.0,,carson-bay-1
154,Jace Gilbert*,Iowa State,Big 12,14,16,638,39.9,,jace-gilbert-1
155,Drew Miller,Georgia,SEC,1,4,159,39.8,,drew-miller-4
156,Patrick Rea*,Louisiana Tech,CUSA,13,67,2654,39.6,,patrick-rea-1
157,Chase Barry,UCLA,Big Ten,12,2,79,39.5,,chase-barry-1
158,Adam Jacklin,UTEP,CUSA,12,59,2324,39.4,,adam-jacklin-1
159,Daton Montiel,Florida International,CUSA,12,57,2247,39.4,,daton-montiel-1
160,Brady Hodges*,Louisville,ACC,13,24,944,39.3,,brady-hodges-1
161,Makenzie Ryan,Louisiana-Monroe,Sun Belt,12,58,2276,39.2,,makenzie-ryan-1
162,Nathan Torney*,Louisiana,Sun Belt,13,36,1410,39.2,,nathan-torney-1
163,Jackson Arnold*,Oklahoma,SEC,10,1,39,39.0,,jackson-arnold-1
164,Miller Moss*,USC,Big Ten,9,1,39,39.0,,miller-moss-1
165,Tom Foley*,Northern Illinois,MAC,13,39,1515,38.8,,tom-foley-1
166,David Nunez*,Texas State,Sun Belt,13,15,575,38.3,,david-nunez-1
167,Mitchell Lake,Appalachian State,Sun Belt,2,11,420,38.2,,mitchell-lake-1
168,Jack Smith,Clemson,ACC,2,3,114,38.0,,jack-smith-3
169,Robert Cole,Troy,Sun Belt,12,43,1634,38.0,,robert-cole-1
