Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
1,Cole Snyder*,Buffalo,MAC,13,1,56,56.0,,cole-snyder-2
2,Ethan Hampton,Northern Illinois,MAC,4,1,51,51.0,,ethan-hampton-1
3,Timmy Bleekrode,Nebraska,Big Ten,12,1,51,51.0,,timmy-bleekrode-1
4,Bryce Baringer,Michigan State,Big Ten,12,50,2450,49.0,AA,bryce-baringer-1
5,Caleb Junko*,Pitt,ACC,7,12,584,48.7,,caleb-junko-1
6,Arlind Bengu,Louisiana Tech,CUSA,2,2,97,48.5,,arlind-bengu-1
7,D.J. Uiagalelei*,Clemson,ACC,13,1,48,48.0,,dj-uiagalelei-1
8,Thomas Cluckey*,Toledo,MAC,14,1,48,48.0,,thomas-cluckey-1
9,Jeremy Crawshaw*,Florida,SEC,13,35,1678,47.9,,jeremy-crawshaw-1
10,Luke Freer*,Air Force,MWC,1,2,95,47.5,,luke-freer-1
11,Will Hutchinson,Miami (FL),ACC,1,3,142,47.3,,will-hutchinson-2
12,Kyle Ulbrich*,Middle Tennessee State,CUSA,13,67,3157,47.1,,kyle-ulbrich-1
13,Jack Smith*,Clemson,ACC,1,1,47,47.0,,jack-smith-3
14,Ben Kiernan*,North Carolina,ACC,14,48,2245,46.8,,ben-kiernan-1
15,Michael Turk*,Oklahoma,Big 12,13,63,2948,46.8,,michael-turk-1
16,Mason Fletcher*,Cincinnati,American,13,62,2870,46.3,,mason-fletcher-1
17,Luke Loecher*,Oregon State,Pac-12,13,36,1663,46.2,,luke-loecher-1
18,Ryan Rehkow*,BYU,Ind,13,40,1847,46.2,,ryan-rehkow-1
19,Eddie Czaplicki,Arizona State,Pac-12,12,49,2257,46.1,,eddie-czaplicki-1
20,Jack Browning*,San Diego State,MWC,13,68,3135,46.1,,jack-browning-1
21,Kai Kroeger*,South Carolina,SEC,13,58,2675,46.1,,kai-kroeger-1
22,Brenden Brady*,UTSA,CUSA,12,2,92,46.0,,brenden-brady-1
23,Daniel Sparks,Virginia,ACC,10,46,2113,45.9,,daniel-sparks-1
24,Joe Doyle*,Memphis,American,13,49,2249,45.9,,joe-doyle-1
25,Kyle Ostendorp,Arizona,Pac-12,12,34,1546,45.5,,kyle-ostendorp-1
26,Jesse Mirco*,Ohio State,Big Ten,13,49,2223,45.4,,jesse-mirco-1
27,Matt Hayball,Vanderbilt,SEC,12,58,2634,45.4,,matt-hayball-1
28,Riley Thompson,Florida Atlantic,CUSA,12,61,2770,45.4,,riley-thompson-1
29,Tory Taylor*,Iowa,Big Ten,13,82,3725,45.4,,tory-taylor-1
30,Jamieson Sheahan,California,Pac-12,12,64,2897,45.3,,jamieson-sheahan-1
31,Kyle Greenwell*,UAB,CUSA,13,44,1992,45.3,,kyle-greenwell-1
32,Louis Hedley,Miami (FL),ACC,12,46,2084,45.3,,louis-hedley-1
33,Brett Thorson*,Georgia,SEC,14,36,1620,45.0,,brett-thorson-1
34,Colton Spangler*,Maryland,Big Ten,13,56,2522,45.0,,colton-spangler-1
35,Josh Green*,Oregon State,Pac-12,5,1,45,45.0,,josh-green-2
36,Logan Ward*,Oklahoma State,Big 12,12,37,1665,45.0,,logan-ward-1
37,Lucas Dean*,UTSA,CUSA,14,41,1847,45.0,,lucas-dean-1
38,Mark Vassett*,Louisville,ACC,13,52,2321,44.6,,mark-vassett-1
39,Reid Bauer*,Arkansas,SEC,12,23,1025,44.6,,reid-bauer-1
40,Jay Bramblett*,LSU,SEC,14,49,2181,44.5,,jay-bramblett-1
41,Ty Zentner*,Kansas State,Big 12,14,59,2625,44.5,,ty-zentner-1
42,Joshua Sloan,UTEP,CUSA,12,45,1998,44.4,,joshua-sloan-1
43,Austin McNamara*,Texas Tech,Big 12,13,50,2215,44.3,,austin-mcnamara-1
44,Barney Amor*,Penn State,Big Ten,13,54,2391,44.3,,barney-amor-1
45,James Evans,Indiana,Big Ten,12,75,3325,44.3,,james-evans-2
46,Mitchell Tomasek*,Eastern Michigan,MAC,13,48,2125,44.3,,mitchell-tomasek-1
47,Aaron Rodriguez,New Mexico,MWC,12,81,3578,44.2,,aaron-rodriguez-1
48,Adam Korsak,Rutgers,Big Ten,12,75,3297,44.0,,adam-korsak-1
49,Brendan Cropsey*,Purdue,Big Ten,2,2,88,44.0,,brendan-cropsey-1
50,Brian Buschini,Nebraska,Big Ten,12,68,2995,44.0,,brian-buschini-1
51,Andy Vujnovich*,Wisconsin,Big Ten,13,63,2768,43.9,,andy-vujnovich-1
52,Devyn McCormick,Louisiana-Monroe,Sun Belt,12,60,2636,43.9,,devyn-mccormick-1
53,Jon Sot*,Notre Dame,Ind,13,49,2151,43.9,,jon-sot-1
54,Clayton Stewart*,Wyoming,MWC,13,73,3194,43.8,,clayton-stewart-1
55,Lachlan Wilson,Tulsa,American,12,58,2539,43.8,,lachlan-wilson-1
56,Riley Riethman,Navy,American,12,45,1970,43.8,,riley-riethman-1
57,Ryan Hanson,Arkansas State,Sun Belt,12,47,2057,43.8,,ryan-hanson-1
58,Tom Hutton*,Oklahoma State,Big 12,8,44,1929,43.8,,tom-hutton-2
59,Kellen Grave de Peralta,Navy,American,7,7,306,43.7,,kellen-grave-de-peralta-1
60,Laine Wilkins*,Houston,American,13,40,1749,43.7,,laine-wilkins-1
61,Oscar Chapman,Auburn,SEC,12,56,2449,43.7,,oscar-chapman-1
62,Ryan Bujcevski*,SMU,American,12,40,1747,43.7,,ryan-bujcevski-1
63,David Shanahan,Georgia Tech,ACC,12,73,3172,43.5,,david-shanahan-1
64,Mitch McCarthy*,UCF,American,12,39,1698,43.5,,mitch-mccarthy-1
65,William Przystup,Arkansas State,Sun Belt,8,21,913,43.5,,william-przystup-1
66,Rhys Byrns*,Louisiana,Sun Belt,13,53,2300,43.4,,rhys-byrns-1
67,Sam Clark,James Madison,Sun Belt,11,49,2122,43.3,,sam-clark-1
68,Stephen Kotsanlee*,Utah State,MWC,13,65,2810,43.2,,stephen-kotsanlee-1
69,Jack Brooks*,South Alabama,Sun Belt,13,57,2455,43.1,,jack-brooks-1
70,Porter Wilson*,Duke,ACC,13,46,1984,43.1,,porter-wilson-1
71,Anthony Beck II*,Georgia Southern,Sun Belt,13,50,2152,43.0,,anthony-beck-ii-1
72,Anthony Venneri*,Buffalo,MAC,10,43,1849,43.0,,anthony-venneri-1
73,Caden Noonkester*,North Carolina State,ACC,5,29,1247,43.0,,caden-noonkester-1
74,Ethan Duane,Old Dominion,Sun Belt,12,67,2876,42.9,,ethan-duane-1
75,Bailey Rice,Charlotte,CUSA,12,46,1965,42.7,,bailey-rice-1
76,Mason Hunt*,Southern Mississippi,Sun Belt,13,70,2973,42.5,,mason-hunt-1
77,Nicholas Barr-Mira*,UCLA,Pac-12,13,25,1063,42.5,,nicholas-barr-mira-1
78,Archer Trafford*,Mississippi State,SEC,10,16,679,42.4,,archer-trafford-1
79,Dom Dzioban*,Miami (OH),MAC,13,72,3056,42.4,,dom-dzioban-1
80,Jack Stonehouse*,Missouri,SEC,10,46,1951,42.4,,jack-stonehouse-1
81,Marshall Nichols,Nevada-Las Vegas,MWC,12,59,2504,42.4,,marshall-nichols-1
82,Nick Haberer*,Washington State,Pac-12,13,59,2502,42.4,,nick-haberer-1
83,Tom Ellard*,Western Kentucky,CUSA,13,43,1824,42.4,,tom-ellard-1
84,Aidan Swanson*,Clemson,ACC,14,62,2620,42.3,,aidan-swanson-1
85,Brad Robbins*,Michigan,Big Ten,14,43,1818,42.3,,brad-robbins-1
86,James Burnip*,Alabama,SEC,13,44,1861,42.3,,james-burnip-1
87,Matt Freem,Nevada,MWC,12,50,2113,42.3,,matt-freem-3
88,Oliver Straw,West Virginia,Big 12,11,48,2029,42.3,,oliver-straw-1
89,Luke Elzinga,Central Michigan,MAC,12,55,2321,42.2,,luke-elzinga-1
90,Tyler Perkins,Iowa State,Big 12,12,50,2112,42.2,,tyler-perkins-1
91,Daton Montiel,Florida International,CUSA,12,67,2819,42.1,,daton-montiel-1
92,Fraser Masin*,Ole Miss,SEC,12,41,1727,42.1,,fraser-masin-1
93,Mike Rivers*,Troy,Sun Belt,14,62,2610,42.1,,mike-rivers-1
94,Nick Mihalic,Western Michigan,MAC,12,69,2905,42.1,,nick-mihalic-1
95,Braxton Guilbeau,Louisiana-Monroe,Sun Belt,2,3,126,42.0,,braxton-guilbeau-1
96,Caleb Williams*,USC,Pac-12,14,2,84,42.0,H-1MaxwellAACamp,caleb-williams-3
97,Daniel Trejo*,Texas,Big 12,13,45,1890,42.0,,daniel-trejo-1
98,Kade Loggins,Georgia State,Sun Belt,12,1,42,42.0,,kade-loggins-1
99,Michael Hayes,Georgia State,Sun Belt,12,56,2351,42.0,,michael-hayes-4
100,Jack Ansell*,Purdue,Big Ten,14,54,2263,41.9,,jack-ansell-1
101,Ross James*,Oregon,Pac-12,3,8,335,41.9,,ross-james-1
102,Alex Mastromanno*,Florida State,ACC,13,34,1422,41.8,,alex-mastromanno-1
103,Casey Glover*,Tulane,American,14,45,1879,41.8,,casey-glover-1
104,James Ferguson-Reynolds*,Boise State,MWC,13,63,2631,41.8,,james-ferguson-reynolds-1
105,Nik Constantinou,Texas A&M,SEC,12,62,2588,41.7,,nik-constantinou-1
106,Peter Moore,Virginia Tech,ACC,11,73,3042,41.7,,peter-moore-1
107,Ryan Sanborn,Stanford,Pac-12,12,57,2376,41.7,,ryan-sanborn-1
108,Carson King*,Fresno State,MWC,14,52,2161,41.6,,carson-king-2
109,Aidan Alves*,Liberty,Ind,13,61,2533,41.5,,aidan-alves-1
110,Colin Goodfellow*,Kentucky,SEC,9,32,1328,41.5,,colin-goodfellow-1
111,Isaac Power*,Baylor,Big 12,13,41,1702,41.5,,isaac-power-1
112,Jayden De Laura,Arizona,Pac-12,12,2,83,41.5,,jayden-de-laura-1
113,Lucas Borrow,Ball State,MAC,12,66,2735,41.4,,lucas-borrow-1
114,Shane McDonough*,North Carolina State,ACC,13,40,1656,41.4,,shane-mcdonough-1
115,Andrew Stokes,South Florida,American,6,16,661,41.3,,andrew-stokes-2
116,Wilson Berry*,Kentucky,SEC,5,19,782,41.2,,wilson-berry-1
117,Conor Hunt*,Rice,CUSA,13,49,2007,41.0,,conor-hunt-1
118,Danny Longman,Boston College,ACC,12,60,2462,41.0,,danny-longman-1
119,Jason Bean*,Kansas,Big 12,12,1,41,41.0,,jason-bean-1
120,Luke Akers,Northwestern,Big Ten,12,45,1846,41.0,,luke-akers-1
121,Michael O'Shaughnessy*,Ohio State,Big Ten,1,1,41,41.0,,michael-oshaughnessy-1
122,Rece Verhoff*,Marshall,Sun Belt,13,9,369,41.0,,rece-verhoff-1
123,Ryan Eckley,Michigan State,Big Ten,2,1,41,41.0,,ryan-eckley-1
124,Tommy Doman*,Michigan,Big Ten,4,1,41,41.0,,tommy-doman-1
125,Ivan Mora*,Wake Forest,ACC,12,40,1630,40.8,,ivan-mora-1
126,Jack McCallister*,Washington,Pac-12,13,23,939,40.8,,jack-mccallister-1
127,Seamus O'Kelly,Texas State,Sun Belt,12,73,2978,40.8,,seamus-okelly-1
128,Tom Foley,Northern Illinois,MAC,12,47,1917,40.8,,tom-foley-1
129,Trent Carrizosa,Colorado,Pac-12,9,46,1877,40.8,,trent-carrizosa-1
130,Colin McCreary,South Florida,American,10,25,1018,40.7,,colin-mccreary-2
131,Collin Schlee,Kent State,MAC,11,3,122,40.7,,collin-schlee-1
132,Matthew Shipley,Hawaii,MWC,13,63,2567,40.7,,matthew-shipley-1
133,Alex Weir*,San Jose State,MWC,8,25,1014,40.6,,alex-weir-1
134,Ashton Logan,Colorado,Pac-12,3,17,690,40.6,,ashton-logan-2
135,Austin McCready,Louisiana Tech,CUSA,10,34,1380,40.6,,austin-mccready-1
