Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
554,Brett Norfleet*,Missouri,SEC,11,26,235,9.0,2,21.4,0,0,,0,0.0,26,235,9.0,2,,brett-norfleet-1
555,Mookie Cooper*,Missouri,SEC,7,12,235,19.6,0,33.6,1,4,4.0,0,0.6,13,239,18.4,0,,mookie-cooper-1
556,Jacob Jordan*,Oklahoma,SEC,7,27,234,8.7,1,33.4,1,3,3.0,0,0.4,28,237,8.5,1,,jacob-jordan-2
557,Kendall Karr*,Coastal Carolina,Sun Belt,12,13,234,18.0,1,19.5,0,0,,0,0.0,13,234,18.0,1,,kendall-karr-1
558,Kevin Davis*,Miami (OH),MAC,14,29,234,8.1,2,16.7,50,331,6.6,4,23.6,79,565,7.2,6,,kevin-davis-8
559,Tre Stewart*,Jacksonville State,CUSA,14,18,234,13.0,1,16.7,278,1638,5.9,25,117.0,296,1872,6.3,26,,tre-stewart-1
560,Decker DeGraaf*,Washington,Big Ten,13,15,233,15.5,3,17.9,0,0,,0,0.0,15,233,15.5,3,,decker-degraaf-1
561,Max Reese,Eastern Michigan,MAC,12,27,232,8.6,2,19.3,1,3,3.0,0,0.3,28,235,8.4,2,,max-reese-1
562,Jamal Johnson*,Bowling Green,MAC,13,31,231,7.5,1,17.8,26,188,7.2,1,14.5,57,419,7.4,2,,jamal-johnson-2
563,Luke Lachey*,Iowa,Big Ten,12,28,231,8.3,0,19.3,0,0,,0,0.0,28,231,8.3,0,,luke-lachey-1
564,Luke McGary,Tulsa,American,12,17,231,13.6,1,19.3,0,0,,0,0.0,17,231,13.6,1,,luke-mcgary-1
565,Brenen Thompson*,Oklahoma,SEC,11,19,230,12.1,2,20.9,0,0,,0,0.0,19,230,12.1,2,,brenen-thompson-1
566,Joshua Porter*,South Florida,American,13,25,230,9.2,0,17.7,1,5,5.0,0,0.4,26,235,9.0,0,,joshua-porter-1
567,Malique Dieudonne*,Western Michigan,MAC,11,13,230,17.7,2,20.9,1,0,0.0,0,0.0,14,230,16.4,2,,malique-dieudonne-1
568,Alex Tecza*,Navy,American,13,12,229,19.1,2,17.6,125,576,4.6,8,44.3,137,805,5.9,10,,alex-tecza-1
569,Cole Turner,Clemson,ACC,14,16,229,14.3,2,16.4,5,56,11.2,1,4.0,21,285,13.6,3,,cole-turner-3
570,Ja'Quez Cross*,Arkansas State,Sun Belt,13,35,228,6.5,1,17.5,115,638,5.5,2,49.1,150,866,5.8,3,,jaquez-cross-1
571,River Helms*,Western Kentucky,CUSA,7,19,228,12.0,2,32.6,0,0,,0,0.0,19,228,12.0,2,,river-helms-1
572,Kenyon Clay,Southern Mississippi,Sun Belt,12,21,225,10.7,1,18.8,84,387,4.6,7,32.3,105,612,5.8,8,,kenyon-clay-1
573,Kris Mitchell*,Notre Dame,Ind,16,22,224,10.2,2,14.0,0,0,,0,0.0,22,224,10.2,2,,kris-mitchell-1
574,Gage Larvadain*,South Carolina,SEC,13,19,223,11.7,1,17.2,2,15,7.5,0,1.2,21,238,11.3,1,,gage-larvadain-1
575,Jaydn Ott*,California,ACC,10,24,222,9.3,1,22.2,116,385,3.3,4,38.5,140,607,4.3,5,,jaydn-ott-1
576,Marlion Jackson*,Louisiana Tech,CUSA,10,14,222,15.9,1,22.2,5,13,2.6,0,1.3,19,235,12.4,1,,marlion-jackson-1
577,Nathan Kent*,Navy,American,13,10,222,22.2,2,17.1,2,51,25.5,1,3.9,12,273,22.8,3,,nathan-kent-1
578,Tastean Reddicks,Oregon State,Ind,11,17,222,13.1,0,20.2,0,0,,0,0.0,17,222,13.1,0,,tastean-reddicks-1
579,Trell Harris,Virginia,ACC,4,15,221,14.7,2,55.3,0,0,,0,0.0,15,221,14.7,2,,trell-harris-1
580,Kyirin Heath,Southern Mississippi,Sun Belt,10,15,220,14.7,2,22.0,0,0,,0,0.0,15,220,14.7,2,,kyirin-heath-1
581,Solomon Lewis*,Louisiana Tech,CUSA,12,16,220,13.8,3,18.3,3,11,3.7,0,0.9,19,231,12.2,3,,solomon-lewis-1
582,Bryson Green,Wisconsin,Big Ten,8,17,219,12.9,2,27.4,0,0,,0,0.0,17,219,12.9,2,,bryson-green-1
583,Lee Beebe,UAB,American,12,30,219,7.3,1,18.3,166,884,5.3,7,73.7,196,1103,5.6,8,,lee-beebe-1
584,Michael Phoenix II*,Sam Houston,CUSA,12,15,219,14.6,3,18.3,3,-5,-1.7,0,-0.4,18,214,11.9,3,,michael-phoenix-ii-1
585,Jordan Ross*,Colorado State,MWC,13,15,218,14.5,1,16.8,2,0,0.0,0,0.0,17,218,12.8,1,,jordan-ross-2
586,Josh Cuevas*,Alabama,SEC,13,16,218,13.6,1,16.8,0,0,,0,0.0,16,218,13.6,1,,josh-cuevas-1
587,Micah Mays Jr.,Wake Forest,ACC,12,16,218,13.6,2,18.2,0,0,,0,0.0,16,218,13.6,2,,micah-mays-jr-1
588,Zavion Thomas*,LSU,SEC,13,23,218,9.5,2,16.8,9,76,8.4,0,5.8,32,294,9.2,2,,zavion-thomas-1
589,Bryson Washington*,Baylor,Big 12,11,22,217,9.9,1,19.7,175,1028,5.9,12,93.5,197,1245,6.3,13,,bryson-washington-3
590,Carson Kent,Kennesaw State,CUSA,11,18,217,12.1,3,19.7,0,0,,0,0.0,18,217,12.1,3,,carson-kent-1
591,Keyan Burnett,Arizona,Big 12,8,18,217,12.1,1,27.1,0,0,,0,0.0,18,217,12.1,1,,keyan-burnett-1
592,Omarion Miller*,Colorado,Big 12,7,10,216,21.6,1,30.9,0,0,,0,0.0,10,216,21.6,1,,omarion-miller-1
593,Quin Smith,Air Force,MWC,12,11,216,19.6,1,18.0,0,0,,0,0.0,11,216,19.6,1,,quin-smith-2
594,Terry Bussey*,Texas A&M,SEC,12,17,216,12.7,0,18.0,16,102,6.4,2,8.5,33,318,9.6,2,,terry-bussey-1
595,Elijah Mojarro,Rice,American,11,22,215,9.8,3,19.5,0,0,,0,0.0,22,215,9.8,3,,elijah-mojarro-1
596,Lawrance Toafili,Florida State,ACC,12,25,215,8.6,0,17.9,109,456,4.2,3,38.0,134,671,5.0,3,,lawrance-toafili-1
597,Payten Singletary*,South Florida,American,13,18,215,11.9,2,16.5,0,0,,0,0.0,18,215,11.9,2,,payten-singletary-1
598,Colin Weber,Charlotte,American,12,21,213,10.1,0,17.8,0,0,,0,0.0,21,213,10.1,0,,colin-weber-1
599,Alex Bauman*,Tulane,American,13,20,212,10.6,7,16.3,0,0,,0,0.0,20,212,10.6,7,,alex-bauman-1
600,Will Pelissier,Wyoming,MWC,12,14,212,15.1,0,17.7,1,3,3.0,0,0.3,15,215,14.3,0,,will-pelissier-1
601,Jayden Harrison*,Notre Dame,Ind,16,19,211,11.1,1,13.2,0,0,,0,0.0,19,211,11.1,1,,jayden-harrison-1
602,Jojo Phillips*,BYU,Big 12,13,10,211,21.1,2,16.2,0,0,,0,0.0,10,211,21.1,2,,jojo-phillips-1
603,Mason Williams*,Ohio,MAC,14,19,211,11.1,2,15.1,1,7,7.0,1,0.5,20,218,10.9,3,,mason-williams-3
604,Charles Kellom,Akron,MAC,12,27,210,7.8,2,17.5,85,352,4.1,1,29.3,112,562,5.0,3,,charles-kellom-1
605,Dannis Jackson,Southern Mississippi,Sun Belt,10,11,210,19.1,0,21.0,2,11,5.5,0,1.1,13,221,17.0,0,,dannis-jackson-1
606,Sterling Galban,Massachusetts,Ind,12,25,210,8.4,0,17.5,1,-7,-7.0,0,-0.6,26,203,7.8,0,,sterling-galban-1
607,Bryce Damous,UAB,American,12,19,209,11.0,1,17.4,0,0,,0,0.0,19,209,11.0,1,,bryce-damous-1
608,Jordan James,Oregon,Big Ten,14,26,209,8.0,0,14.9,233,1267,5.4,15,90.5,259,1476,5.7,15,,jordan-james-3
609,Nazeviah Burris,Florida International,CUSA,8,22,209,9.5,1,26.1,2,13,6.5,0,1.6,24,222,9.3,1,,nazeviah-burris-1
610,Shamar Sandgren*,South Alabama,Sun Belt,13,19,208,10.9,1,16.0,0,0,,0,0.0,19,208,10.9,1,,shamar-sandgren-1
611,Zeriah Beason,Troy,Sun Belt,11,16,208,13.0,0,18.9,0,0,,0,0.0,16,208,13.0,0,,zeriah-beason-1
612,Hayden Hansen*,Florida,SEC,13,15,207,13.8,1,15.9,0,0,,0,0.0,15,207,13.8,1,,hayden-hansen-1
613,Jadon Jackson*,Kansas State,Big 12,12,15,207,13.8,1,17.3,2,9,4.5,0,0.8,17,216,12.7,1,,jadon-jackson-1
614,Jarod Bowie*,Jacksonville State,CUSA,14,13,207,15.9,0,14.8,3,24,8.0,0,1.7,16,231,14.4,0,,jarod-bowie-1
615,Qian Magwood,Ball State,MAC,11,23,207,9.0,4,18.8,0,0,,0,0.0,23,207,9.0,4,,qian-magwood-2
616,Bailey Stockton*,Georgia Tech,ACC,13,17,206,12.1,1,15.8,2,11,5.5,0,0.8,19,217,11.4,1,,bailey-stockton-1
617,Antario Brown*,Northern Illinois,MAC,8,8,204,25.5,1,25.5,115,567,4.9,4,70.9,123,771,6.3,5,,antario-brown-1
618,Damien Martinez*,Miami (FL),ACC,13,17,204,12.0,0,15.7,159,1002,6.3,10,77.1,176,1206,6.9,10,,damien-martinez-1
619,Justin Stevenson,Wyoming,MWC,12,17,204,12.0,3,17.0,5,40,8.0,0,3.3,22,244,11.1,3,,justin-stevenson-1
620,Christian Moss,Kennesaw State,CUSA,9,14,203,14.5,2,22.6,0,0,,0,0.0,14,203,14.5,2,,christian-moss-1
621,Elijah Gilliam*,Fresno State,MWC,13,32,203,6.3,0,15.6,121,466,3.9,8,35.8,153,669,4.4,8,,elijah-gilliam-1
622,Emmanual Stevenson*,Arkansas State,Sun Belt,13,28,203,7.3,1,15.6,0,0,,0,0.0,28,203,7.3,1,,emmanual-stevenson-1
623,Jared Casey,Kansas,Big 12,12,18,203,11.3,2,16.9,1,1,1.0,0,0.1,19,204,10.7,2,,jared-casey-2
624,Justius Lowe,Oregon,Big Ten,11,21,203,9.7,1,18.5,0,0,,0,0.0,21,203,9.7,1,,justius-lowe-1
625,Zion Steptoe,Tulsa,American,12,15,203,13.5,0,16.9,0,0,,0,0.0,15,203,13.5,0,,zion-steptoe-1
626,Aidan Mizell*,Florida,SEC,12,17,202,11.9,2,16.8,0,0,,0,0.0,17,202,11.9,2,,aidan-mizell-1
627,Josh Sterzer,Utah State,MWC,11,20,202,10.1,4,18.4,0,0,,0,0.0,20,202,10.1,4,,josh-sterzer-1
628,Justus Ross-Simmons*,Syracuse,ACC,10,9,202,22.4,2,20.2,0,0,,0,0.0,9,202,22.4,2,,justus-ross-simmons-1
629,Terrell McDonald,UAB,American,12,15,202,13.5,0,16.8,5,9,1.8,1,0.8,20,211,10.6,1,,terrell-mcdonald-1
630,Israel Polk,Akron,MAC,11,24,201,8.4,0,18.3,0,0,,0,0.0,24,201,8.4,0,,israel-polk-1
631,Keegan Jones,UCLA,Big Ten,12,19,201,10.6,1,16.8,47,179,3.8,1,14.9,66,380,5.8,2,,keegan-jones-1
632,George Pettaway*,James Madison,Sun Belt,13,24,200,8.3,2,15.4,162,980,6.0,5,75.4,186,1180,6.3,7,,george-pettaway-1
633,Robert Henry*,UTSA,American,11,21,199,9.5,1,18.1,130,706,5.4,7,64.2,151,905,6.0,8,,robert-henry-1
634,Tahj Brooks*,Texas Tech,Big 12,11,28,199,7.1,1,18.1,286,1505,5.3,17,136.8,314,1704,5.4,18,,tahj-brooks-1
635,Tykeem Wallace,Kennesaw State,CUSA,12,24,198,8.3,0,16.5,6,14,2.3,0,1.2,30,212,7.1,0,,tykeem-wallace-1
636,Broc Lane,Utah State,MWC,7,19,197,10.4,2,28.1,0,0,,0,0.0,19,197,10.4,2,,broc-lane-1
637,Tyrone Broden*,Arkansas,SEC,13,15,197,13.1,1,15.2,0,0,,0,0.0,15,197,13.1,1,,tyrone-broden-1
638,Austin Bolt,Boise State,MWC,14,16,196,12.3,4,14.0,0,0,,0,0.0,16,196,12.3,4,,austin-bolt-1
639,Caullin Lacy*,Louisville,ACC,5,18,196,10.9,1,39.2,5,21,4.2,1,4.2,23,217,9.4,2,,caullin-lacy-1
640,Cooper Mathers*,Washington State,Ind,11,13,196,15.1,6,17.8,0,0,,0,0.0,13,196,15.1,6,,cooper-mathers-1
641,Jeremiah Patterson,Arizona,Big 12,12,26,196,7.5,2,16.3,2,-2,-1.0,0,-0.2,28,194,6.9,2,,jeremiah-patterson-1
642,Parker Kingston*,BYU,Big 12,13,13,196,15.1,1,15.1,6,43,7.2,0,3.3,19,239,12.6,1,,parker-kingston-1
643,Sam Olson,Arizona,Big 12,11,13,196,15.1,2,17.8,0,0,,0,0.0,13,196,15.1,2,,sam-olson-1
644,Alex Perry,Hawaii,MWC,12,22,195,8.9,0,16.3,0,0,,0,0.0,22,195,8.9,0,,alex-perry-3
645,Ismail Mahdi*,Texas State,Sun Belt,12,24,195,8.1,2,16.3,183,991,5.4,4,82.6,207,1186,5.7,6,,ismail-mahdi-1
646,Jackson Hawes*,Georgia Tech,ACC,12,16,195,12.2,0,16.3,0,0,,0,0.0,16,195,12.2,0,,jackson-hawes-1
647,Elijah Metcalf,Marshall,Sun Belt,5,20,194,9.7,3,38.8,2,-3,-1.5,0,-0.6,22,191,8.7,3,,elijah-metcalf-1
648,John Adams,Temple,American,12,16,194,12.1,1,16.2,3,9,3.0,0,0.8,19,203,10.7,1,,john-adams-7
649,Trevor Etienne,Georgia,SEC,10,32,194,6.1,0,19.4,122,609,5.0,9,60.9,154,803,5.2,9,,trevor-etienne-1
650,Drake Dabney*,Texas Christian,Big 12,13,19,193,10.2,0,14.8,0,0,,0,0.0,19,193,10.2,0,,drake-dabney-1
651,Tyler Griffin,Louisiana-Monroe,Sun Belt,12,8,193,24.1,1,16.1,0,0,,0,0.0,8,193,24.1,1,,tyler-griffin-3
652,Tyler Savage*,East Carolina,American,13,14,193,13.8,1,14.8,0,0,,0,0.0,14,193,13.8,1,,tyler-savage-1
653,Dallas Payne,UAB,American,12,17,192,11.3,1,16.0,0,0,,0,0.0,17,192,11.3,1,,dallas-payne-1
654,Jaron Glover,Michigan State,Big Ten,9,15,192,12.8,2,21.3,2,20,10.0,0,2.2,17,212,12.5,2,,jaron-glover-1
655,Joshua Manning*,Missouri,SEC,13,13,192,14.8,1,14.8,1,4,4.0,1,0.3,14,196,14.0,2,,joshua-manning-1
656,Damarcus Thomas*,South Alabama,Sun Belt,13,22,191,8.7,3,14.7,0,0,,0,0.0,22,191,8.7,3,,damarcus-thomas-2
657,Kordell David,New Mexico State,CUSA,12,18,191,10.6,0,15.9,0,0,,0,0.0,18,191,10.6,0,,kordell-david-1
658,Sterling Berkhalter,Cincinnati,Big 12,12,11,191,17.4,1,15.9,0,0,,0,0.0,11,191,17.4,1,,sterling-berkhalter-1
659,Cam'ron Lacy,Middle Tennessee State,CUSA,12,20,190,9.5,0,15.8,1,1,1.0,0,0.1,21,191,9.1,0,,camron-lacy-1
660,Daejon Reynolds*,Pitt,ACC,12,15,189,12.6,1,15.8,0,0,,0,0.0,15,189,12.6,1,,daejon-reynolds-1
661,Jaedn Skeete*,Boston College,ACC,8,18,189,10.5,1,23.6,0,0,,0,0.0,18,189,10.5,1,,jaedn-skeete-1
662,Kobe Pace,Virginia,ACC,11,21,189,9.0,0,17.2,114,499,4.4,3,45.4,135,688,5.1,3,,kobe-pace-1
663,Kyson Brown,Arizona State,Big 12,14,13,189,14.5,1,13.5,73,351,4.8,2,25.1,86,540,6.3,3,,kyson-brown-1
664,Preston Howard,Maryland,Big Ten,11,24,189,7.9,0,17.2,0,0,,0,0.0,24,189,7.9,0,,preston-howard-1
665,Zach Horton,Indiana,Big Ten,13,21,189,9.0,4,14.5,0,0,,0,0.0,21,189,9.0,4,,zach-horton-1
666,Braydon Bennett*,Coastal Carolina,Sun Belt,11,25,188,7.5,2,17.1,134,781,5.8,11,71.0,159,969,6.1,13,,braydon-bennett-1
667,Brody Dalton,Troy,Sun Belt,12,15,188,12.5,3,15.7,0,0,,0,0.0,15,188,12.5,3,,brody-dalton-1
668,Kaleb Johnson*,Iowa,Big Ten,12,22,188,8.5,2,15.7,240,1537,6.4,21,128.1,262,1725,6.6,23,AA,kaleb-johnson-2
669,Hykeem Williams,Florida State,ACC,9,16,187,11.7,1,20.8,0,0,,0,0.0,16,187,11.7,1,,hykeem-williams-1
670,Loic Fouonji*,Vanderbilt,SEC,13,12,187,15.6,0,14.4,0,0,,0,0.0,12,187,15.6,0,,loic-fouonji-1
671,Rico Flores Jr.,UCLA,Big Ten,4,12,187,15.6,1,46.8,0,0,,0,0.0,12,187,15.6,1,,rico-flores-jr-1
672,Sebastian Macaluso*,San Jose State,MWC,13,15,187,12.5,0,14.4,0,0,,0,0.0,15,187,12.5,0,,sebastian-macaluso-2
673,Jesse Prewitt III,Central Michigan,MAC,12,23,186,8.1,2,15.5,0,0,,0,0.0,23,186,8.1,2,,jesse-prewitt-iii-1
674,Maliq Carr,Houston,Big 12,12,19,186,9.8,1,15.5,0,0,,0,0.0,19,186,9.8,1,,maliq-carr-1
675,Tylan Hines,Hawaii,MWC,12,23,186,8.1,3,15.5,39,162,4.2,0,13.5,62,348,5.6,3,,tylan-hines-1
676,Benjamin Yurosek,Georgia,SEC,14,15,185,12.3,0,13.2,0,0,,0,0.0,15,185,12.3,0,,benjamin-yurosek-1
677,Dante Cephas*,Kansas State,Big 12,13,15,184,12.3,0,14.2,0,0,,0,0.0,15,184,12.3,0,,dante-cephas-1
678,Theo Melin Öhrström*,Texas A&M,SEC,13,10,184,18.4,2,14.2,0,0,,0,0.0,10,184,18.4,2,,theo-melin-öhrström-1
679,Dominick Mazotti,Massachusetts,Ind,10,18,183,10.2,1,18.3,1,3,3.0,0,0.3,19,186,9.8,1,,dominick-mazotti-1
680,Jordon Simmons,Akron,MAC,11,21,183,8.7,0,16.6,110,664,6.0,2,60.4,131,847,6.5,2,,jordon-simmons-1
681,Corey Dyches*,California,ACC,9,17,181,10.6,1,20.1,0,0,,0,0.0,17,181,10.6,1,,corey-dyches-1
682,Evan Pryor,Cincinnati,Big 12,12,15,181,12.1,1,15.1,56,418,7.5,6,34.8,71,599,8.4,7,,evan-pryor-1
683,Sean Brown*,Jacksonville State,CUSA,13,11,181,16.5,3,13.9,0,0,,0,0.0,11,181,16.5,3,,sean-brown-10
684,Vandrevius Jacobs*,South Carolina,SEC,9,12,181,15.1,0,20.1,0,0,,0,0.0,12,181,15.1,0,,vandrevius-jacobs-1
685,Jacquez Stuart*,Toledo,MAC,12,16,180,11.3,0,15.0,68,269,4.0,2,22.4,84,449,5.3,2,,jacquez-stuart-1
686,Benjamin Brahmer*,Iowa State,Big 12,8,10,179,17.9,1,22.4,0,0,,0,0.0,10,179,17.9,1,,benjamin-brahmer-1
687,Blake Nowell*,Texas Christian,Big 12,13,9,179,19.9,1,13.8,0,0,,0,0.0,9,179,19.9,1,,blake-nowell-1
688,Corey Smith,Tulsa,American,12,12,179,14.9,2,14.9,1,2,2.0,0,0.2,13,181,13.9,2,,corey-smith-9
689,Iverson Hooks,UAB,American,12,14,179,12.8,1,14.9,0,0,,0,0.0,14,179,12.8,1,,iverson-hooks-1
690,Ollie Gordon,Oklahoma State,Big 12,12,29,179,6.2,1,14.9,190,880,4.6,13,73.3,219,1059,4.8,14,,ollie-gordon-1
691,Rahmir Johnson*,Nebraska,Big Ten,10,21,179,8.5,1,17.9,54,261,4.8,1,26.1,75,440,5.9,2,,rahmir-johnson-1
692,Jaden Smith,UTEP,CUSA,4,21,177,8.4,0,44.3,1,-1,-1.0,0,-0.3,22,176,8.0,0,,jaden-smith-4
693,Jonah Coleman*,Washington,Big Ten,13,23,177,7.7,0,13.6,193,1053,5.5,10,81.0,216,1230,5.7,10,,jonah-coleman-1
694,Brandon Inniss*,Ohio State,Big Ten,16,14,176,12.6,1,11.0,0,0,,0,0.0,14,176,12.6,1,,brandon-inniss-1
695,Finn Hogan*,Bowling Green,MAC,12,17,176,10.4,0,14.7,0,0,,0,0.0,17,176,10.4,0,,finn-hogan-1
696,Javon Cambell,Louisiana-Monroe,Sun Belt,7,8,176,22.0,1,25.1,0,0,,0,0.0,8,176,22.0,1,,javon-cambell-1
697,Julian Fleming*,Penn State,Big Ten,16,14,176,12.6,1,11.0,0,0,,0,0.0,14,176,12.6,1,,julian-fleming-1
698,Makhi Hughes*,Tulane,American,14,19,176,9.3,2,12.6,265,1401,5.3,15,100.1,284,1577,5.6,17,,makhi-hughes-1
699,Reece Vander Zee*,Iowa,Big Ten,9,14,176,12.6,3,19.6,0,0,,0,0.0,14,176,12.6,3,,reece-vander-zee-1
700,Gregory Desrosiers*,Memphis,American,8,21,175,8.3,4,21.9,31,228,7.4,3,28.5,52,403,7.8,7,,gregory-desrosiers-1
701,Cam Porter,Northwestern,Big Ten,11,23,174,7.6,0,15.8,126,501,4.0,6,45.5,149,675,4.5,6,,cam-porter-1
702,Bryce Kennon,Charlotte,American,11,17,173,10.2,1,15.7,0,0,,0,0.0,17,173,10.2,1,,bryce-kennon-1
703,Gavin Harris,Central Michigan,MAC,10,11,173,15.7,1,17.3,1,13,13.0,1,1.3,12,186,15.5,2,,gavin-harris-1
704,Jaden Bradley*,Nevada-Las Vegas,MWC,14,9,173,19.2,1,12.4,1,6,6.0,0,0.4,10,179,17.9,1,,jaden-bradley-1
705,Jordan Houston,Marshall,Sun Belt,13,13,173,13.3,1,13.3,111,592,5.3,2,45.5,124,765,6.2,3,,jordan-houston-1
706,Landen Thomas,Florida State,ACC,12,14,173,12.4,1,14.4,0,0,,0,0.0,14,173,12.4,1,,landen-thomas-2
707,Nate Carter,Michigan State,Big Ten,12,18,173,9.6,2,14.4,116,499,4.3,5,41.6,134,672,5.0,7,,nate-carter-4
708,Aneyas Williams*,Notre Dame,Ind,15,18,172,9.6,0,11.5,34,219,6.4,2,14.6,52,391,7.5,2,,aneyas-williams-1
709,Davis Dalton,Southern Mississippi,Sun Belt,12,15,172,11.5,2,14.3,0,0,,0,0.0,15,172,11.5,2,,davis-dalton-1
710,DJ Riles,Georgia State,Sun Belt,12,20,172,8.6,0,14.3,2,27,13.5,0,2.3,22,199,9.0,0,,dj-riles-1
711,Montana Lemonious-Craig,Arizona,Big 12,11,17,172,10.1,1,15.6,1,5,5.0,0,0.5,18,177,9.8,1,,montana-lemonious-craig-1
712,Dan Dishman*,UTSA,American,12,12,171,14.3,3,14.3,0,0,,0,0.0,12,171,14.3,3,,dan-dishman-1
713,Antonio Jones,Temple,American,12,23,170,7.4,1,14.2,3,10,3.3,0,0.8,26,180,6.9,1,,antonio-jones-2
714,Devin Mockobee,Purdue,Big Ten,12,17,170,10.0,1,14.2,138,687,5.0,4,57.3,155,857,5.5,5,,devin-mockobee-1
715,Marlyn Johnson,Florida Atlantic,American,11,17,169,9.9,0,15.4,0,0,,0,0.0,17,169,9.9,0,,marlyn-johnson-1
716,Artis Cole,Louisiana-Monroe,Sun Belt,12,13,168,12.9,1,14.0,0,0,,0,0.0,13,168,12.9,1,,artis-cole-1
717,Tavion Smith*,Louisiana,Sun Belt,14,12,168,14.0,4,12.0,0,0,,0,0.0,12,168,14.0,4,,tavion-smith-1
718,Toby Payne,Marshall,Sun Belt,13,17,168,9.9,6,12.9,0,0,,0,0.0,17,168,9.9,6,,toby-payne-1
719,Jayden Thomas*,Notre Dame,Ind,16,18,167,9.3,2,10.4,3,27,9.0,0,1.7,21,194,9.2,2,,jayden-thomas-1
720,Jordan Waters*,North Carolina State,ACC,12,15,167,11.1,1,13.9,95,470,4.9,4,39.2,110,637,5.8,5,,jordan-waters-1
721,Nicky Dalmolin*,Duke,ACC,6,11,167,15.2,2,27.8,0,0,,0,0.0,11,167,15.2,2,,nicky-dalmolin-1
722,Bralon Brown,Marshall,Sun Belt,12,15,166,11.1,2,13.8,0,0,,0,0.0,15,166,11.1,2,,bralon-brown-1
723,Dijon Stanley,Utah,Big 12,12,7,166,23.7,2,13.8,20,66,3.3,0,5.5,27,232,8.6,2,,dijon-stanley-1
724,Freddie Brock,Georgia State,Sun Belt,12,21,166,7.9,1,13.8,151,819,5.4,8,68.3,172,985,5.7,9,,freddie-brock-1
725,Jamal Haynes*,Georgia Tech,ACC,13,28,166,5.9,3,12.8,169,944,5.6,9,72.6,197,1110,5.6,12,,jamal-haynes-1
726,Kamryn Perry*,Miami (OH),MAC,13,10,166,16.6,0,12.8,0,0,,0,0.0,10,166,16.6,0,,kamryn-perry-1
727,Tailique Williams,Georgia State,Sun Belt,4,16,165,10.3,0,41.3,1,-1,-1.0,0,-0.3,17,164,9.6,0,,tailique-williams-1
728,Chase Penry,Boise State,MWC,13,14,164,11.7,0,12.6,0,0,,0,0.0,14,164,11.7,0,,chase-penry-1
729,Davon Booth,Mississippi State,SEC,12,13,164,12.6,4,13.7,152,759,5.0,5,63.3,165,923,5.6,9,,davon-booth-1
730,Chris Long*,Rutgers,Big Ten,8,11,163,14.8,1,20.4,0,0,,0,0.0,11,163,14.8,1,,chris-long-3
731,Jekail Middlebrook,Middle Tennessee State,CUSA,9,22,163,7.4,1,18.1,60,273,4.6,2,30.3,82,436,5.3,3,,jekail-middlebrook-1
732,Christian Dremel*,Rutgers,Big Ten,13,12,162,13.5,1,12.5,0,0,,0,0.0,12,162,13.5,1,,christian-dremel-1
733,Gabriel Benyard,Kennesaw State,CUSA,7,19,162,8.5,0,23.1,4,44,11.0,0,6.3,23,206,9.0,0,,gabriel-benyard-1
734,DJ Allen*,UTSA,American,6,11,161,14.6,1,26.8,0,0,,0,0.0,11,161,14.6,1,,dj-allen-1
735,Jude Wolfe,San Diego State,MWC,10,18,161,8.9,2,16.1,0,0,,0,0.0,18,161,8.9,2,,jude-wolfe-1
736,Quinshon Judkins*,Ohio State,Big Ten,16,22,161,7.3,2,10.1,194,1060,5.5,14,66.3,216,1221,5.7,16,,quinshon-judkins-1
737,Shaleak Knotts,Maryland,Big Ten,12,11,161,14.6,1,13.4,0,0,,0,0.0,11,161,14.6,1,,shaleak-knotts-1
738,Jake Overman*,Pitt,ACC,13,17,160,9.4,1,12.3,0,0,,0,0.0,17,160,9.4,1,,jake-overman-1
739,Marion Lukes,Central Michigan,MAC,11,16,160,10.0,1,14.5,161,788,4.9,5,71.6,177,948,5.4,6,,marion-lukes-1
740,Mekhi Shaw,San Diego State,MWC,12,15,160,10.7,2,13.3,0,0,,0,0.0,15,160,10.7,2,,mekhi-shaw-1
741,Tre Spivey*,Kansas State,Big 12,12,14,160,11.4,1,13.3,0,0,,0,0.0,14,160,11.4,1,,tre-spivey-1
742,Christian Hamilton*,North Carolina,ACC,8,7,159,22.7,1,19.9,0,0,,0,0.0,7,159,22.7,1,,christian-hamilton-1
743,Caleb Gossett*,Ohio,MAC,14,16,158,9.9,0,11.3,0,0,,0,0.0,16,158,9.9,0,,caleb-gossett-1
744,Jamari Johnson*,Louisville,ACC,7,13,158,12.2,1,22.6,0,0,,0,0.0,13,158,12.2,1,,jamari-johnson-1
745,Marcus Sanders Jr.*,Georgia Southern,Sun Belt,10,9,158,17.6,1,15.8,2,14,7.0,0,1.4,11,172,15.6,1,,marcus-sanders-jr-1
746,Terrell Anderson*,North Carolina State,ACC,13,14,158,11.3,1,12.2,0,0,,0,0.0,14,158,11.3,1,,terrell-anderson-2
747,Ben Black*,Rutgers,Big Ten,13,12,157,13.1,1,12.1,0,0,,0,0.0,12,157,13.1,1,,ben-black-1
748,Re'Shaun Sanford II,Houston,Big 12,12,18,157,8.7,0,13.1,94,444,4.7,1,37.0,112,601,5.4,1,,reshaun-sanford-ii-1
