Rk,Player,Team,Conf,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds,Y/A,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
427,Senika McKie*,Coastal Carolina,Sun Belt,13,23,314,13.7,4,24.2,0,0,,0,0.0,23,314,13.7,4,,senika-mckie-1
428,Jay Maclin,Kentucky,SEC,12,13,313,24.1,4,26.1,2,13,6.5,0,1.1,15,326,21.7,4,,jay-maclin-1
429,Noah Smith*,Sam Houston,CUSA,11,40,313,7.8,0,28.5,13,81,6.2,0,7.4,53,394,7.4,0,,noah-smith-3
430,Dalevon Campbell*,South Carolina,SEC,13,12,312,26.0,0,24.0,0,0,,0,0.0,12,312,26.0,0,,dalevon-campbell-1
431,Mario Anderson*,Memphis,American,13,52,312,6.0,3,24.0,236,1362,5.8,18,104.8,288,1674,5.8,21,,mario-anderson-1
432,Jeremiah Franklin*,Boston College,ACC,13,27,311,11.5,3,23.9,0,0,,0,0.0,27,311,11.5,3,,jeremiah-franklin-1
433,Malik Benson,Florida State,ACC,12,25,311,12.4,1,25.9,2,2,1.0,0,0.2,27,313,11.6,1,,malik-benson-1
434,Tre Wisner*,Texas,SEC,15,44,311,7.1,1,20.7,226,1064,4.7,5,70.9,270,1375,5.1,6,,tre-wisner-1
435,Ahmarian Granger,Akron,MAC,12,17,308,18.1,2,25.7,0,0,,0,0.0,17,308,18.1,2,,ahmarian-granger-1
436,Kenyon Sadiq,Oregon,Big Ten,14,24,308,12.8,2,22.0,5,24,4.8,0,1.7,29,332,11.4,2,,kenyon-sadiq-1
437,Dalton Stroman,Appalachian State,Sun Belt,10,20,307,15.4,5,30.7,0,0,,0,0.0,20,307,15.4,5,,dalton-stroman-1
438,Jasaiah Gathings*,Connecticut,Ind,13,32,307,9.6,3,23.6,0,0,,0,0.0,32,307,9.6,3,,jasaiah-gathings-1
439,Chamon Metayer,Arizona State,Big 12,14,32,306,9.6,5,21.9,0,0,,0,0.0,32,306,9.6,5,,chamon-metayer-1
440,Jaron Tibbs,Purdue,Big Ten,12,25,305,12.2,2,25.4,0,0,,0,0.0,25,305,12.2,2,,jaron-tibbs-1
