Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
159,Damon Greaves*,Kansas,Big 12,12,32,1248,39.0,,damon-greaves-1
160,Mitchell Lake*,Appalachian State,Sun Belt,14,54,2107,39.0,,mitchell-lake-1
161,Ian Brandt*,Old Dominion,Sun Belt,5,22,856,38.9,,ian-brandt-1
162,Sami Sir*,Bowling Green,MAC,4,17,659,38.8,,sami-sir-1
163,Adam Jacklin,North Texas,American,4,9,348,38.7,,adam-jacklin-1
164,Hunter Renner*,Northwestern,Big Ten,13,70,2702,38.6,,hunter-renner-1
165,Brenden Segovia*,Maryland,Big Ten,4,8,307,38.4,,brenden-segovia-1
166,Josh Carlson,Arizona State,Pac-12,12,25,956,38.2,,josh-carlson-1
167,Sam Candotti*,Boston College,ACC,13,32,1218,38.1,,sam-candotti-1
168,Emilio Duran*,Toledo,MAC,13,53,2003,37.8,,emilio-duran-1
169,Loren Diloreto*,Boston College,ACC,10,21,792,37.7,,loren-diloreto-1
170,Dante Jackson,Akron,MAC,12,64,2400,37.5,,dante-jackson-2
171,Austin Reed*,Western Kentucky,CUSA,12,1,37,37.0,,austin-reed-2
172,Bo Nix*,Oregon,Pac-12,14,1,37,37.0,H-3,bo-nix-1
173,Brendan Cropsey,Purdue,Big Ten,12,2,74,37.0,,brendan-cropsey-1
174,Cade Klubnik*,Clemson,ACC,13,1,37,37.0,,cade-klubnik-1
175,Dillon Gabriel*,Oklahoma,Big 12,12,1,37,37.0,,dillon-gabriel-1
176,Cooper Allen,Army,Ind,12,44,1617,36.8,,cooper-allen-1
177,Jared Wheatley*,Ohio,MAC,13,19,699,36.8,,jared-wheatley-1
178,Preston Stone*,SMU,American,12,4,147,36.8,,preston-stone-1
179,Riley Moore,Massachusetts,Ind,2,3,107,35.7,,riley-moore-2
180,Nick Salmon,Florida Atlantic,American,11,3,106,35.3,,nick-salmon-1
181,Andrew Osteen,Mississippi State,SEC,12,9,316,35.1,,andrew-osteen-1
182,D.J. Uiagalelei*,Oregon State,Pac-12,12,2,70,35.0,,dj-uiagalelei-1
183,Michael Alaimo,Kent State,MAC,8,1,35,35.0,,michael-alaimo-1
184,Charlie Durkin,Kent State,MAC,5,20,680,34.0,,charlie-durkin-1
185,Logan Smothers*,Jacksonville State,CUSA,12,3,98,32.7,,logan-smothers-1
186,Tristan Lyon*,Georgia State,Sun Belt,2,1,32,32.0,,tristan-lyon-1
187,Jayden De Laura*,Arizona,Pac-12,7,1,31,31.0,,jayden-de-laura-1
188,Riley Leonard*,Duke,ACC,7,1,28,28.0,,riley-leonard-1
189,E.J. Warner,Temple,American,10,1,27,27.0,,ej-warner-1
190,Lieghton Bechdel*,West Virginia,Big 12,7,1,26,26.0,,lieghton-bechdel-1
191,Hayden Wolff,Western Michigan,MAC,8,1,23,23.0,,hayden-wolff-1
192,Jack Smith*,Clemson,ACC,1,1,18,18.0,,jack-smith-3
193,Gunnar Watson*,Troy,Sun Belt,14,1,11,11.0,,gunnar-watson-1
