Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
1,Jack Podlesny*,Georgia,SEC,15,0,0,0,0,0,0,0,0,73,74,26,31,0,0,151,10.1,,jack-podlesny-1
2,Jake Moody*,Michigan,Big Ten,14,0,0,0,0,0,0,0,0,60,60,29,35,0,0,147,10.5,,jake-moody-1
3,Will Reichard*,Alabama,SEC,13,0,0,0,0,0,0,0,0,64,64,22,26,0,0,130,10.0,,will-reichard-1
4,Israel Abanikanda*,Pitt,ACC,11,20,1,0,0,0,0,0,21,0,0,0,0,1,0,128,11.6,,israel-abanikanda-1
5,Tyjae Spears*,Tulane,American,14,19,2,0,0,0,0,0,21,0,0,0,0,0,0,126,9.0,,tyjae-spears-1
6,Jared Sackett*,UTSA,CUSA,14,0,0,0,0,0,0,0,0,59,59,22,27,0,0,125,8.9,,jared-sackett-2
7,Noah Ruggles*,Ohio State,Big Ten,13,0,0,0,0,0,0,0,0,74,75,17,20,0,0,125,9.6,,noah-ruggles-1
8,Bijan Robinson*,Texas,Big 12,12,18,2,0,0,0,0,0,20,0,0,0,0,0,0,120,10.0,H-9AA,bijan-robinson-1
9,Mohamed Ibrahim*,Minnesota,Big Ten,12,20,0,0,0,0,0,0,20,0,0,0,0,0,0,120,10.0,,mohamed-ibrahim-1
10,Denis Lynch*,USC,Pac-12,14,0,0,0,0,0,0,0,0,74,74,15,22,0,0,119,8.5,,denis-lynch-1
11,Bert Auburn*,Texas,Big 12,13,0,0,0,0,0,0,0,0,55,55,21,26,0,0,118,9.1,,bert-auburn-1
12,Chase McGrath*,Tennessee,SEC,13,0,0,0,0,0,0,0,0,70,72,16,20,0,0,118,9.1,,chase-mcgrath-1
13,Jonah Dalmas*,Boise State,MWC,14,0,0,0,0,0,0,0,0,48,48,23,27,0,0,117,8.4,,jonah-dalmas-1
14,Nathanial Vakos*,Ohio,MAC,14,0,0,0,0,0,0,0,0,49,50,22,27,0,0,115,8.2,,nathanial-vakos-1
15,Peyton Henry*,Washington,Pac-12,13,0,0,0,0,0,0,0,0,58,59,19,22,0,0,115,8.8,,peyton-henry-1
16,Blake Corum*,Michigan,Big Ten,12,18,1,0,0,0,0,0,19,0,0,0,0,0,0,114,9.5,H-7AA,blake-corum-1
17,Christopher Dunn*,North Carolina State,ACC,13,0,0,0,0,0,0,0,0,30,30,28,29,0,0,114,8.8,AA,christopher-dunn-1
18,DeWayne McBride*,UAB,CUSA,11,19,0,0,0,0,0,0,19,0,0,0,0,0,0,114,10.4,,dewayne-mcbride-1
19,Jordan Mims*,Fresno State,MWC,14,18,1,0,0,0,0,0,19,0,0,0,0,0,0,114,8.1,,jordan-mims-1
20,Alex McNulty*,Buffalo,MAC,13,0,0,0,0,0,0,0,0,41,42,24,28,0,0,113,8.7,,alex-mcnulty-1
21,Chris Howard*,Memphis,American,13,0,0,0,0,0,0,0,0,50,52,21,24,0,0,113,8.7,,chris-howard-5
22,Griffin Kell*,Texas Christian,Big 12,14,0,0,0,0,0,0,0,0,62,64,17,19,0,0,113,8.1,,griffin-kell-1
23,Xazavian Valladay,Arizona State,Pac-12,12,16,2,0,0,0,0,0,18,0,0,0,0,2,0,112,9.3,,xazavian-valladay-1
24,B.T. Potter*,Clemson,ACC,14,0,0,0,0,0,0,0,0,49,49,20,26,0,0,109,7.8,,bt-potter-1
25,Ethan Mooney*,North Texas,CUSA,14,0,0,0,0,0,0,0,0,54,55,18,21,0,0,108,7.7,,ethan-mooney-1
26,Nathaniel Dell*,Houston,American,13,0,17,1,0,0,0,0,18,0,0,0,0,0,0,108,8.3,,nathaniel-dell-1
27,Tanner Brown*,Oklahoma State,Big 12,12,0,0,0,0,0,0,0,0,42,42,22,23,0,0,108,9.0,,tanner-brown-1
28,Ben Sauls*,Pitt,ACC,13,0,0,0,0,0,0,0,0,47,47,20,24,0,0,107,8.2,,ben-sauls-1
29,Camden Lewis*,Oregon,Pac-12,13,0,0,0,0,0,0,0,0,64,64,14,16,0,0,106,8.2,,camden-lewis-1
30,Collin Rogers*,SMU,American,13,0,0,0,0,0,0,0,0,58,58,16,20,0,0,106,8.2,,collin-rogers-1
31,Nicholas Barr-Mira*,UCLA,Pac-12,13,0,0,0,0,0,0,0,0,61,61,15,21,0,0,106,8.2,,nicholas-barr-mira-1
32,Brayden Narveson*,Western Kentucky,CUSA,13,0,0,0,0,0,0,0,0,59,59,15,21,0,0,104,8.0,,brayden-narveson-1
33,Trey Wolff*,Texas Tech,Big 12,13,0,0,0,0,0,0,0,0,41,42,21,25,0,0,104,8.0,,trey-wolff-1
34,Alex Raynor*,Georgia Southern,Sun Belt,13,0,0,0,0,0,0,0,0,49,50,18,20,0,0,103,7.9,,alex-raynor-1
35,Brad Roberts*,Air Force,MWC,13,17,0,0,0,0,0,0,17,0,0,0,0,0,0,102,7.8,,brad-roberts-1
36,Kendre Miller*,Texas Christian,Big 12,14,17,0,0,0,0,0,0,17,0,0,0,0,0,0,102,7.3,,kendre-miller-1
37,Noah Burnette*,North Carolina,ACC,14,0,0,0,0,0,0,0,0,57,58,15,21,0,0,102,7.3,,noah-burnette-1
38,Quinshon Judkins*,Ole Miss,SEC,13,16,1,0,0,0,0,0,17,0,0,0,0,0,0,102,7.8,,quinshon-judkins-1
39,Ryan Coe*,Cincinnati,American,12,0,0,0,0,0,0,0,0,44,44,19,23,0,0,101,8.4,,ryan-coe-1
40,Andre Szmyt*,Syracuse,ACC,13,0,0,0,0,0,0,0,0,40,40,20,26,0,0,100,7.7,,andre-szmyt-1
41,Diego Guajardo*,South Alabama,Sun Belt,13,0,0,0,0,0,0,0,0,46,48,18,19,0,0,100,7.7,,diego-guajardo-1
42,Harrison Mevis*,Missouri,SEC,13,0,0,0,0,0,0,0,0,33,33,22,28,0,0,99,7.6,,harrison-mevis-1
43,Isaiah Bowser*,UCF,American,14,16,0,0,0,0,0,0,16,0,0,0,0,1,0,98,7.0,,isaiah-bowser-1
44,James Turner*,Louisville,ACC,13,0,0,0,0,0,0,0,0,38,39,20,22,0,0,98,7.5,,james-turner-2
45,Gavin Baechle,UTEP,CUSA,12,0,0,0,0,0,0,0,0,31,31,22,24,0,0,97,8.1,,gavin-baechle-1
46,Chad Ryland*,Maryland,Big Ten,13,0,0,0,0,0,0,0,0,39,40,19,23,0,0,96,7.4,,chad-ryland-1
47,Khalan Laborn*,Marshall,Sun Belt,13,16,0,0,0,0,0,0,16,0,0,0,0,0,0,96,7.4,,khalan-laborn-2
48,Mitchell Fineran*,Purdue,Big Ten,14,0,0,0,0,0,0,0,0,41,44,18,24,0,0,95,6.8,,mitchell-fineran-1
49,Zach Schmit*,Oklahoma,Big 12,13,0,1,0,0,0,0,0,1,53,53,12,18,0,0,95,7.3,,zach-schmit-1
50,Zack Long,Tulsa,American,12,0,0,0,0,0,0,0,0,44,45,17,21,0,0,95,7.9,,zack-long-1
51,John Hoyland*,Wyoming,MWC,13,0,0,0,0,0,0,0,0,28,28,22,25,0,0,94,7.2,,john-hoyland-1
52,Keaton Mitchell*,East Carolina,American,12,14,1,0,0,0,0,0,15,0,0,0,0,2,0,94,7.8,,keaton-mitchell-1
53,Jake Pinegar*,Penn State,Big Ten,13,0,0,0,0,0,0,0,0,57,59,12,16,0,0,93,7.2,,jake-pinegar-1
54,Jonathan Cruz*,Ole Miss,SEC,13,0,0,0,0,0,0,0,0,48,49,15,17,0,0,93,7.2,,jonathan-cruz-1
55,Ryan Fitzgerald*,Florida State,ACC,13,0,0,0,0,0,0,0,0,57,58,12,20,0,0,93,7.2,,ryan-fitzgerald-1
56,Zeke Rankin*,Middle Tennessee State,CUSA,13,0,0,0,0,0,0,0,0,45,45,16,19,0,0,93,7.2,,zeke-rankin-1
57,Bo Nix*,Oregon,Pac-12,13,14,1,0,0,0,0,0,15,0,0,0,0,1,0,92,7.1,,bo-nix-1
