Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
190,Enock Gota*,Rice,American,9,1,1,100.0,0,0,,1,,enock-gota-1
191,Ethan Moczulski*,Texas A&M,SEC,2,1,1,100.0,0,0,,1,,ethan-moczulski-1
192,Gavin Marshall*,Oklahoma,Big 12,2,2,2,100.0,0,0,,2,,gavin-marshall-1
193,Grant Meadors*,Oregon,Pac-12,5,5,5,100.0,0,0,,5,,grant-meadors-1
194,Hogan Morton*,Clemson,ACC,1,1,1,100.0,0,0,,1,,hogan-morton-1
195,Jacob Meeks*,South Alabama,Sun Belt,13,1,1,100.0,0,0,,1,,jacob-meeks-2
196,Kanoah Vinesett*,North Carolina State,ACC,1,1,1,100.0,0,0,,1,,kanoah-vinesett-1
197,Kellan McLaughlin*,Miami (OH),MAC,2,3,3,100.0,0,0,,3,,kellan-mclaughlin-1
198,Leyton Simmering*,Kansas State,Big 12,2,1,2,50.0,0,0,,1,,leyton-simmering-1
199,Liam Quigley*,Toledo,MAC,3,2,2,100.0,0,0,,2,,liam-quigley-1
200,Logan Ward*,Oklahoma State,Big 12,14,7,7,100.0,0,0,,7,,logan-ward-1
201,Lucas Matias,Florida International,CUSA,12,5,5,100.0,0,0,,5,,lucas-matias-1
202,Luke Stagg,Louisiana-Monroe,Sun Belt,1,1,1,100.0,0,0,,1,,luke-stagg-2
203,Marcello Diomede*,Notre Dame,Ind,1,1,1,100.0,0,0,,1,,marcello-diomede-1
204,Marshall Meyers*,Auburn,SEC,1,1,1,100.0,0,0,,1,,marshall-meyers-1
205,Nathan Dibert*,LSU,SEC,12,1,1,100.0,0,0,,1,,nathan-dibert-1
206,Quinn Castner*,Clemson,ACC,1,1,1,100.0,0,0,,1,,quinn-castner-1
207,Samuel Carpenter,Pitt,ACC,1,1,1,100.0,0,0,,1,,samuel-carpenter-1
208,Stephen Rusnak,Michigan State,Big Ten,2,3,3,100.0,0,0,,3,,stephen-rusnak-1
209,Tyler Keltner*,Florida State,ACC,1,1,1,100.0,0,0,,1,,tyler-keltner-1
210,Tyler Robles*,USC,Pac-12,2,1,1,100.0,0,0,,1,,tyler-robles-1
211,Will Hryszko,Kent State,MAC,1,1,1,100.0,0,0,,1,,will-hryszko-1
212,Will Rocha*,Miami (FL),ACC,3,1,1,100.0,0,0,,1,,will-rocha-1
213,Zac Yoakam*,Notre Dame,Ind,2,2,2,100.0,0,0,,2,,zac-yoakam-1
