Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
1,Rasheen Ali*,Marshall,CUSA,13,23,1,0,1,0,0,0,25,0,0,0,0,0,0,150,11.5,,rasheen-ali-1
2,Brayden Narveson*,Western Kentucky,CUSA,14,0,0,0,0,0,0,0,0,72,72,23,29,0,0,141,10.1,,brayden-narveson-1
3,Breece Hall*,Iowa State,Big 12,12,20,3,0,0,0,0,0,23,0,0,0,0,0,0,138,11.5,H-10AA,breece-hall-1
4,Tyler Allgeier*,BYU,Ind,13,23,0,0,0,0,0,0,23,0,0,0,0,0,0,138,10.6,,tyler-allgeier-1
5,Jack Podlesny*,Georgia,SEC,15,0,0,0,0,0,0,0,0,71,72,22,27,0,0,137,9.1,,jack-podlesny-1
6,Will Reichard*,Alabama,SEC,15,0,0,0,0,0,0,0,0,71,72,22,28,0,0,137,9.1,,will-reichard-1
7,Hunter Duplessis*,UTSA,CUSA,14,0,0,0,0,0,0,0,0,63,63,24,30,0,0,135,9.6,,hunter-duplessis-1
8,Nick Sciba*,Wake Forest,ACC,14,0,0,0,0,0,0,0,0,65,65,23,25,0,0,134,9.6,,nick-sciba-1
9,Noah Ruggles*,Ohio State,Big Ten,13,0,0,0,0,0,0,0,0,74,74,20,21,0,0,134,10.3,,noah-ruggles-1
10,Deuce Vaughn*,Kansas State,Big 12,13,18,4,0,0,0,0,0,22,0,0,0,0,0,0,132,10.2,AA,deuce-vaughn-1
11,Malik Cunningham*,Louisville,ACC,13,20,0,0,0,0,0,0,20,0,0,0,0,0,0,126,9.7,,malik-cunningham-1
12,Tavion Thomas*,Utah,Pac-12,13,21,0,0,0,0,0,0,21,0,0,0,0,0,0,126,9.7,,tavion-thomas-1
13,Jake Moody*,Michigan,Big Ten,14,0,0,0,0,0,0,0,0,56,56,23,25,0,0,125,8.9,AA,jake-moody-1
14,Harrison Mevis*,Missouri,SEC,14,0,0,0,0,0,0,0,0,42,42,26,28,0,0,120,8.6,,harrison-mevis-1
15,Hassan Haskins*,Michigan,Big Ten,14,20,0,0,0,0,0,0,20,0,0,0,0,0,0,120,8.6,,hassan-haskins-1
16,Jerome Ford*,Cincinnati,American,13,19,1,0,0,0,0,0,20,0,0,0,0,0,0,120,9.2,,jerome-ford-1
17,Sam Scarton*,Pitt,ACC,14,0,0,0,0,0,0,0,0,69,72,17,21,0,0,120,8.6,,sam-scarton-1
18,Brandon Talton*,Nevada,MWC,13,0,0,0,0,0,0,0,0,52,52,22,30,0,0,118,9.1,,brandon-talton-1
19,Chandler Staton*,Appalachian State,Sun Belt,14,0,0,0,0,0,0,0,0,57,57,20,21,0,0,117,8.4,,chandler-staton-1
20,Gabe Brkic*,Oklahoma,Big 12,13,0,0,0,0,0,0,0,0,57,58,20,26,0,0,117,9.0,,gabe-brkic-1
21,Jonah Dalmas,Boise State,MWC,12,0,0,0,0,0,0,0,0,38,39,26,28,0,0,116,9.7,,jonah-dalmas-1
22,Kenneth Walker III*,Michigan State,Big Ten,12,18,1,0,0,0,0,0,19,0,0,0,0,0,0,114,9.5,H-6AACamp,kenneth-walker-iii-1
23,TreVeyon Henderson*,Ohio State,Big Ten,13,15,4,0,0,0,0,0,19,0,0,0,0,0,0,114,8.8,,treveyon-henderson-1
24,Andrew Glass*,Kent State,MAC,14,0,0,0,0,0,0,0,0,50,50,21,28,0,0,113,8.1,,andrew-glass-1
25,Connor Coles*,Utah State,MWC,14,0,0,0,0,0,0,0,0,52,54,20,29,0,0,112,8.0,,connor-coles-1
26,Mitchell Fineran*,Purdue,Big Ten,13,0,0,0,0,0,0,0,0,40,42,24,29,0,0,112,8.6,,mitchell-fineran-1
27,Bryant Koback*,Toledo,MAC,13,15,3,0,0,0,0,0,18,0,0,0,0,1,0,110,8.5,,bryant-koback-1
28,Grayson Atkins*,North Carolina,ACC,13,0,0,0,0,0,0,0,0,52,52,19,23,0,0,109,8.4,,grayson-atkins-1
29,Alton McCaskill*,Houston,American,14,16,2,0,0,0,0,0,18,0,0,0,0,0,0,108,7.7,,alton-mccaskill-1
30,Caleb Shudak*,Iowa,Big Ten,14,0,0,0,0,0,0,0,0,36,36,24,28,0,0,108,7.7,,caleb-shudak-1
31,John Richardson*,Northern Illinois,MAC,13,0,0,0,0,0,0,0,0,42,42,22,27,0,0,108,8.3,,john-richardson-1
32,Jordan Addison*,Pitt,ACC,14,1,17,0,0,0,0,0,18,0,0,0,0,0,0,108,7.7,AA,jordan-addison-1
33,Lew Nichols*,Central Michigan,MAC,13,16,2,0,0,0,0,0,18,0,0,0,0,0,0,108,8.3,,lew-nichols-1
34,Travis Dye*,Oregon,Pac-12,14,16,2,0,0,0,0,0,18,0,0,0,0,0,0,108,7.7,,travis-dye-1
35,Tyler Badie*,Missouri,SEC,12,14,4,0,0,0,0,0,18,0,0,0,0,0,0,108,9.0,,tyler-badie-1
36,Dalton Witherspoon*,Houston,American,14,0,0,0,0,0,0,0,0,59,60,16,24,0,0,107,7.6,,dalton-witherspoon-1
37,Cam Little*,Arkansas,SEC,13,0,0,0,0,0,0,0,0,46,46,20,24,0,0,106,8.2,,cam-little-1
38,Cayden Camper,Colorado State,MWC,12,0,0,0,0,0,0,0,0,29,29,25,32,0,0,104,8.7,,cayden-camper-1
39,Chad Ryland*,Eastern Michigan,MAC,13,0,0,0,0,0,0,0,0,47,47,19,22,0,0,104,8.0,,chad-ryland-1
40,Jameson Williams*,Alabama,SEC,15,0,15,0,2,0,0,0,17,0,0,0,0,1,0,104,6.9,,jameson-williams-1
41,Jerreth Sterns*,Western Kentucky,CUSA,14,0,17,0,0,0,0,0,17,0,0,0,0,1,0,104,7.4,,jerreth-sterns-1
42,Kyren Williams*,Notre Dame,Ind,12,14,3,0,0,0,0,0,17,0,0,0,0,1,0,104,8.7,,kyren-williams-1
43,Seth Small,Texas A&M,SEC,12,0,0,0,0,0,0,0,0,37,37,22,27,0,0,103,8.6,,seth-small-1
44,Chase McGrath*,Tennessee,SEC,13,0,0,0,0,0,0,0,0,66,66,12,16,0,0,102,7.8,,chase-mcgrath-1
45,B.T. Potter*,Clemson,ACC,13,0,0,0,0,0,0,0,0,38,38,21,26,0,0,101,7.8,,bt-potter-1
46,Zack Long*,Tulsa,American,13,0,0,0,0,0,0,0,0,35,36,22,23,0,0,101,7.8,,zack-long-1
47,Jonathan Doerer*,Notre Dame,Ind,13,0,0,0,0,0,0,0,0,52,53,16,21,0,0,100,7.7,,jonathan-doerer-1
