Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
1,Bryson Daily*,Army,American,13,32,0,0,0,0,0,0,32,0,0,0,0,0,0,192,14.8,H-6,bryson-daily-1
2,Ashton Jeanty,Boise State,MWC,14,29,1,0,0,0,0,0,30,0,0,0,0,0,0,180,12.9,H-2MaxwellAA,ashton-jeanty-1
3,Tre Stewart*,Jacksonville State,CUSA,14,25,1,0,0,0,0,0,26,0,0,0,0,0,0,156,11.1,,tre-stewart-1
4,R.J. Harvey,UCF,Big 12,12,22,3,0,0,0,0,0,25,0,0,0,0,1,0,152,12.7,,rj-harvey-1
5,Cameron Skattebo,Arizona State,Big 12,13,21,3,0,0,0,0,0,24,0,0,0,0,1,0,146,11.2,H-5,cameron-skattebo-1
6,Kaleb Johnson*,Iowa,Big Ten,12,21,2,0,0,0,0,0,23,0,0,0,0,0,0,138,11.5,AA,kaleb-johnson-2
7,Caden Chittenden*,Nevada-Las Vegas,MWC,14,0,0,0,0,0,0,0,0,55,56,26,33,0,0,133,9.5,,caden-chittenden-1
8,Dylan Sampson,Tennessee,SEC,13,22,0,0,0,0,0,0,22,0,0,0,0,0,0,132,10.2,,dylan-sampson-1
9,Kenneth Almendares*,Louisiana,Sun Belt,14,0,0,0,0,0,0,0,0,46,47,28,31,0,0,130,9.3,AA,kenneth-almendares-1
10,Caden Davis*,Ole Miss,SEC,13,0,0,0,0,0,0,0,0,57,59,24,29,0,0,129,9.9,,caden-davis-1
11,Mario Anderson*,Memphis,American,13,18,3,0,0,0,0,0,21,0,0,0,0,0,0,126,9.7,,mario-anderson-1
12,Collin Rogers,SMU,ACC,14,0,0,0,0,0,0,0,0,52,52,24,33,0,0,124,8.9,,collin-rogers-1
13,LeQuint Allen*,Syracuse,ACC,13,16,4,0,0,0,0,0,20,0,0,0,0,1,0,122,9.4,,lequint-allen-1
14,Jalen Milroe*,Alabama,SEC,13,20,0,0,0,0,0,0,20,0,0,0,0,0,0,120,9.2,,jalen-milroe-1
15,Andres Borregales*,Miami (FL),ACC,13,0,0,0,0,0,0,0,0,62,62,18,19,0,0,116,8.9,,andres-borregales-1
16,Jeremiyah Love*,Notre Dame,Ind,16,17,2,0,0,0,0,0,19,0,0,0,0,1,0,116,7.3,,jeremiyah-love-1
17,Devon Dampier,New Mexico,MWC,12,19,0,0,0,0,0,0,19,0,0,0,0,0,0,114,9.5,,devon-dampier-1
18,Max Gilbert,Tennessee,SEC,13,0,0,0,0,0,0,0,0,54,54,20,26,0,0,114,8.8,,max-gilbert-1
19,Nolan Hauser,Clemson,ACC,14,0,0,0,0,0,0,0,0,59,60,18,24,0,0,113,8.1,,nolan-hauser-1
