Rk,Player,Team,Conf,G,Pnt,Yds,Y/P,Awards,Player-additional
1,Kyle Vantrease,Buffalo,MAC,10,2,130,65.0,,kyle-vantrease-1
2,Alec Bevelhimer*,Miami (OH),MAC,11,1,55,55.0,,alec-bevelhimer-1
3,David Nunez,Texas State,Sun Belt,1,1,54,54.0,,david-nunez-1
4,Matt Araiza*,San Diego State,MWC,14,79,4044,51.2,AA,matt-araiza-1
5,Michael Turk*,Oklahoma,Big 12,11,35,1791,51.2,,michael-turk-1
6,Ryan Stonehouse,Colorado State,MWC,12,58,2953,50.9,,ryan-stonehouse-1
7,Kyle Ostendorp,Arizona,Pac-12,12,58,2852,49.2,,kyle-ostendorp-1
8,Matias Gasc,Miami (FL),ACC,2,1,49,49.0,,matias-gasc-1
9,John Haggerty*,Western Kentucky,CUSA,14,33,1608,48.7,,john-haggerty-1
10,Ryan Rehkow*,BYU,Ind,13,40,1943,48.6,,ryan-rehkow-1
11,Chance Nolan*,Oregon State,Pac-12,13,2,97,48.5,,chance-nolan-1
12,Race Porter,Washington,Pac-12,12,53,2572,48.5,,race-porter-1
13,Bryce Baringer*,Michigan State,Big Ten,13,59,2857,48.4,,bryce-baringer-1
14,Austin McNamara*,Texas Tech,Big 12,13,42,2023,48.2,,austin-mcnamara-1
15,Magnus Haines*,Kent State,MAC,2,1,48,48.0,,magnus-haines-1
16,Mason Lawler,Bowling Green,MAC,12,1,48,48.0,,mason-lawler-1
17,Josh Watts,Colorado,Pac-12,12,66,3154,47.8,,josh-watts-1
18,Ryan Wright,Tulane,American,12,51,2424,47.5,,ryan-wright-1
19,Luke Loecher*,Oregon State,Pac-12,13,31,1459,47.1,,luke-loecher-1
20,Jerwuan Thomas*,Ball State,MAC,3,1,47,47.0,,jerwuan-thomas-1
21,Kade Loggins*,Georgia State,Sun Belt,2,1,47,47.0,,kade-loggins-1
22,Cameron Dicker,Texas,Big 12,12,47,2200,46.8,,cameron-dicker-2
23,Tommy Heatherly,Florida International,CUSA,12,73,3418,46.8,,tommy-heatherly-1
24,Jake Camarda*,Georgia,SEC,15,47,2197,46.7,,jake-camarda-1
25,Nik Constantinou,Texas A&M,SEC,12,51,2377,46.6,,nik-constantinou-1
26,Andy Vujnovich*,Wisconsin,Big Ten,13,49,2274,46.4,,andy-vujnovich-1
27,Brad Robbins*,Michigan,Big Ten,14,45,2085,46.3,,brad-robbins-1
28,Sean Koetting*,Missouri,SEC,13,7,324,46.3,,sean-koetting-1
29,Rhys Byrns*,Louisiana,Sun Belt,14,59,2722,46.1,,rhys-byrns-1
30,Tory Taylor*,Iowa,Big Ten,14,80,3688,46.1,,tory-taylor-1
31,Cole Maynard*,North Carolina,ACC,1,1,46,46.0,,cole-maynard-1
32,Joe Doyle,Memphis,American,12,41,1888,46.0,,joe-doyle-1
33,Colin Goodfellow*,Kentucky,SEC,10,35,1608,45.9,,colin-goodfellow-1
34,Jake Julien*,Eastern Michigan,MAC,13,51,2343,45.9,,jake-julien-1
35,Jordan Stout*,Penn State,Big Ten,13,66,3032,45.9,,jordan-stout-2
36,Lachlan Wilson*,Tulsa,American,13,61,2787,45.7,,lachlan-wilson-1
37,Matt Hayball,Florida Atlantic,CUSA,12,61,2785,45.7,,matt-hayball-1
38,Colton Spangler*,Maryland,Big Ten,13,29,1320,45.5,,colton-spangler-1
39,Rocky Lombardi*,Northern Illinois,MAC,13,3,136,45.3,,rocky-lombardi-1
40,Lucas Dean*,UTSA,CUSA,14,47,2126,45.2,,lucas-dean-1
41,Adam Korsak*,Rutgers,Big Ten,13,72,3245,45.1,,adam-korsak-1
42,Blake Hayes,Illinois,Big Ten,12,68,3068,45.1,,blake-hayes-1
43,Trenton Gill,North Carolina State,ACC,12,65,2930,45.1,,trenton-gill-1
44,Ben Griffiths,USC,Pac-12,12,44,1978,45.0,,ben-griffiths-1
45,Jack Blumer*,Kansas State,Big 12,13,1,45,45.0,,jack-blumer-1
46,Julian Diaz*,Nevada,MWC,13,50,2250,45.0,,julian-diaz-1
47,Louis Hedley,Miami (FL),ACC,11,47,2112,44.9,,louis-hedley-1
48,Porter Wilson,Duke,ACC,12,61,2732,44.8,,porter-wilson-1
49,Isaac Power*,Baylor,Big 12,14,49,2191,44.7,,isaac-power-1
50,Andrew Boyle*,Washington State,Pac-12,3,2,89,44.5,,andrew-boyle-1
51,Peter Moore*,Virginia Tech,ACC,13,65,2892,44.5,,peter-moore-1
52,Mac Brown*,Ole Miss,SEC,13,41,1821,44.4,,mac-brown-1
53,Matt Ference*,Northern Illinois,MAC,14,45,1998,44.4,,matt-ference-1
54,Will Hart,San Jose State,MWC,12,67,2976,44.4,,will-hart-2
55,Anthony Beck II,Georgia Southern,Sun Belt,12,65,2881,44.3,,anthony-beck-ii-1
56,Kyle Ulbrich*,Middle Tennessee State,CUSA,13,67,2971,44.3,,kyle-ulbrich-1
57,Michael Williams*,Utah,Pac-12,14,8,354,44.3,,michael-williams-15
58,Grant Carlson,Boston College,ACC,12,53,2344,44.2,,grant-carlson-1
59,Jacob Finn,Virginia,ACC,12,41,1812,44.2,,jacob-finn-1
60,George Georgopoulos,Massachusetts,Ind,12,65,2864,44.1,,george-georgopoulos-1
61,Jeremy Crawshaw*,Florida,SEC,13,52,2293,44.1,,jeremy-crawshaw-1
62,Oscar Chapman*,Auburn,SEC,13,57,2515,44.1,,oscar-chapman-1
63,Zach Harding*,Army,Ind,13,41,1808,44.1,,zach-harding-1
64,Anthony Pecorella*,Maryland,Big Ten,12,28,1232,44.0,,anthony-pecorella-1
65,Logan Tyler*,Arizona State,Pac-12,13,1,44,44.0,,logan-tyler-1
66,Paxton Brooks*,Tennessee,SEC,13,45,1982,44.0,,paxton-brooks-1
67,Ryan Hanson,Arkansas State,Sun Belt,12,68,2995,44.0,,ryan-hanson-1
68,Zach Murphy*,Wake Forest,ACC,14,2,88,44.0,,zach-murphy-1
69,Bernardo Rodriguez*,North Texas,CUSA,13,61,2675,43.9,,bernardo-rodriguez-1
70,Ivan Mora*,Wake Forest,ACC,14,50,2188,43.8,,ivan-mora-1
71,Ben Kiernan*,North Carolina,ACC,13,45,1966,43.7,,ben-kiernan-1
72,Mason Hunt,Southern Mississippi,CUSA,12,71,3098,43.6,,mason-hunt-1
73,Ty Zentner*,Kansas State,Big 12,13,39,1697,43.5,,ty-zentner-1
74,Tyler Sumpter*,West Virginia,Big 12,12,52,2261,43.5,,tyler-sumpter-2
