Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
1,Abram Murray*,Miami (FL),ACC,2,4,4,100.0,1,1,100.0,7,,abram-murray-1
2,Andre Meono*,Nevada-Las Vegas,MWC,3,3,3,100.0,1,1,100.0,6,,andre-meono-1
3,Braeden McAlister,Georgia State,Sun Belt,12,0,0,,2,2,100.0,6,,braeden-mcalister-1
4,Carson Holmer,Ball State,MAC,11,5,5,100.0,2,2,100.0,11,,carson-holmer-1
5,Chase Gabriel,Florida International,CUSA,2,6,6,100.0,1,1,100.0,9,,chase-gabriel-1
6,Cristiano Rosa*,James Madison,Sun Belt,13,3,4,75.0,1,1,100.0,6,,cristiano-rosa-1
7,Drew Henderson*,Louisiana Tech,CUSA,1,0,0,,2,2,100.0,6,,drew-henderson-1
8,Hamilton DiBoyan*,South Alabama,Sun Belt,2,4,5,80.0,1,1,100.0,7,,hamilton-diboyan-1
9,Jake Weinberg,Florida State,ACC,1,1,1,100.0,1,1,100.0,4,,jake-weinberg-1
10,Kellan McLaughlin*,Miami (OH),MAC,13,1,1,100.0,1,1,100.0,4,,kellan-mclaughlin-1
11,Kian Afrookhteh,Nevada,MWC,4,9,9,100.0,2,2,100.0,15,,kian-afrookhteh-1
12,Kyle Cunanan,Charlotte,American,3,5,5,100.0,5,5,100.0,20,,kyle-cunanan-1
13,Liam Boyd*,North Carolina,ACC,3,7,7,100.0,1,1,100.0,10,,liam-boyd-1
14,Luca Lombardo*,Boston College,ACC,4,15,16,93.8,1,1,100.0,18,,luca-lombardo-1
15,Robert Czeremcha,Florida International,CUSA,2,7,7,100.0,2,2,100.0,13,,robert-czeremcha-1
16,Ryan Fitzgerald,Florida State,ACC,12,14,14,100.0,13,13,100.0,53,,ryan-fitzgerald-1
17,Stephen Rusnak,Charlotte,American,11,25,25,100.0,11,11,100.0,58,,stephen-rusnak-1
18,Tony Sterner*,Louisiana,Sun Belt,1,0,0,,1,1,100.0,3,,tony-sterner-1
19,Trey Coleman,Utah,Big 12,9,3,3,100.0,1,1,100.0,6,,trey-coleman-2
20,Dominic Zvada*,Michigan,Big Ten,13,26,27,96.3,21,22,95.5,89,,dominic-zvada-1
21,Gino Garcia*,Texas Tech,Big 12,13,40,40,100.0,19,20,95.0,97,,gino-garcia-1
22,Andres Borregales*,Miami (FL),ACC,13,62,62,100.0,18,19,94.7,116,,andres-borregales-1
23,Lucas Carneiro*,Western Kentucky,CUSA,14,41,41,100.0,18,19,94.7,95,,lucas-carneiro-1
24,Laith Marjan*,South Alabama,Sun Belt,12,42,44,95.5,16,17,94.1,90,,laith-marjan-1
25,Alex Raynor,Kentucky,SEC,12,26,27,96.3,15,16,93.8,71,,alex-raynor-1
26,Gabriel Plascencia,San Diego State,MWC,11,18,19,94.7,13,14,92.9,57,,gabriel-plascencia-1
27,Michael Hayes*,West Virginia,Big 12,13,41,41,100.0,13,14,92.9,80,,michael-hayes-5
28,Ethan Sanchez,Old Dominion,Sun Belt,12,37,42,88.1,11,12,91.7,70,,ethan-sanchez-1
29,Peyton Woodring,Georgia,SEC,14,48,48,100.0,21,23,91.3,111,,peyton-woodring-1
30,Nicolas Radicic,Indiana,Big Ten,13,69,69,100.0,10,11,90.9,99,,nicolas-radicic-1
31,Jonathan Kim,Michigan State,Big Ten,12,22,24,91.7,19,21,90.5,79,,jonathan-kim-2
32,Kenneth Almendares*,Louisiana,Sun Belt,14,46,47,97.9,28,31,90.3,130,AA,kenneth-almendares-1
33,John Love*,Virginia Tech,ACC,13,42,42,100.0,16,18,88.9,90,,john-love-2
34,Tristan Mattson,Central Michigan,MAC,12,24,26,92.3,16,18,88.9,72,,tristan-mattson-1
35,Will Ferrin*,BYU,Big 12,13,41,41,100.0,24,27,88.9,113,,will-ferrin-1
36,Atticus Sappington,Oregon,Big Ten,14,41,43,95.3,14,16,87.5,83,,atticus-sappington-1
