Rk,Player,Team,Conf,G,Rush,Rec,PRTD,KRTD,FRTD,IntTD,OthTD,TD,XPM,XPA,FGM,FGA,2PM,Sfty,Pts,Pts/G,Awards,-9999
1,Blake Corum*,Michigan,Big Ten,15,27,1,0,0,0,0,0,28,0,0,0,0,0,0,168,11.2,H-9,blake-corum-1
2,Bert Auburn*,Texas,Big 12,14,0,0,0,0,0,0,0,0,56,56,29,35,0,0,143,10.2,,bert-auburn-1
3,Peyton Woodring*,Georgia,SEC,14,0,0,0,0,0,0,0,0,71,71,21,25,0,0,134,9.6,,peyton-woodring-1
4,Jose Pizano*,Nevada-Las Vegas,MWC,14,0,0,0,0,0,0,0,0,55,55,26,29,0,0,133,9.5,,jose-pizano-1
5,Ollie Gordon*,Oklahoma State,Big 12,14,21,1,0,0,0,0,0,22,0,0,0,0,0,0,132,9.4,H-7AA,ollie-gordon-1
6,Collin Rogers*,SMU,American,14,0,0,0,0,0,0,0,0,66,67,20,27,0,0,126,9.0,,collin-rogers-1
7,Randy Bond*,Texas A&M,SEC,13,0,0,0,0,0,0,0,0,48,48,26,35,0,0,126,9.7,,randy-bond-1
8,Re'Mahn Davis*,Kentucky,SEC,13,14,7,0,0,0,0,0,21,0,0,0,0,0,0,126,9.7,,remahn-davis-1
9,Will Reichard*,Alabama,SEC,14,0,0,0,0,0,0,0,0,55,55,22,25,0,0,121,8.6,,will-reichard-1
10,Jonah Dalmas*,Boise State,MWC,14,0,0,0,0,0,0,0,0,48,49,24,27,0,0,120,8.6,,jonah-dalmas-1
11,Kairee Robinson*,San Jose State,MWC,12,18,2,0,0,0,0,0,20,0,0,0,0,0,0,120,10.0,,kairee-robinson-1
12,James Turner*,Michigan,Big Ten,15,0,0,0,0,0,0,0,0,65,66,18,21,0,0,119,7.9,,james-turner-2
13,Alex Hale*,Oklahoma State,Big 12,13,0,0,0,0,0,0,0,0,36,38,27,34,0,0,117,9.0,,alex-hale-1
14,Grady Gross*,Washington,Pac-12,15,0,0,0,0,0,0,0,0,63,63,18,22,0,0,117,7.8,,grady-gross-1
15,Harrison Mevis*,Missouri,SEC,13,0,0,0,0,0,0,0,0,45,46,24,30,0,0,117,9.0,,harrison-mevis-1
16,Graham Nicholson*,Miami (OH),MAC,14,0,0,0,0,0,0,0,0,35,37,27,28,0,0,116,8.3,AA,graham-nicholson-1
17,Ryan Fitzgerald*,Florida State,ACC,14,0,0,0,0,0,0,0,0,58,58,19,21,0,0,115,8.2,,ryan-fitzgerald-1
18,Ashton Jeanty*,Boise State,MWC,12,14,5,0,0,0,0,0,19,0,0,0,0,0,0,114,9.5,,ashton-jeanty-1
19,Michael Lantz*,Georgia Southern,Sun Belt,13,0,0,0,0,0,0,0,0,45,45,23,28,0,0,114,8.8,,michael-lantz-1
20,Damian Ramos*,LSU,SEC,13,0,0,0,0,0,0,0,0,77,77,12,15,0,0,113,8.7,,damian-ramos-1
21,Dylan Lynch*,Fresno State,MWC,13,0,0,0,0,0,0,0,0,40,40,24,30,0,0,112,8.6,,dylan-lynch-1
22,Zach Schmit*,Oklahoma,Big 12,13,0,0,0,0,0,0,0,0,67,67,15,21,0,0,112,8.6,,zach-schmit-1
23,Michael Hughes*,Appalachian State,Sun Belt,14,0,0,0,0,0,0,0,0,54,54,19,22,0,0,111,7.9,,michael-hughes-3
24,Andres Borregales*,Miami (FL),ACC,13,0,0,0,0,0,0,0,0,44,45,22,26,0,0,110,8.5,,andres-borregales-1
25,John Love*,Virginia Tech,ACC,13,0,0,0,0,0,0,0,0,44,44,22,24,0,0,110,8.5,,john-love-2
26,Tyler Loop*,Arizona,Pac-12,13,0,0,0,0,0,0,0,0,53,53,19,24,0,0,110,8.5,,tyler-loop-1
27,Audric Estime*,Notre Dame,Ind,12,18,0,0,0,0,0,0,18,0,0,0,0,0,0,108,9.0,,audric-estime-1
28,Jacory Croskey-Merritt,New Mexico,MWC,12,17,1,0,0,0,0,0,18,0,0,0,0,0,0,108,9.0,,jacory-croskey-merritt-1
29,Scott Taylor Renfroe*,Troy,Sun Belt,14,0,0,0,0,0,0,0,0,50,50,19,24,0,0,107,7.6,,scott-taylor-renfroe-1
30,Camden Lewis*,Oregon,Pac-12,14,0,0,0,0,0,0,0,0,70,70,12,18,0,0,106,7.6,,camden-lewis-1
31,Ethan Albertson*,New Mexico State,CUSA,15,0,0,0,0,0,0,0,0,49,50,19,24,0,0,106,7.1,,ethan-albertson-1
32,Spencer Shrader*,Notre Dame,Ind,13,0,0,0,0,0,0,0,0,61,62,15,22,0,0,106,8.2,,spencer-shrader-1
33,Valentino Ambrosio*,Tulane,American,14,0,0,0,0,0,0,0,0,42,42,21,26,0,0,105,7.5,,valentino-ambrosio-2
34,Alex Felkins*,Penn State,Big Ten,13,0,0,0,0,0,0,0,0,47,47,19,24,0,0,104,8.0,,alex-felkins-1
35,La'Damian Webb*,South Alabama,Sun Belt,11,16,1,0,0,0,0,0,17,0,0,0,0,1,0,104,9.5,,ladamian-webb-1
36,Quinshon Judkins*,Ole Miss,SEC,13,15,2,0,0,0,0,0,17,0,0,0,0,1,0,104,8.0,,quinshon-judkins-1
37,Charles Campbell*,Tennessee,SEC,13,0,0,0,0,0,0,0,0,49,49,18,23,0,0,103,7.9,,charles-campbell-3
38,Mason Shipley*,Texas State,Sun Belt,13,0,0,0,0,0,0,0,0,58,59,15,15,0,0,103,7.9,,mason-shipley-1
39,Blake Watson*,Memphis,American,13,14,3,0,0,0,0,0,17,0,0,0,0,0,0,102,7.8,,blake-watson-2
40,Brian Thomas Jr.*,LSU,SEC,13,0,17,0,0,0,0,0,17,0,0,0,0,0,0,102,7.8,,brian-thomas-jr-1
41,Devin Neal*,Kansas,Big 12,13,16,1,0,0,0,0,0,17,0,0,0,0,0,0,102,7.8,,devin-neal-3
42,R.J. Harvey*,UCF,Big 12,13,16,1,0,0,0,0,0,17,0,0,0,0,0,0,102,7.8,,rj-harvey-1
43,Camden Wise*,James Madison,Sun Belt,13,0,0,0,0,0,0,0,0,53,53,16,18,0,0,101,7.8,,camden-wise-1
44,Noah Burnette*,North Carolina,ACC,11,0,0,0,0,0,0,0,0,43,43,19,20,0,0,100,9.1,,noah-burnette-1
45,Caden Davis*,Ole Miss,SEC,13,0,0,0,0,0,0,0,0,45,45,18,23,0,0,99,7.6,,caden-davis-1
46,Chase Contreraz*,Iowa State,Big 12,13,0,0,0,0,0,0,0,0,36,37,21,26,0,0,99,7.6,,chase-contreraz-1
47,Jayden Fielding*,Ohio State,Big Ten,13,0,0,0,0,0,0,0,0,49,50,16,20,0,0,97,7.5,,jayden-fielding-1
