Rk,Player,Team,Conf,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Awards,Player-additional
1,Bijan Nichols,Navy,American,3,5,6,83.3,3,3,100.0,14,,bijan-nichols-1
2,Fabrizio Pinton*,Illinois,Big Ten,4,2,3,66.7,7,7,100.0,23,,fabrizio-pinton-1
3,Jared Zirkel*,Georgia,SEC,4,0,0,,1,1,100.0,3,,jared-zirkel-1
4,Joshua Karty,Stanford,Pac-12,12,24,25,96.0,18,18,100.0,78,,joshua-karty-1
5,Justen Smith*,BYU,Ind,3,3,5,60.0,1,1,100.0,6,,justen-smith-1
6,Mason Shipley,Texas State,Sun Belt,12,0,0,,1,1,100.0,3,,mason-shipley-1
7,Michael Luckhurst,California,Pac-12,12,0,0,,1,1,100.0,3,,michael-luckhurst-1
8,Mitch Jeter*,South Carolina,SEC,13,42,44,95.5,11,11,100.0,75,,mitch-jeter-1
9,Nick Pawlak*,Toledo,MAC,2,3,3,100.0,2,2,100.0,9,,nick-pawlak-1
10,Owen Piepergerdes*,Kansas,Big 12,3,9,9,100.0,1,1,100.0,12,,owen-piepergerdes-1
11,Ty Zentner*,Kansas State,Big 12,14,31,31,100.0,11,11,100.0,64,,ty-zentner-1
12,Christopher Dunn*,North Carolina State,ACC,13,30,30,100.0,28,29,96.6,114,AA,christopher-dunn-1
13,Tanner Brown*,Oklahoma State,Big 12,12,42,42,100.0,22,23,95.7,108,,tanner-brown-1
14,Briggs Bourgeois*,Southern Mississippi,Sun Belt,13,36,37,97.3,18,19,94.7,90,,briggs-bourgeois-1
15,Daniel Gutierrez,Nevada-Las Vegas,MWC,12,34,34,100.0,18,19,94.7,88,,daniel-gutierrez-1
16,Diego Guajardo*,South Alabama,Sun Belt,13,46,48,95.8,18,19,94.7,100,,diego-guajardo-1
17,Dominic Zvada,Arkansas State,Sun Belt,12,30,31,96.8,17,18,94.4,81,,dominic-zvada-1
18,Casey Legg,West Virginia,Big 12,12,37,39,94.9,14,15,93.3,79,,casey-legg-1
19,Colton Boomer*,UCF,American,12,42,43,97.7,14,15,93.3,84,,colton-boomer-1
20,Camden Price,Temple,American,8,18,19,94.7,13,14,92.9,57,,camden-price-1
21,Gavin Stewart,Georgia Tech,ACC,10,13,14,92.9,12,13,92.3,49,,gavin-stewart-1
22,Gavin Baechle,UTEP,CUSA,12,31,31,100.0,22,24,91.7,97,,gavin-baechle-1
23,Valentino Ambrosio*,Tulane,American,9,43,43,100.0,11,12,91.7,76,,valentino-ambrosio-2
24,Calum Sutherland,Louisiana-Monroe,Sun Belt,12,32,32,100.0,10,11,90.9,62,,calum-sutherland-1
25,James Turner*,Louisville,ACC,13,38,39,97.4,20,22,90.9,98,,james-turner-2
26,Alex Raynor*,Georgia Southern,Sun Belt,13,49,50,98.0,18,20,90.0,103,,alex-raynor-1
27,Brooks Buce*,Troy,Sun Belt,14,41,42,97.6,17,19,89.5,92,,brooks-buce-2
28,Griffin Kell*,Texas Christian,Big 12,14,62,64,96.9,17,19,89.5,113,,griffin-kell-1
29,Drew Stevens*,Iowa,Big Ten,13,24,24,100.0,16,18,88.9,72,,drew-stevens-2
30,Todd Pelino*,Duke,ACC,6,23,23,100.0,8,9,88.9,47,,todd-pelino-1
31,Jonathan Cruz*,Ole Miss,SEC,13,48,49,98.0,15,17,88.2,93,,jonathan-cruz-1
32,John Hoyland*,Wyoming,MWC,13,28,28,100.0,22,25,88.0,94,,john-hoyland-1
33,Camden Lewis*,Oregon,Pac-12,13,64,64,100.0,14,16,87.5,106,,camden-lewis-1
34,Chris Howard*,Memphis,American,13,50,52,96.2,21,24,87.5,113,,chris-howard-5
35,Seth Keller,Texas State,Sun Belt,12,28,28,100.0,14,16,87.5,70,,seth-keller-1
36,Peyton Henry*,Washington,Pac-12,13,58,59,98.3,19,22,86.4,115,,peyton-henry-1
37,Alex McNulty*,Buffalo,MAC,13,41,42,97.6,24,28,85.7,113,,alex-mcnulty-1
38,Alex McPherson,Auburn,SEC,4,9,9,100.0,6,7,85.7,27,,alex-mcpherson-1
39,Dylan Lynch*,Fresno State,MWC,9,15,15,100.0,6,7,85.7,33,,dylan-lynch-1
40,Ethan Mooney*,North Texas,CUSA,14,54,55,98.2,18,21,85.7,108,,ethan-mooney-1
41,Matthew Dennis*,Wake Forest,ACC,13,56,57,98.2,12,14,85.7,92,,matthew-dennis-1
42,Tyler Loop,Arizona,Pac-12,12,38,38,100.0,18,21,85.7,92,,tyler-loop-1
43,Jonah Dalmas*,Boise State,MWC,14,48,48,100.0,23,27,85.2,117,,jonah-dalmas-1
44,Andres Borregales,Miami (FL),ACC,12,32,32,100.0,17,20,85.0,83,,andres-borregales-1
45,Noah Ruggles*,Ohio State,Big Ten,13,74,75,98.7,17,20,85.0,125,,noah-ruggles-1
46,Cole Becker,Colorado,Pac-12,12,20,21,95.2,11,13,84.6,53,,cole-becker-2
47,Will Reichard*,Alabama,SEC,13,64,64,100.0,22,26,84.6,130,,will-reichard-1
48,Zeke Rankin*,Middle Tennessee State,CUSA,13,45,45,100.0,16,19,84.2,93,,zeke-rankin-1
49,Trey Wolff*,Texas Tech,Big 12,13,41,42,97.6,21,25,84.0,104,,trey-wolff-1
50,Jack Podlesny*,Georgia,SEC,15,73,74,98.6,26,31,83.9,151,,jack-podlesny-1
