first_name,last_name,suffix,Class,Pos,college_name,year
Ketron,Jackson,Jr.,SR,WR,Baylor,2024
David,Marshall,Jr.,SR,DL,Baylor,2024
Corey,Gordon,Jr.,JR,S,Baylor,2024
LeVar,Thornton,Jr.,JR,CB,Baylor,2024
MJ,Artmore,Jr.,JR,CB,Baylor,2024
Victor,Nelson,Jr.,SR,DB,Boston College,2024
Bert,Emanuel,Jr.,JR,QB,Central Michigan,2024
Mark-Allen,Gay,Jr.,SO,DB,Central Michigan,2024
Barry,Jackson,Jr.,SO,WR,Cincinnati,2024
Antwan,Peek,Jr.,JR,S,Cincinnati,2024
Derrick,Brown,Jr.,SO,LB,Duke,2024
Nick,Morris,Jr.,SR,LB,Duke,2024
Vincent,Anthony,Jr.,SR,DE,Duke,2024
Terry,Simmons,Jr.,JR,DT,Duke,2024
Terry,Lockett,Jr.,SR,WR,Eastern Michigan,2024
Jere,Getzinger,Jr.,SR,TE,Eastern Michigan,2024
David,Carter,Jr.,SR,DB,Eastern Michigan,2024
Tremonte,"Underwood,",Jr.,SO,RB,Florida Atlantic,2024
Jabari,Smith,Jr.,SO,WR,Florida Atlantic,2024
Leon,"Washington,",Jr.,SO,WR,Florida Atlantic,2024
Prince,Boyd,Jr.,SR,DL,Florida Atlantic,2024
Richard,Thomas,Jr.,JR,DL,Florida Atlantic,2024
Samuel,Singleton,Jr.,SO,RB,Florida State,2024
Robert,Scott,Jr.,SR,OL,Florida State,2024
Lamont,Green,Jr.,SO,DL,Florida State,2024
Marvin,Jones,Jr.,SR,DL,Florida State,2024
Omar,Graham,Jr.,JR,LB,Florida State,2024
Peter,Warrick,Jr.,SR,DB,Florida State,2024
Dwight,Phillips,Jr.,SO,RB,Georgia,2024
Gabe,Harris,Jr.,JR,LB,Georgia,2024
Smael,Mondon,Jr.,SR,LB,Georgia,2024
DJ,Murray,Jr.,SO,RB,Georgia State,2024
Chris,Davis,Jr.,SR,DE,Georgia State,2024
Carlito,Capanang,Jr.,SR,WR,Hawaii,2024
Armando,Lewis,Jr.,SO,WR,Hawaii,2024
Chad,Owens,Jr.,JR,WR,Hawaii,2024
Aristides,Angelo,Jr.,JR,QB,Miami (FL),2024
Mark,Fletcher,Jr.,JR,RB,Miami (FL),2024
Chris,Johnson,Jr.,JR,RB,Miami (FL),2024
Antonio,Tripp,Jr.,JR,OL,Miami (FL),2024
Rueben,Bain,Jr.,JR,DL,Miami (FL),2024
Booker,"Pickett,",Jr.,SO,DL,Miami (FL),2024
Raul,Aguirre,Jr.,JR,LB,Miami (FL),2024
Bobby,Washington,Jr.,JR,LB,Miami (FL),2024
Romanas,"Frederique,",Jr.,SO,DB,Miami (FL),2024
Daryl,Porter,Jr.,SR,CB,Miami (FL),2024
Antonio,Gates,Jr.,JR,WR,Michigan State,2024
Justin,Denson,Jr.,SO,DB,Michigan State,2024
Kevin,Coleman,Jr.,SR,WR,Mississippi State,2024
Jimothy,Lewis,Jr.,SO,OL,Mississippi State,2024
Joseph,Head,Jr.,SO,DL,Mississippi State,2024
Jaden,Abongo,Jr.,JR,WR,Missouri,2024
Corey,Flagg,Jr.,SR,LB,Missouri,2024
Toriano,Pride,Jr.,SR,CB,Missouri,2024
Johhny,Walker,Jr.,SR,DE,Missouri,2024
Gerald,Lacy,Jr.,JR,S,Missouri,2024
Gabe,Ervin,Jr.,SR,RB,Nebraska,2024
Jacory,Barney,Jr.,SO,WR,Nebraska,2024
Vincent,Shavers,Jr.,SO,LB,Nebraska,2024
Marques,Buford,Jr.,SR,DB,Nebraska,2024
Larry,Tarver,Jr.,SO,DB,Nebraska,2024
Anthony,Grigsby,Jr.,JR,QB,Nevada,2024
Terrell,Cooks,Jr.,SO,WR,Nevada,2024
Jason,Douglas,Jr.,SO,DL,Nevada,2024
David,Paine,Jr.,SO,DL,Nevada,2024
Michael,Coats,Jr.,SR,DB,Nevada,2024
Tooni,Ikahihifo,Jr.,SR,DB,Nevada,2024
DeAngelo,Irvin,Jr.,JR,WR,Nevada-Las Vegas,2024
Corey,Thompson,Jr.,JR,WR,Nevada-Las Vegas,2024
Keith,Conley,Jr.,SR,DL,Nevada-Las Vegas,2024
Antonio,Doyle,Jr.,SR,DL,Nevada-Las Vegas,2024
Saadite,Green,Jr.,SR,DB,Nevada-Las Vegas,2024
Antoineo,Harris,Jr.,SR,DL,New Mexico,2024
Lanar,Kelley,Jr.,SR,DB,New Mexico State,2024
Shedrick,Rhodes,Jr.,SR,OL,Rutgers,2024
Henry,Hughes,Jr.,SR,DL,Rutgers,2024
Vilay,Nakkoun,Jr.,JR,DB,Rutgers,2024
Antonio,White,Jr.,SO,DB,Rutgers,2024
LJ,Johnson,Jr.,SR,RB,SMU,2024
Roderick,Daniels,Jr.,SR,WR,SMU,2024
Anthony,Booker,Jr.,SR,DL,SMU,2024
Tarian,Lee,Jr.,SR,LB,SMU,2024
William,Nimmo,Jr.,SR,S,San Diego State,2024
Denaris,DeRosa,Jr.,JR,OL,San Jose State,2024
Kejuan,Bullard,Jr.,JR,DB,San Jose State,2024
Kelley,Joiner,Jr.,SR,RB,South Florida,2024
Rashad,Cheney,Jr.,SR,DL,South Florida,2024
Gabe,Cavazos,Jr.,SR,OL,Southern Mississippi,2024
Eric,Thomas,Jr.,SR,DL,Southern Mississippi,2024
Micheal,Caraway,Jr.,SR,DB,Southern Mississippi,2024
Bart,"Edmiston,",Jr.,JR,P,Southern Mississippi,2024
Viron,Ellison,Jr.,SO,RB,Tulsa,2024
R.J.,Jackson,Jr.,JR,DL,Tulsa,2024
Chris,Thompson,Jr.,SR,LB,Tulsa,2024
Maruio,White,Jr.,SO,DE,Tulsa,2024
Wondame,Davis,Jr.,SO,WR,UTEP,2024
Michael,Ray,Jr.,SR,S,UTEP,2024
Joseph,Ugwu,Jr.,SO,OL,UTSA,2024
Timothy,Huff,Jr.,JR,DL,UTSA,2024
Donald,Quaite,Jr.,SO,DL,UTSA,2024
James,Walley,Jr.,SO,LB,UTSA,2024
Ronald,Link-Milam,Jr.,SR,S,UTSA,2024
Quincy,Skinner,Jr.,SR,WR,Vanderbilt,2024
Maurice,Hampton,Jr.,SR,DB,Vanderbilt,2024
Alvin,Williamson,Jr.,SO,CB,Vanderbilt,2024
Rodney,Tisdale,Jr.,SO,QB,Western Kentucky,2024
Willie,Taggart,Jr.,SR,WR,Western Kentucky,2024
Melvin,Collins,Jr.,SR,OL,Western Kentucky,2024
Darrell,Johnson,Jr.,SR,OL,Western Kentucky,2024
Reginald,Allen,Jr.,JR,LB,Western Kentucky,2024
Jai,Eugene,Jr.,SO,DB,Western Kentucky,2024
Anthony,Johnson,Jr.,SR,DB,Western Kentucky,2024
Devin,Boddie,Jr.,SR,WR,Wyoming,2024
Marcus,Moore,Jr.,SO,DL,Akron,2024
Chris,Lawson,Jr.,SO,WR,Appalachian State,2024
Franklin,Baret,Jr.,SO,WR,Appalachian State,2024
Jason,Brown,Jr.,SO,RB,Arizona State,2024
Rodney,Bimage,Jr.,SO,DB,Arizona State,2024
Joe,Frazier,Jr.,JR,DL,Auburn,2024
Darron,Reed,Jr.,SO,DL,Auburn,2024
Robert,Woodyard,Jr.,JR,LB,Auburn,2024
Paul,Thompson,Jr.,JR,S,Auburn,2024
DeJuan,Echoles,Jr.,JR,LB,Ball State,2024
Dantu,Gardner,Jr.,SO,LB,Ball State,2024
Herbert,Gums,Jr.,SR,DL,Boise State,2024
Franklyn,Johnson,Jr.,SO,CB,Boise State,2024
Demanuel,Brown,Jr.,SO,DE,Boise State,2024
Malcolm,Johnson,Jr.,SR,WR,Bowling Green,2024
Harold,Fannin,Jr.,SR,TE,Bowling Green,2024
Joseph,Sipp,Jr.,SR,LB,Bowling Green,2024
James,Thomas,Jr.,SO,OG,Bowling Green,2024
Rod,Gainey,Jr.,SO,RB,Charlotte,2024
Duane,Thomas,Jr.,JR,WR,Charlotte,2024
Mo,Clipper,Jr.,JR,OL,Charlotte,2024
Antonio,Cotman,Jr.,SO,DB,Charlotte,2024
Keith,Adams,Jr.,JR,RB,Clemson,2024
Wise,Segars,Jr.,SR,RB,Clemson,2024
Bryant,Wesco,Jr.,SO,WR,Clemson,2024
Sherrod,Covil,Jr.,SR,S,Clemson,2024
Jimmy,Horn,Jr.,SR,WR,Colorado,2024
Anquin,Barnes,Jr.,SR,DL,Colorado,2024
Johnny,Chaney,Jr.,SR,LB,Colorado,2024
Timothy,Passmore,Jr.,JR,DL,Connecticut,2024
Marlon,Gunn,Jr.,SR,RB,East Carolina,2024
TJ,Engleman,Jr.,SO,RB,East Carolina,2024
Sam,Riddy,Jr.,SO,OL,East Carolina,2024
DJ,Johnson,Jr.,SO,LB,East Carolina,2024
Brian,Green,Jr.,JR,WR,Florida,2024
Damieon,George,Jr.,SR,OL,Florida,2024
Brien,Taylor,Jr.,SR,DL,Florida,2024
Jason,Marshall,Jr.,SR,CB,Florida,2024
Luby,Maurice,Jr.,JR,WR,Florida International,2024
Nicholas,Smith,Jr.,SO,WR,Florida International,2024
Percy,Courtney,Jr.,JR,LB,Florida International,2024
Charles,Greer,Jr.,SO,RB,Fresno State,2024
Tim,Grear,Jr.,SR,WR,Fresno State,2024
Isiah,Chala,Jr.,SO,DL,Fresno State,2024
Marcus,Sanders,Jr.,SR,WR,Georgia Southern,2024
Derwin,Burgess,Jr.,SR,WR,Georgia Southern,2024
Robert,Wright,Jr.,SO,OL,Georgia Southern,2024
Tracy,Hill,Jr.,JR,DB,Georgia Southern,2024
Temirez,Williams,Jr.,SO,DB,Georgia Southern,2024
Eric,Singleton,Jr.,JR,WR,Georgia Tech,2024
Patrick,Screws,Jr.,JR,OL,Georgia Tech,2024
Stephon,Johnson,Jr.,SR,WR,Houston,2024
Traville,Frederick,Jr.,SO,TE,Houston,2024
Keith,Cooper,Jr.,SR,DL,Houston,2024
