Player,Class,Pos,Summary
Cameron Ward,SR,QB,"305 Cmp, 454 Att, 4313 Yds, 39 TD"
Emory Williams,JR,QB,"16 Cmp, 26 Att, 187 Yds, 1 TD"
Reese Poffenbarger,SR,QB,"6 Cmp, 7 Att, 20 Yds, 0 TD"
Judd Anderson,SO,QB,
Aristides Angelo Jr.,JR,QB,
Jọo Arede,SR,QB,
Joe Borchers,SO,QB,
Riply Luna,JR,QB,
Nikao Smith,SO,QB,
Damien Martinez,SR,RB,"159 Att, 1002 Yds, 6.3 Avg"
Mark Fletcher Jr.,JR,RB,"112 Att, 607 Yds, 5.4 Avg"
Jordan Lyle,SO,RB,"54 Att, 400 Yds, 7.4 Avg"
Ajay Allen,SR,RB,"24 Att, 183 Yds, 7.6 Avg"
Chris Johnson Jr.,JR,RB,"8 Rec, 72 Yds, 9.0 Avg"
Chris Wheatley-Humphrey,SO,RB,"1 Att, 7 Yds, 7.0 Avg"
Jack Gonzalez-Whitehouse,SO,RB,
Syncere Sampson,SO,RB,
Terrell Walden,SR,RB,
Xavier Restrepo,SR,WR,"69 Rec, 1127 Yds, 16.3 Avg"
Jacolby George,SR,WR,"53 Rec, 752 Yds, 14.2 Avg"
Isaiah Horton,JR,WR,"56 Rec, 616 Yds, 11.0 Avg"
Sam Brown,JR,WR,"36 Rec, 509 Yds, 14.1 Avg"
Ray Ray Joseph,JR,WR,"6 Rec, 74 Yds, 12.3 Avg"
Joshisa Trader,SO,WR,"6 Rec, 91 Yds, 15.2 Avg"
Shemar Kirk,SR,WR,"2 Rec, 22 Yds, 11.0 Avg"
Ny Carr,SO,WR,"1 Rec, 8 Yds, 8.0 Avg"
Chance Robinson,SO,WR,
Robby Washington,JR,WR,
Brennan Burton,SO,WR,
Andrew Cohen,SR,WR,
Kolby Luna,JR,WR,
Nick Thomas,SO,WR,
Elijah Arroyo,SR,TE,"35 Rec, 590 Yds, 16.9 Avg"
Elija Lofton,SO,TE,"9 Rec, 150 Yds, 16.7 Avg"
Riley Williams,JR,TE,"7 Rec, 115 Yds, 16.4 Avg"
Cam McCormick,SR,TE,"6 Rec, 42 Yds, 7.0 Avg"
Jackson Carver,JR,TE,
Owen Ruskavich,SO,TE,
Hunter Carver,SO,TE,
Dylan Reiman,SO,TE,
Markel Bell,SR,OL,
Taylor Broutin,SO,OL,
Zach Carpenter,SR,OL,
Anez Cooper,SR,OL,
Luis Cristobal,SR,OL,
Nino Francavilla,SO,OL,
Tommy Kinsler IV,JR,OL,
Francis Mauigoa,JR,OL,
Matthew McCoy,SR,OL,
Samson Okunlola,JR,OL,
Deryc Plazz,SO,OL,
Jalen Rivers,SR,OL,
Ryan Rodriguez,SR,OL,
Frankie Tinilau,JR,OL,
Antonio Tripp Jr.,JR,OL,
Matt Antezana,SR,OL,
Ian Johnson,SR,OL,
Juan Minaya,SO,OL,
Yerovi Valdes,SO,OL,
Andres Borregales,SR,K,
Abram Murray,SO,K,
Will Rocha,JR,K,
Elijah Alston,SR,DL,
Rueben Bain Jr.,JR,DL,
Tyler Baron,SR,DL,
Simeon Barrow,SR,DL,
Armondo Blount,SO,DL,
Marley Cook,SR,DL,
Samuel Coufal,SO,DL,
Joe Enguidanos,SR,DL,
Josh Horton,JR,DL,
Artavius Jones,SO,DL,
Marquise Lightfoot,SO,DL,
Cole McConathy II,SO,DL,
Akheem Mesidor,SR,DL,
Ahmad Moten,SR,DL,
"Booker Pickett, Jr.",SO,DL,
Elias Rudolph,SO,DL,
Justin Scott,SO,DL,
Iheukwumere Marcus,SO,DL,
Cooper Ricks,SO,DL,
Daylen Russell,SO,DL,
Raul Aguirre Jr.,JR,LB,
Jaylin Alderman,JR,LB,
Wesley Bissainthe,SR,LB,
Malik Bryant,JR,LB,
Adarius Hayes,SO,LB,
Braylon Lamar,SO,LB,
Francisco Mauigoa,SR,LB,
Cameron Pruitt,SO,LB,
Chase Smith,SR,LB,
Bobby Washington Jr.,JR,LB,
Luke D'Alise,SO,LB,
Jack McManus,JR,LB,
Casey Rizzi,SO,LB,
Damari Brown,JR,DB,
Dylan Day,SO,DB,
"Romanas Frederique, Jr.",SO,DB,
Jaden Harris,JR,DB,
D'Yoni Hill,SR,DB,
Nick Kelly,SR,DB,
Ryan Mack,SO,DB,
Myles Mooyoung,JR,DB,
Zaquan Patterson,SO,DB,
Ja'Dais Richard,SR,DB,
Robert Stafford,JR,DB,
Isaiah Taylor,SR,DB,
Markeith Williams,JR,DB,
Tyler Rowe,SO,DB,
Stone Stroud,SO,DB,
Isaiah Thomas,SO,DB,
Andres Williams,SO,DB,
Dylan Joyce,JR,P,
Fred Potter,SR,P,
Tucker Tevepaugh,SO,P,
Anthony Campbell,SR,DE,
C.J. Clark,SR,DT,
Mason Napper,SR,LS,
Daryl Porter Jr.,SR,CB,
Mishael Powell,SR,CB,
John Connelly,SO,LS,
Michael Donovan,SR,LS,
