,,,Kicking,,,,,,,Punting,,,Kick Ret,,,,Punt Ret,,,
Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
83,Oklahoma,13,2.5,2.5,97,1.2,1.5,80,6.2,4.7,209.7,44.7,1,18.9,18.9,0,2.2,17.2,8,0
84,Oklahoma State,12,2.8,2.9,97.1,1,1.4,70.6,5.8,4.6,204.5,44.6,3.8,69.8,18.6,0,1.3,7.3,5.9,0
85,Old Dominion,12,3.1,3.5,88.1,0.9,1,91.7,5.8,5.7,231,40.8,1.8,27.8,15.2,0,1.6,8.9,5.6,0
86,Ole Miss,13,4.5,4.6,96.7,1.8,2.2,82.8,10,2.8,128.9,46.6,0.5,10.8,20.1,0,1.6,9.7,6,0
87,Oregon,14,3.9,4,96.4,1.1,1.4,80,7.3,3.3,147.6,44.9,0.9,23,26.8,0.1,1.4,13.9,9.8,0.1
88,Oregon State,12,2.8,2.8,100,0.8,1.3,66.7,5.3,2.8,130.8,46.2,1.6,31.1,19.6,0,0.7,2.3,3.4,0
89,Penn State,16,4.1,4.1,98.5,1.1,1.4,73.9,7.3,3.3,138.3,41.8,1.1,23.9,21.2,0,1.4,8.5,5.9,0
90,Pitt,13,3.5,3.5,100,1.6,1.8,87.5,8.3,4.5,194.9,43.7,2.7,54.8,20.4,0,1.9,17.3,9,0.2
91,Purdue,12,1.7,1.7,100,0.8,1.3,60,3.9,5.4,239.3,44.2,1.3,25,20,0,1.3,8.6,6.4,0
92,Rice,12,2.3,2.4,96.6,1,1.6,63.2,5.3,5.3,210.8,40.1,2.3,59,26.2,0.1,2.4,18.6,7.7,0
93,Rutgers,13,3.2,3.2,97.6,1.2,1.5,78.9,6.6,3.8,163.7,42.6,0.3,3,9.8,0,0.8,12.7,16.5,0
94,Sam Houston,13,2.7,2.7,100,1.1,1.8,58.3,5.9,5.1,208.9,41.2,1.7,33.8,20,0,1.3,5.3,4.1,0
95,San Diego State,12,2.2,2.3,96.3,1.2,1.4,82.4,5.7,5,224.9,45,2.3,46.8,20,0,1.5,9,6,0
96,San Jose State,13,3.5,3.5,100,0.9,1.3,70.6,6.2,4.4,182.8,41.7,1.7,30.7,18.1,0,0.6,4,6.5,0
97,SMU,14,3.9,3.9,100,1.7,2.4,72.7,9.1,3.2,139.1,43.3,1.6,34.1,20.7,0,1.9,16.9,9.1,0.1
98,South Alabama,13,3.8,4.1,94.3,1.3,1.5,89.5,7.8,4.2,164.4,39.6,1.2,18.9,15.4,0,1.1,15.7,14.6,0.1
99,South Carolina,13,3.5,3.5,100,1.2,1.6,71.4,6.9,3.7,175.2,47.4,1.2,23.7,19.3,0,1.4,9.6,6.9,0
100,South Florida,13,3.8,3.8,98,1.2,1.6,71.4,7.2,5.4,244.5,45.4,1.5,34.2,22.3,0.1,2.2,23.1,10.7,0
101,Southern Mississippi,12,1.3,1.5,83.3,0.8,1.3,62.5,3.8,5.1,226.2,44.5,1.8,34.5,18.8,0,0.8,3.3,4.3,0
102,Stanford,12,2.7,2.7,100,1.2,1.4,82.4,6.2,3.8,158.3,42.2,1.2,20.4,17.5,0,1.3,13.8,10.4,0.1
103,Syracuse,13,4,4.1,98.1,1,1.7,59.1,7,2.8,116.1,41.9,1.5,30.9,20.1,0,1.2,12.8,10.4,0
104,TCU,13,4.2,4.2,98.2,1.2,1.7,68.2,7.6,3.2,136.9,42.4,1.4,26,18.8,0,2,22,11,0.1
