Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,6,2.8,2.8,100.0,0.8,1.5,55.6,5.3,2.7,108.5,40.7,0.2,5.3,32.0,0.0,0.2,0.8,5.0,0.0
2,Akron,6,2.2,2.2,100.0,0.7,1.0,66.7,4.2,5.3,210.2,39.4,4.2,82.7,19.8,0.0,0.5,-1.3,-2.7,0.0
3,Alabama,13,6.5,6.5,100.0,1.1,1.1,100.0,9.7,2.5,93.5,38.0,1.4,21.2,15.3,0.0,1.5,23.0,15.0,0.1
4,Appalachian State,12,4.3,4.3,98.1,1.1,1.6,68.4,7.5,3.1,127.2,41.2,2.8,61.6,22.4,0.1,1.5,12.9,8.6,0.0
5,Arizona,5,1.8,2.0,90.0,1.2,1.4,85.7,5.4,4.8,206.6,43.0,2.8,47.0,16.8,0.0,1.0,7.0,7.0,0.0
6,Arizona State,4,4.5,4.5,100.0,0.8,1.3,60.0,6.8,3.5,157.8,45.1,2.5,75.8,30.3,0.3,1.3,8.8,7.0,0.0
7,Arkansas,10,2.7,3.0,90.0,0.8,1.2,66.7,5.1,6.1,260.1,42.6,0.9,15.7,17.4,0.0,0.4,1.8,4.5,0.0
8,Arkansas State,11,3.9,4.1,95.6,1.0,1.6,61.1,6.9,3.7,151.5,40.6,3.3,64.6,19.8,0.0,0.5,1.0,1.8,0.0
9,Army,12,3.2,3.4,92.7,0.6,0.8,70.0,4.9,3.4,147.8,43.3,1.3,24.9,19.9,0.0,1.5,13.1,8.7,0.0
10,Auburn,11,2.2,2.3,96.0,1.8,2.0,90.9,7.6,4.3,174.6,40.9,2.1,45.9,22.0,0.0,0.8,7.5,9.1,0.0
11,Ball State,8,3.5,3.9,90.3,1.3,1.9,66.7,7.3,4.1,176.0,42.7,2.8,55.6,20.2,0.0,0.6,-0.3,-0.4,0.0
12,Baylor,9,2.4,2.4,100.0,1.1,1.8,62.5,5.8,6.2,251.0,40.3,3.6,91.8,25.8,0.2,1.2,4.8,3.9,0.0
13,Boise State,7,4.3,4.4,96.8,1.0,1.1,87.5,7.3,5.1,196.3,38.2,3.0,77.3,25.8,0.3,2.4,44.4,18.3,0.4
14,Boston College,11,2.9,3.0,97.0,1.6,2.0,81.8,7.8,3.9,165.9,42.4,2.1,36.9,17.7,0.0,1.1,5.0,4.6,0.0
15,Bowling Green State,5,1.2,1.2,100.0,1.0,1.4,71.4,4.2,4.8,164.2,34.2,4.0,101.2,25.3,0.0,1.2,6.4,5.3,0.0
16,Brigham Young,12,5.3,5.5,95.5,1.1,1.1,100.0,8.5,2.3,105.3,45.1,1.3,27.4,20.6,0.0,1.8,6.7,3.8,0.0
17,Buffalo,7,6.1,6.1,100.0,0.1,0.6,25.0,6.6,3.0,116.3,38.8,2.4,44.6,18.4,0.0,1.1,10.4,9.1,0.0
18,California,4,2.3,2.5,90.0,1.0,1.3,80.0,5.3,6.0,229.3,38.2,0.8,13.8,18.3,0.0,2.0,10.5,5.3,0.0
19,Central Michigan,6,2.7,2.8,94.1,1.3,1.3,100.0,6.7,5.5,237.5,43.2,2.7,50.7,19.0,0.0,1.3,9.2,6.9,0.0
20,Charlotte,6,3.0,3.0,100.0,0.7,1.2,57.1,5.0,4.7,207.3,44.4,3.2,65.7,20.7,0.2,1.0,5.0,5.0,0.0
21,Cincinnati,10,4.8,5.0,96.0,0.7,1.0,70.0,6.9,4.0,175.4,43.9,1.7,47.6,28.0,0.1,1.5,12.3,8.2,0.0
22,Clemson,12,5.3,5.4,98.5,1.5,1.9,78.3,9.8,4.0,175.8,44.0,1.6,36.2,22.8,0.0,1.1,10.3,9.5,0.0
23,Coastal Carolina,12,4.1,4.4,92.5,0.9,1.1,84.6,6.8,2.9,117.5,40.3,1.7,24.9,15.0,0.0,0.8,6.3,7.6,0.0
