,,,,Passing,,,,,Rushing,,,,Total Offense,,,First Downs,,,,Penalties,,Turnovers,,
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
102,UTSA,13,30.1,18.6,31.9,58.3,265.8,2.2,35.5,109.3,3.1,1.5,67.4,375.2,5.6,9.5,6,3.2,18.8,6.8,55.8,0.8,0.8,1.7
103,North Carolina State,13,30.2,20.1,32.8,61.3,233.8,1.5,32.4,157,4.8,1.9,65.2,390.8,6,10.2,7.7,1.5,19.5,6.2,55.2,0.8,0.8,1.5
104,Florida Atlantic,12,30.3,17.6,31.5,55.8,233.2,2.1,37.5,183.5,4.9,1.5,69,416.7,6,9.8,9.3,1.9,21,6,52.5,0.6,0.9,1.5
105,Maryland,12,30.4,20,32,62.5,241.3,1.8,35.6,136.8,3.8,1.6,67.6,378.1,5.6,10.5,8.2,2.3,21,6,52.8,0.7,0.8,1.4
106,Kennesaw State,12,31.2,20.3,30.1,67.3,236.8,1.8,38.2,175.9,4.6,2.1,68.3,412.7,6,9.8,9.9,1.4,21.1,5.3,50.5,0.7,0.3,1
107,Western Michigan,13,31.3,16.2,26.5,61.3,222.6,1.5,38.5,192.5,5,2.2,64.9,415.1,6.4,9.5,10.1,1.6,21.2,4.6,38.7,1,0.6,1.6
108,Coastal Carolina,13,31.6,18.3,29.9,61.2,227.8,1.8,39.4,186.1,4.7,1.7,69.3,413.8,6,9.6,9.9,1.5,21,6.3,52.4,0.8,0.8,1.7
109,Arizona,12,31.8,18.8,29.6,63.7,239,1.8,35.8,174,4.9,2.1,65.4,413,6.3,9.8,9.4,1.8,21,5,44.5,0.7,0.7,1.3
110,West Virginia,13,31.9,19,29.7,64,270.8,2,34.2,144.4,4.2,2.2,63.8,415.2,6.5,12,8.4,1.4,21.8,5.9,51.1,0.5,0.4,0.8
111,Akron,12,32,18.4,28.6,64.4,231.1,2,39.7,183.3,4.6,1.9,68.3,414.4,6.1,10.2,8.7,1.6,20.4,6.7,53.4,0.6,0.3,0.8
112,Arkansas State,13,32.2,18.8,29.9,63,250.1,1.8,37.2,211.7,5.7,2.5,67.1,461.8,6.9,10.6,10.4,1.8,22.8,7.2,58.6,0.5,1.1,1.5
113,UTEP,12,32.3,18,29.3,61.4,223.2,1.9,41.8,179.3,4.3,2.1,71.1,402.5,5.7,10.5,8.3,1.7,20.5,5.8,52.4,0.6,0.9,1.5
114,Wake Forest,12,32.5,26.7,37.9,70.3,277.8,1.9,34.5,157.2,4.6,1.7,72.4,435,6,14.2,10.1,1.2,25.4,6.2,58.5,0.5,0.9,1.4
115,Appalachian State,11,32.9,17.6,25.6,68.8,214.8,1.8,37.4,197.6,5.3,2.2,63,412.5,6.5,8.7,10.7,2,21.5,7,63.8,0.8,0.4,1.2
116,Stanford,12,33.7,21.9,33.2,66.1,280.6,2.6,31.6,133.5,4.2,1.8,64.8,414.1,6.4,12.4,7.3,1.5,21.2,6.8,61.8,0.7,0.8,1.4
117,Georgia State,12,33.8,17,26.9,63.2,208.3,1.8,40.3,210.3,5.2,2.3,67.2,418.7,6.2,9.8,10.8,1.5,22.1,6.6,58.3,0.7,0.8,1.4
118,Mississippi State,12,34.1,20,28.4,70.4,239.5,1.9,43.6,216.9,5,2,72,456.4,6.3,11.3,10.8,1.8,23.8,6.3,58.8,0.4,0.6,1
119,North Texas,13,34.2,20.1,32.8,61.3,264.6,1.8,41.8,195.9,4.7,2.2,74.6,460.5,6.2,11,10.2,1.8,23,7,63.8,0.4,0.8,1.2
120,Middle Tennessee State,12,34.3,19.3,28.6,67.3,252.2,2.3,38.8,197,5.1,2.2,67.3,449.2,6.7,11.6,10.3,1.5,23.4,5.5,50.9,0.4,0.4,0.8
121,UAB,12,34.3,14.5,26.5,54.7,180.3,1.5,42.1,212.9,5.1,2.6,68.6,393.3,5.7,7.5,11.8,2.7,21.9,6.3,59.6,0.4,0.7,1.1
122,Texas Tech,13,34.8,23.4,36.5,64,308.1,2.2,34.1,152.1,4.5,2.2,70.6,460.2,6.5,13.5,7.6,2.1,23.2,6.5,54.3,0.6,1.1,1.7
123,Charlotte,12,35.1,17.2,28.6,60.1,222.8,1.5,40.3,210.3,5.2,2.4,68.8,433.2,6.3,9.2,11.5,2.4,23.1,6.6,56.8,0.2,0.8,1
124,Temple,12,35.4,16.3,27.8,58.9,191.7,1.7,40.8,226.1,5.5,2.5,68.6,417.8,6.1,8.4,10,1.6,20,5.4,47.1,0.5,0.8,1.3
125,Massachusetts,12,35.5,13,22.4,58,176.6,1.6,37.8,197.9,5.2,2.7,60.3,374.5,6.2,7.4,10.6,2.3,20.3,6,53.3,0.3,0.5,0.8
126,Oklahoma State,12,35.6,21.2,33.8,62.7,285.6,2.2,39.8,215,5.4,2.3,73.5,500.6,6.8,12.4,11.3,1.3,25,5.3,48.9,0.3,1,1.3
127,New Mexico State,12,36.3,18.3,31.8,57.7,251.6,1.8,38.3,195.3,5.1,2.4,70,446.8,6.4,10.3,9.3,1.6,21.3,7,75.6,0.1,0.8,0.8
128,Southern Mississippi,12,37.8,17.4,26.8,65.1,216.5,2,39.5,232.7,5.9,2.6,66.3,449.2,6.8,9.7,10.9,1.2,21.8,6.2,54.9,0.3,0.5,0.8
129,Utah State,12,37.8,22.3,32.8,67.9,255.6,2.3,39.8,214.5,5.4,2.3,72.6,470.1,6.5,12.3,9.3,1.8,23.4,7.5,59.4,0.3,1.1,1.3
130,New Mexico,12,38,21.3,33,64.6,279.2,2.5,39.3,212.9,5.4,2.3,72.3,492.1,6.8,11.7,10.6,2.4,24.7,7,65.4,0.6,0.3,0.8
131,Purdue,12,39.9,18.2,27.6,65.9,252.7,2.3,39.3,200,5.1,2.8,66.9,452.7,6.8,11.3,11,1.7,24,5.2,47.7,0.1,0.3,0.4
132,Ball State,12,40.1,19.4,31.3,62,279.6,3.1,33.7,175.3,5.2,2,65,454.9,7,12.1,8.3,1.8,22.3,5.3,49.4,0.7,0.7,1.3
133,Tulsa,12,42.5,21.8,33,65.9,316,3.2,37.3,180.8,4.9,2.3,70.3,496.8,7.1,12.8,8.3,1.1,22.2,8.1,80.3,0.6,0.8,1.3
134,Kent State,12,44.1,18.8,28.8,65.3,251.1,2.3,44.9,264.9,5.9,3,73.8,516,7,11.3,13.3,1.8,26.4,5.9,56.3,0.6,0.3,0.9
