Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,13,3.7,3.8,98.0,0.8,1.2,68.8,6.2,3.1,123.6,40.2,0.5,5.2,9.7,0.0,0.4,2.8,7.2,0.0
2,Akron,12,2.4,2.5,96.7,0.6,0.9,63.6,4.2,4.2,175.8,42.2,3.2,54.4,17.2,0.1,0.8,4.2,5.6,0.0
3,Alabama,15,4.7,4.8,98.6,1.5,1.9,79.3,9.3,3.2,125.2,39.1,1.3,30.4,24.0,0.1,2.3,18.1,8.0,0.0
4,Appalachian State,14,4.1,4.1,100.0,1.4,1.4,100.0,8.4,3.6,148.1,40.6,3.1,81.5,26.5,0.1,1.7,12.0,7.0,0.0
5,Arizona,12,1.3,1.3,100.0,1.8,2.2,80.8,6.5,5.0,241.3,48.3,2.2,40.3,18.6,0.0,1.8,16.8,9.6,0.0
6,Arizona State,13,3.3,3.5,93.5,0.6,1.0,61.5,5.2,3.5,153.7,43.4,2.6,52.4,20.0,0.0,1.6,19.6,12.1,0.0
7,Arkansas,13,3.5,3.5,100.0,1.5,1.8,83.3,8.2,4.6,195.9,42.5,1.4,23.8,17.2,0.0,1.9,20.3,10.6,0.1
8,Arkansas State,12,2.6,2.7,96.9,1.7,2.1,80.0,7.6,5.8,249.6,43.4,5.1,116.7,23.0,0.2,1.4,10.9,7.7,0.1
9,Army,13,4.0,4.1,98.1,0.7,0.9,75.0,6.1,2.9,128.9,44.1,0.8,12.4,14.6,0.0,1.1,11.8,11.0,0.0
10,Auburn,13,3.2,3.2,97.6,1.5,2.1,70.4,7.5,4.4,193.5,44.1,2.0,47.8,23.9,0.0,1.7,15.7,9.3,0.0
11,Ball State,13,2.7,2.8,97.2,1.4,1.8,75.0,6.8,4.8,203.5,42.0,2.3,52.5,22.7,0.1,1.2,13.0,11.3,0.0
12,Baylor,14,4.1,4.1,100.0,1.0,1.4,70.0,7.1,3.6,160.6,45.0,2.1,46.4,21.7,0.1,1.4,11.0,8.1,0.0
13,Boise State,12,3.2,3.3,97.4,2.2,2.3,92.9,9.7,4.3,183.0,43.1,1.8,38.4,21.0,0.0,1.2,19.8,17.0,0.1
14,Boston College,12,2.9,3.0,97.2,1.1,1.2,92.9,6.2,4.4,195.3,44.2,1.9,49.7,25.9,0.1,1.3,6.6,5.3,0.0
15,Bowling Green State,12,2.2,2.3,96.3,1.6,1.7,95.0,6.9,5.6,228.8,41.0,3.2,58.6,18.5,0.0,1.8,15.7,9.0,0.0
16,Brigham Young,13,4.1,4.2,98.1,0.8,1.2,68.8,6.6,3.1,149.5,48.6,1.3,22.8,17.4,0.0,1.9,17.5,9.1,0.0
17,Buffalo,12,3.3,3.3,100.0,1.2,1.8,63.6,6.8,3.3,128.3,38.5,2.9,56.9,19.5,0.0,0.9,7.3,8.0,0.0
18,California,12,2.6,2.6,100.0,1.0,1.3,80.0,5.6,4.4,190.3,43.1,1.5,40.9,27.3,0.1,1.2,8.3,7.1,0.0
19,Central Michigan,13,3.8,3.8,98.0,1.3,2.0,65.4,7.7,4.4,181.2,41.3,2.2,47.9,21.5,0.1,1.2,23.4,20.3,0.2
20,Charlotte,12,3.3,3.3,100.0,0.8,1.3,66.7,5.8,3.3,140.7,42.2,3.3,73.1,22.5,0.0,0.6,3.8,6.6,0.0
21,Cincinnati,14,4.3,4.4,96.8,0.6,1.4,47.4,6.2,3.6,153.4,42.9,2.0,47.6,23.8,0.1,1.5,16.1,10.8,0.0
