Rk,School,G,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,Yds,Avg,Ret,Yds,Avg,TD,Ret,Yds,Avg,TD
1,Air Force,13,3.4,3.5,97.8,1.2,1.6,76.2,7.1,2.6,100.5,38.4,0.4,4.2,10.8,0.0,0.3,0.8,2.8,0.0
2,Akron,12,2.3,2.4,96.6,1.1,1.8,61.9,5.6,5.1,206.5,40.6,3.6,77.3,21.6,0.0,1.6,10.2,6.4,0.0
3,Alabama,13,4.9,4.9,100.0,1.7,2.0,84.6,10.0,3.4,140.0,41.4,1.6,28.6,17.7,0.0,2.0,33.5,16.7,0.2
4,Appalachian State,12,4.2,4.2,100.0,0.8,1.0,75.0,6.4,3.6,135.9,37.9,2.2,56.3,26.0,0.1,1.3,6.6,4.9,0.0
5,Arizona,12,3.2,3.2,100.0,1.5,1.8,85.7,7.7,3.1,135.8,44.0,1.7,29.5,17.7,0.0,1.1,7.8,7.2,0.0
6,Arizona State,12,2.8,2.8,100.0,0.9,1.2,78.6,5.6,4.2,191.2,45.9,2.8,66.4,24.2,0.0,1.6,5.3,3.3,0.0
7,Arkansas,13,3.8,3.8,100.0,1.0,1.2,81.3,6.8,4.8,192.1,39.6,0.7,12.4,17.9,0.0,1.2,11.7,9.5,0.1
8,Arkansas State,12,2.6,2.7,96.9,1.4,1.5,94.4,6.8,5.8,248.2,43.2,4.3,92.2,21.7,0.1,1.3,8.0,6.0,0.0
9,Army,12,3.6,3.8,93.5,0.7,0.8,80.0,5.6,3.6,134.2,37.4,1.0,17.6,17.6,0.0,1.0,9.8,9.8,0.3
10,Auburn,12,2.6,2.6,100.0,1.5,2.0,75.0,7.1,4.7,204.1,43.7,1.9,33.0,17.2,0.0,1.7,14.2,8.5,0.0
11,Ball State,12,2.3,2.4,96.6,1.4,1.8,81.0,6.6,5.7,232.3,41.0,1.8,39.4,21.5,0.0,1.1,4.8,4.4,0.0
12,Baylor,13,3.8,4.1,94.3,0.6,0.9,66.7,5.7,3.2,132.0,40.9,2.7,45.8,17.0,0.0,1.2,14.5,12.6,0.1
13,Boise State,14,3.4,3.4,100.0,1.6,1.9,85.2,8.4,4.7,193.0,40.9,1.6,37.0,22.5,0.0,1.8,12.1,6.8,0.1
14,Boston College,12,2.0,2.1,96.0,0.8,1.4,52.9,4.3,6.1,244.9,40.3,2.5,53.8,21.5,0.0,1.2,5.6,4.8,0.0
15,Bowling Green State,13,2.6,2.6,100.0,0.8,1.2,68.8,5.2,5.2,201.6,38.5,2.9,66.4,22.7,0.1,0.8,12.0,14.2,0.2
16,Brigham Young,13,3.8,3.9,96.1,0.8,1.2,66.7,6.1,3.1,142.1,46.2,1.7,34.6,20.5,0.0,1.0,9.8,9.8,0.0
17,Buffalo,13,3.2,3.2,97.6,1.8,2.2,85.7,8.7,4.4,186.7,42.6,2.5,50.8,20.6,0.0,0.8,0.8,1.0,0.0
18,California,12,2.6,2.7,96.9,1.0,1.5,66.7,5.6,5.3,241.4,45.3,1.6,28.5,18.0,0.0,1.8,20.0,10.9,0.0
19,Central Michigan,12,2.3,2.6,87.1,0.5,1.2,42.9,3.8,4.6,193.4,42.2,2.8,58.4,21.2,0.0,1.8,8.6,4.9,0.0
20,Charlotte,12,3.0,3.0,100.0,0.3,0.4,60.0,3.8,3.9,163.8,41.8,3.7,69.8,19.0,0.0,1.2,8.9,7.6,0.0
21,Cincinnati,13,3.5,3.5,100.0,1.5,1.8,82.6,7.8,4.8,220.8,46.3,1.8,37.8,21.3,0.1,1.1,12.2,11.4,0.0
22,Clemson,14,3.6,3.6,100.0,1.4,1.9,76.9,7.9,4.6,193.9,41.8,1.3,29.4,22.8,0.0,1.8,12.5,7.0,0.0
