,,,,Passing,,,,,Rushing,,,,Total Offense,,,First Downs,,,,Penalties,,Turnovers,,
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,Tot
96,Miami (OH),14,24.1,16.1,28.5,56.4,217.4,1.6,29.5,135.3,4.6,1,58,352.7,6.1,9.7,5.9,1.2,16.9,5.3,41.8,0.4,0.9,1.3
97,Oklahoma,13,24,18.1,28.7,63,175.8,1.2,40.1,155.2,3.9,1.3,68.8,331,4.8,7.7,9.2,2.1,19,5.3,45.5,1.2,0.5,1.6
98,Georgia State,12,23.8,22.6,37.4,60.4,255.8,1.8,30.4,133.3,4.4,1.1,67.8,389,5.7,11.8,6.9,2,20.8,5.1,49.1,0.5,1.1,1.6
99,Sam Houston,13,23.8,16.7,26.9,62,168.2,1.2,42.8,179.8,4.2,1.6,69.8,347.9,5,8,9.5,1.4,18.8,4.6,37.9,0.5,0.7,1.2
100,Charlotte,12,23.7,14.8,29.4,50.1,224.1,1.3,32.5,117.1,3.6,1.3,61.9,341.2,5.5,8.7,6.4,2.1,17.2,7.8,65.3,0.6,1.2,1.8
101,Maryland,12,23.7,26.3,41.2,63.8,275.7,1.8,30.8,110.4,3.6,1.3,72,386.1,5.4,13.1,6.3,2.2,21.5,6.4,58.6,0.5,1.2,1.7
102,Utah,12,23.6,16.6,29.8,55.6,199.4,1.7,33.6,130.4,3.9,0.6,63.4,329.8,5.2,8.6,6.8,1.3,16.6,5.4,46.3,0.4,1.4,1.8
103,Nebraska,13,23.5,22.2,33.5,66.2,228.4,1,34.5,130.6,3.8,1.7,67.9,359,5.3,10.5,8.4,2.8,21.8,6.2,53.2,0.5,0.9,1.5
104,Washington,13,23.4,23.2,32.1,72.4,261.7,1.7,32.5,128.8,4,1.1,64.6,390.5,6,11.5,8,1.2,20.7,5.8,51.8,0.3,0.6,0.9
105,Nevada,13,23.1,19,28.2,67.5,212.6,1.5,35.5,163.5,4.6,1.6,63.7,376.1,5.9,9,8.8,1.7,19.5,7.6,71.9,0.5,0.6,1.2
106,Stanford,12,22.8,18.7,30.8,60.5,191.3,1.5,36.4,132.7,3.6,0.9,67.3,323.9,4.8,9.3,7.4,1.8,18.6,5.4,49,0.4,1.4,1.8
107,Virginia,12,22.7,20.5,33.4,61.3,229,1.3,36,131.9,3.7,1.2,69.4,360.9,5.2,9.7,8.3,1.6,19.5,5.2,45.3,0.4,1.2,1.6
108,Central Michigan,12,22.6,13.9,25.2,55.3,163.4,0.9,37.3,166.1,4.5,1.4,62.4,329.5,5.3,6.9,8.8,2.3,18,6.8,60.9,0.8,1,1.8
109,Wisconsin,12,22.6,17.3,30.4,57,196.7,1.2,35.2,153.7,4.4,1.6,65.6,350.3,5.3,8.2,8.7,1.9,18.8,5.3,37.5,0.7,0.8,1.5
110,Massachusetts,12,22.5,15.6,27.3,57.2,181.8,1.2,40.3,163.5,4.1,1.5,67.5,345.3,5.1,7.7,9.8,2.2,19.7,7.3,63.2,0.3,0.5,0.8
111,Hawaii,12,22.3,23.8,40,59.6,268.2,2.1,28.3,97.7,3.4,0.6,68.3,365.8,5.4,12.5,5.9,2.3,20.8,8,70.3,0.3,1.3,1.6
112,Rice,12,22.2,24.4,39.8,61.3,239,1.4,25.1,113.9,4.5,1.2,64.9,352.9,5.4,10.4,6.2,1.8,18.3,7.1,57.4,0.8,1.1,1.8
113,Michigan,13,22,14.6,23.7,61.7,129.1,0.9,37.4,157.2,4.2,1.4,61.1,286.2,4.7,6.6,8.5,1.1,16.2,4,39.5,0.5,1,1.5
114,Arizona,12,21.8,21.8,36.4,60,247.9,1.5,27.9,106.6,3.8,0.9,64.3,354.5,5.5,10.8,6.2,1.5,18.5,6.5,57.6,0.6,1.1,1.7
115,New Mexico State,12,21.6,11.8,26.7,44.1,143.2,1,41.3,180,4.4,1.3,67.9,323.2,4.8,7.3,9.3,2.8,19.3,5.4,48.1,0.9,1,1.9
116,San Diego State,12,21.3,19.5,31.3,62.4,205.7,1.3,35.3,128.9,3.6,1.1,66.6,334.6,5,9.5,6.9,2.1,18.5,9.1,81.8,0.1,0.7,0.8
117,Louisiana-Monroe,12,21,11.2,20.5,54.5,134.8,0.9,38,169.7,4.5,1.4,58.5,304.4,5.2,5.6,8.3,1.6,15.4,5.9,43.3,0.3,1,1.3
118,Louisiana Tech,13,20.9,19.7,31.8,62,223.7,1.4,37.2,109.2,2.9,1.1,69,332.9,4.8,9.7,7.2,1.1,17.9,5.3,50.6,1.1,0.6,1.7
119,Kentucky,12,20.6,13.9,26,53.5,184.8,1.3,36.9,145.6,3.9,0.9,62.9,330.4,5.3,7.6,9.6,2.3,19.4,6.3,52.1,0.5,1.4,1.9
120,Akron,12,20.4,19.5,34.9,55.8,232.4,1.3,28.8,100.3,3.5,0.9,63.8,332.8,5.2,9.8,6.2,2.1,18,6.3,48.7,0.8,0.8,1.7
121,Temple,12,19.6,20.2,34.3,58.9,216,1.3,32.2,92.8,2.9,0.8,66.4,308.8,4.6,9.7,4.6,1.3,15.6,5.6,45.1,0.9,1.2,2.1
122,UTEP,12,19.5,18.6,30.4,61.1,200,1.3,36.5,120.8,3.3,0.8,66.9,320.8,4.8,7.9,7.2,1.6,16.7,5.7,50.9,0.6,1,1.6
123,Michigan State,12,19.3,17.7,29.4,60.1,218.1,1.1,32.8,116.3,3.6,0.9,62.2,334.4,5.4,9.2,8.3,1.4,18.8,6.7,63.3,0.6,1,1.6
124,Wyoming,12,19.3,15.1,28.9,52.2,189.4,0.9,38.3,137.8,3.6,1.2,67.3,327.3,4.9,8.1,7.2,2.1,17.3,5.5,49.8,0.4,0.9,1.3
125,Air Force,12,18.9,5.2,11.5,44.9,89.8,0.4,56.1,224,4,2,67.6,313.8,4.6,3.3,13.3,1.4,18,3.2,28.8,0.4,0.8,1.3
126,UCLA,12,18.4,21.6,33.2,65.1,242.2,1.4,28.2,86.6,3.1,0.3,61.3,328.8,5.4,11.3,5.2,1.5,18,8.2,68.9,0.5,0.9,1.4
127,Middle Tennessee State,12,18.1,22.8,35.7,63.8,261.1,1.3,27.9,89,3.2,0.8,63.6,350.1,5.5,11.4,4.8,2,18.2,7.3,61.3,0.8,0.8,1.6
128,Northwestern,12,17.8,17.5,32.6,53.7,185.9,0.6,29.6,98.5,3.3,1,62.2,284.4,4.6,8.3,6.3,1.3,16,4.8,38.3,0.6,0.9,1.5
129,Kennesaw State,12,16.5,13,24.8,52.5,136.3,0.5,37.7,114.6,3,1.1,62.4,250.9,4,5.8,6.6,1.3,13.7,5.6,46.3,0.3,1.2,1.5
130,Purdue,12,15.8,15.8,27.4,57.4,183.9,1.1,28.9,115.3,4,0.8,56.3,299.3,5.3,8.3,5.4,0.9,14.6,5.5,51.8,0.8,0.8,1.6
131,Florida State,12,15.4,14.9,29.6,50.4,180.3,0.9,31.5,89.9,2.9,0.7,61.1,270.3,4.4,8.6,5.3,1.3,15.2,5.6,47.9,0.8,1.1,1.8
132,Southern Mississippi,12,15.3,13.8,26.4,52.4,174.9,0.6,34.3,108.6,3.2,1.1,60.8,283.5,4.7,6.3,7,2.2,15.4,6,48.3,1,1.4,2.4
133,Houston,12,14,15.2,23.3,65,152.7,0.8,35.8,135.4,3.8,0.8,59.2,288.1,4.9,6.4,7.3,1.3,15.1,5.5,51.9,0.8,1.4,2.3
134,Kent State,12,13.9,11.6,24.5,47.3,156.3,1.5,32.6,76.9,2.4,0.3,57.1,233.3,4.1,5.8,5.1,2.1,13,4.9,35.8,0.6,1.1,1.7
